date,USDJPY,AUDUSD,GBPCHF,CHFJPY,GBPJPY,EURJPY,CADJPY,AUDNZD,empty,sum
2016.10.03,-183.9999999999975,-69.9999999999923,-2085.0000000000036,-303.0000000000115,-298.0000000000018,-304.00000000000205,-149.0000000000009,-158.0000000000137,,-3551.0000000000236
2016.10.03,-144.00000000000546,-9.999999999998899,-2163.0000000000036,-266.00000000000534,-449.0000000000123,-266.9999999999959,-203.00000000000296,-21.00000000000435,,-3523.000000000029
2016.10.03,-225.9999999999991,21.00000000000435,-2248.0000000000055,-294.00000000001114,-566.0000000000025,-408.00000000000125,-220.00000000001307,32.999999999994145,,-3908.000000000034
2016.10.03,-260.9999999999957,-5.999999999994898,-2262.0000000000086,-280.00000000000114,-587.0000000000175,-400.0000000000057,-223.0000000000132,0.0,,-4019.000000000036
2016.10.03,-263.9999999999958,-30.999999999992145,-2163.0000000000036,-305.0000000000068,-526.0000000000105,-393.0000000000007,-212.0000000000033,1.999999999990898,,-3892.0000000000223
2016.10.03,-376.0000000000048,-118.99999999999133,-2155.000000000018,-373.00000000000466,-634.0000000000146,-463.99999999999864,-251.00000000000477,-33.00000000001635,,-4405.000000000054
2016.10.03,-396.0000000000008,-129.00000000000134,-2214.000000000005,-365.99999999999966,-680.0000000000068,-474.00000000000375,-329.00000000000773,-172.0000000000166,,-4760.000000000042
2016.10.03,-254.0000000000049,-59.99999999999339,-2200.000000000002,-245.00000000000455,-515.0000000000148,-319.9999999999932,-321.00000000001216,-197.00000000000273,,-4112.000000000027
2016.10.03,-150.00000000000568,-88.99999999999464,-2211.0000000000073,-135.00000000000512,-361.99999999999477,-200.00000000000284,-196.00000000001216,-118.00000000001809,,-3461.0000000000405
2016.10.03,-460.00000000000796,-90.99999999999665,-2261.000000000002,-397.00000000000557,-788.0000000000109,-513.9999999999958,-420.0000000000017,-172.0000000000166,,-5103.000000000036
2016.10.03,-257.000000000005,-24.999999999997247,-2252.0000000000095,-288.0000000000109,-520.0000000000102,-418.99999999999693,-305.0000000000068,-148.99999999999915,,-4215.0000000000355
