date,USDCHF,EURUSD,USDCAD,GBPCHF,EURCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2021.04.05,0.0,-45.000000000006146,-73.00000000001194,-48.000000000003595,-58.000000000002494,0.0,0.0,-108.99999999998133,-492.9999999999879,-100.99999999999909,-165.00000000001512,-165.9999999999995,-351.0000000000124,0.0,-7.000000000005002,0.0,0.0,0.0,,-1616.0000000000246
2021.04.05,21.999999999999797,-21.00000000000435,-77.00000000001594,-15.00000000000945,2.999999999997449,136.99999999999824,94.99999999999886,47.00000000001925,-492.9999999999879,-74.99999999998863,-164.00000000000858,-164.99999999999292,-361.0000000000113,60.000000000002274,12.000000000000455,78.99999999999574,85.00000000000173,147.00000000000824,,-683.999999999997
2021.04.05,34.99999999999615,-124.99999999999733,-179.00000000001802,96.99999999999153,51.000000000001044,175.99999999999838,37.00000000000614,68.00000000000139,-526.9999999999886,-164.99999999999204,-314.00000000001427,-214.99999999998744,-612.0000000000125,28.000000000005798,31.00000000000591,104.00000000000409,46.999999999997044,161.00000000001114,,-1301.9999999999918
2021.04.05,56.0000000000005,-102.00000000000209,-63.000000000013046,102.99999999998644,63.99999999999739,226.99999999999943,120.9999999999809,27.00000000002145,-438.9999999999894,-198.99999999998386,-220.00000000002018,-207.00000000000162,-602.0000000000136,132.000000000005,49.99999999999716,143.00000000000423,51.000000000001044,246.00000000001288,,-612.0000000000174
2021.04.05,78.99999999999574,-97.9999999999981,-53.00000000001415,131.99999999999878,72.0000000000054,270.0000000000036,169.9999999999875,-5.999999999994898,-360.9999999999891,-227.99999999998022,-191.00000000000784,-154.99999999999403,-588.9999999999951,180.00000000000682,73.99999999999807,141.99999999999767,73.00000000000084,299.00000000000483,,-189.9999999999743
2021.04.05,36.0000000000027,-134.00000000001188,-4.000000000004,106.99999999999044,53.999999999998494,263.0000000000021,180.00000000000682,2.0000000000131024,-286.99999999999284,-227.00000000000387,-180.0000000000024,-102.00000000000209,-507.9999999999973,196.00000000001216,144.00000000000546,190.00000000000128,107.99999999999699,263.99999999999756,,102.00000000001262
2021.04.05,36.999999999998145,-131.99999999999878,-22.0000000000109,125.99999999998168,53.999999999998494,292.9999999999988,159.9999999999966,34.000000000000696,-265.99999999998846,-234.99999999998522,-198.00000000000927,-62.99999999999084,-494.00000000001666,168.00000000000637,111.0000000000042,204.99999999999963,124.00000000000189,293.0000000000099,,194.9999999999963
2021.04.05,41.9999999999976,-133.00000000000534,-3.0000000000196536,143.99999999998857,63.99999999999739,294.00000000000534,162.00000000000614,-0.9999999999843467,-273.9999999999965,-188.99999999999295,-177.00000000000495,-78.99999999998464,-470.00000000001484,174.0000000000066,111.99999999999477,209.00000000000364,114.99999999999844,293.99999999999426,,283.99999999998954
2021.04.05,12.999999999996348,-144.99999999999514,-4.000000000004,136.00000000000279,41.000000000002146,268.0000000000016,97.99999999998477,26.0000000000149,-329.99999999998585,-118.99999999999977,-226.00000000001506,-76.99999999999375,-563.0000000000024,94.0000000000083,34.99999999999659,221.00000000000452,111.00000000000554,331.999999999999,,-88.99999999997942
2021.04.05,-7.0000000000014495,-174.00000000000747,-9.999999999998899,136.99999999998712,41.000000000002146,270.99999999999903,115.99999999998545,134.00000000001188,-333.0000000000055,-138.99999999998158,-221.00000000000452,-68.99999999998573,-536.0000000000032,93.00000000000352,49.99999999999716,236.99999999999832,128.00000000000588,297.9999999999983,,16.000000000000455
2021.04.05,8.999999999992347,-160.00000000000458,-6.000000000017103,190.99999999998562,53.00000000001415,294.00000000000534,192.99999999998363,156.00000000000057,-329.99999999998585,-133.99999999998613,-233.00000000001654,-41.000000000002146,-422.9999999999956,100.00000000000853,114.00000000000432,250.00000000000577,170.00000000000347,283.99999999999534,,486.99999999999113
2021.04.05,46.999999999997044,-147.00000000000824,-45.000000000006146,224.99999999998633,86.0000000000083,324.00000000000205,146.99999999999136,200.00000000000017,-306.9999999999906,-125.0,-258.0000000000027,-25.999999999992696,-448.000000000004,79.9999999999983,97.99999999999898,290.00000000000136,199.00000000000472,313.00000000000773,,652.999999999992
2021.04.05,52.99999999999194,-163.00000000000205,-37.00000000002035,234.99999999998522,93.99999999999409,336.00000000000296,129.99999999999545,189.00000000001694,-283.99999999999534,-87.99999999999386,-249.00000000001032,-22.999999999995246,-468.00000000000176,72.00000000000273,78.00000000000296,294.00000000000534,179.00000000000693,331.999999999999,,679.9999999999845
2021.04.05,53.999999999998494,-164.00000000000858,-34.000000000000696,219.99999999999798,110.99999999999443,321.0000000000046,122.99999999999045,198.00000000000927,-307.99999999999716,-91.99999999998454,-283.000000000011,-63.99999999999739,-492.0000000000035,64.00000000000716,72.00000000000273,282.99999999999994,182.00000000000438,319.0000000000026,,510.0000000000091
2021.04.05,56.99999999999594,-163.00000000000205,-118.00000000001809,231.0000000000034,112.000000000001,321.0000000000046,131.00000000000023,228.00000000000597,-331.999999999999,-117.999999999995,-313.00000000000773,-78.99999999998464,-479.0000000000072,46.00000000000648,76.99999999999818,275.000000000003,202.0000000000022,314.99999999999864,,393.0000000000059
2021.04.05,117.00000000000044,-90.99999999999665,-131.00000000001444,249.99999999999466,100.99999999999554,318.00000000000716,146.99999999999136,236.00000000001398,-354.9999999999942,-91.99999999998454,-313.00000000000773,-78.00000000000028,-500.00000000001154,50.00000000001137,70.99999999999795,287.0000000000039,202.0000000000022,287.000000000015,,506.0000000000242
