,names,week,needed_features,accuracy
0,USDCHF,20,"['AUDCHF', 'AUDNZD', 'NZDCHF']",100.0
1,GBPUSD,10,['EURCAD'],100.0
2,EURUSD,10,['CADCHF'],80.0
3,USDJPY,10,"['GBPUSD', 'EURGBP', 'CHFJPY', 'GBPAUD', 'GBPJPY', 'GBPCHF', 'EURCHF']",80.0
4,USDCAD,10,['EURUSD'],100.0
5,AUDUSD,10,"['AUDJPY', 'EURJPY']",100.0
6,GBPCHF,15,['EURCAD'],100.0
7,EURCHF,10,['AUDCAD'],80.0
8,CHFJPY,10,"['EURUSD', 'NZDJPY', 'EURCHF']",80.0
9,AUDCHF,10,"['USDCAD', 'CADJPY']",80.0
10,EURGBP,10,"['EURCAD', 'CADCHF', 'GBPCAD']",100.0
11,GBPJPY,15,['EURCAD'],100.0
12,GBPCAD,10,"['EURCAD', 'CADCHF']",80.0
13,GBPAUD,10,"['EURCAD', 'CADCHF', 'GBPCAD']",100.0
14,EURJPY,20,"['EURUSD', 'NZDJPY', 'EURCAD']",100.0
15,EURAUD,10,"['EURCAD', 'CADCHF', 'GBPCAD']",80.0
16,EURNZD,10,"['EURGBP', 'GBPAUD', 'GBPCAD']",80.0
17,CADJPY,20,"['EURUSD', 'AUDJPY']",100.0
18,AUDJPY,20,"['EURUSD', 'NZDJPY', 'AUDCAD']",80.0
19,NZDJPY,10,['AUDCAD'],80.0
20,AUDCAD,10,['EURAUD'],80.0
21,NZDCAD,10,"['EURNZD', 'NZDUSD']",80.0
