,names,week,needed_features,accuracy
0,USDCHF,10,['EURUSD'],80.0
1,GBPUSD,10,['NZDJPY'],80.0
2,EURUSD,10,"['AUDUSD', 'NZDUSD', 'GBPUSD', 'NZDJPY', 'EURUSD']",80.0
3,USDJPY,15,"['AUDCHF', 'EURCAD', 'GBPUSD', 'AUDUSD', 'NZDUSD', 'AUDCAD', 'EURAUD']",100.0
4,AUDUSD,10,['NZDJPY'],80.0
5,NZDUSD,10,['NZDJPY'],80.0
6,GBPCHF,20,['NZDCAD'],80.0
7,CHFJPY,10,['EURUSD'],80.0
8,CADCHF,10,"['NZDCAD', 'USDJPY']",80.0
9,NZDCHF,10,['NZDJPY'],80.0
10,GBPJPY,50,['EURUSD'],80.0
11,GBPCAD,10,['CADJPY'],80.0
12,GBPAUD,10,"['EURGBP', 'GBPCHF']",100.0
13,EURCAD,10,"['GBPUSD', 'AUDUSD', 'NZDUSD', 'AUDJPY', 'EURUSD', 'NZDJPY']",100.0
14,CADJPY,10,"['EURGBP', 'GBPCAD', 'GBPCHF']",100.0
15,NZDJPY,10,['NZDJPY'],80.0
16,AUDCAD,10,"['GBPUSD', 'AUDUSD', 'NZDUSD', 'AUDJPY', 'EURUSD', 'NZDJPY']",100.0
17,NZDCAD,15,"['GBPUSD', 'EURAUD', 'AUDUSD', 'NZDUSD', 'EURUSD', 'NZDJPY', 'AUDJPY', 'CADJPY', 'AUDNZD', 'CHFJPY', 'EURJPY', 'USDCHF']",80.0
18,AUDNZD,10,"['EURGBP', 'GBPCHF']",100.0
