date,USDCHF,GBPUSD,USDJPY,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,empty,sum
2021.06.21,-265.0000000000041,-193.99999999998306,-162.9999999999967,-39.00000000000014,-474.0000000000189,-112.99999999998533,-228.9999999999992,-197.00000000000273,-200.00000000000017,-225.9999999999991,0.0,0.0,-246.00000000001288,-49.99999999999716,-257.99999999999557,-163.00000000000205,,-2816.9999999999964
2021.06.21,-253.99999999999866,-196.99999999998053,-156.99999999999648,-41.000000000002146,-215.00000000000963,-112.99999999998533,-212.99999999999386,-290.00000000000136,-124.99999999999733,-246.00000000000932,375.0000000000142,248.00000000000378,-378.00000000001165,97.00000000000841,-245.9999999999951,-167.00000000000603,,-1921.999999999961
2021.06.21,-273.000000000001,-205.99999999999508,-147.00000000000557,-121.00000000000443,-191.00000000000784,-161.99999999999548,-175.99999999998772,-41.000000000002146,-44.99999999999504,-149.0000000000009,317.0000000000117,280.9999999999979,-377.0000000000051,156.0000000000059,-292.0000000000016,-187.9999999999993,,-1613.999999999986
2021.06.21,-248.00000000000378,-251.00000000000122,-105.00000000000398,-226.99999999999943,-240.00000000001796,-156.00000000000057,-158.99999999999181,159.9999999999935,51.99999999999649,-239.00000000000432,329.00000000000153,226.99999999999943,-405.9999999999952,152.00000000000102,-335.9999999999985,-245.0000000000063,,-1692.0000000000314
2021.06.21,-229.00000000000142,-280.9999999999979,-103.9999999999992,-226.00000000000398,-252.0000000000078,-171.99999999999437,-184.99999999998806,161.99999999999548,156.00000000000057,-286.00000000000136,422.00000000001125,222.00000000001108,-297.0000000000139,274.0000000000009,-347.999999999999,-250.00000000000577,,-1393.9999999999934
2021.06.21,-244.99999999999523,-291.9999999999812,-137.00000000000045,-239.0000000000003,-268.0000000000016,-171.99999999999437,-181.99999999998795,164.99999999999292,183.99999999999528,-300.00000000001137,466.00000000001086,219.00000000001364,-283.99999999999534,320.0000000000074,-361.99999999999477,-275.99999999999847,,-1402.9999999999407
2021.06.21,-251.00000000000122,-299.99999999998914,-159.9999999999966,-271.9999999999945,-272.00000000000557,-170.99999999998784,-211.9999999999891,152.99999999999204,161.00000000000003,-340.0000000000034,404.0000000000044,170.00000000000347,-295.0000000000008,315.00000000001194,-390.99999999999113,-285.9999999999974,,-1746.999999999945
2021.06.21,-200.00000000000017,-349.99999999998363,-140.00000000000057,-300.0000000000003,-289.0000000000059,-140.99999999999113,-253.99999999999068,170.99999999999892,187.9999999999993,-401.00000000001046,368.00000000001273,110.99999999999443,-178.99999999999582,361.0000000000042,-455.99999999998886,-275.000000000003,,-1785.9999999999613
2021.06.21,-236.99999999999832,-350.9999999999902,-147.99999999999613,-299.00000000000483,-287.000000000015,-126.99999999998823,-254.99999999999545,130.99999999999224,139.00000000000023,-403.00000000002,422.00000000001125,161.00000000001114,-137.9999999999937,260.0000000000051,-470.9999999999894,-333.0000000000055,,-1935.9999999999768
2021.06.21,-239.99999999999577,-330.9999999999924,-93.99999999999409,-310.9999999999946,-243.99999999999977,-114.99999999999844,-196.99999999998852,147.99999999999258,178.99999999999582,-289.0000000000157,439.0000000000116,86.0000000000083,-75.00000000000284,290.00000000000625,-465.999999999994,-322.9999999999955,,-1542.999999999957
2021.06.21,-243.00000000000432,-283.99999999999534,-28.999999999996362,-409.99999999999926,-215.00000000000963,-103.99999999999298,-59.99999999998806,118.99999999999133,178.00000000000037,-78.00000000000296,297.0000000000139,-249.99999999999466,-55.000000000005045,237.00000000000898,-479.99999999998977,-473.0000000000012,,-1849.9999999999648
2021.06.21,-251.99999999999667,-238.99999999998923,30.000000000001137,-370.9999999999991,-209.00000000001472,-112.99999999998533,-68.9999999999884,145.9999999999906,258.9999999999981,-35.00000000002501,337.0000000000095,-153.9999999999875,323.0000000000066,306.0000000000116,-491.9999999999902,-394.00000000000546,,-926.9999999999641
2021.06.21,-270.99999999999903,-204.99999999998852,54.000000000002046,-297.9999999999983,-191.00000000000784,-89.99999999999008,-1.9999999999953388,71.99999999999429,124.99999999999733,25.999999999982037,398.9999999999938,-12.999999999996348,107.99999999999699,1.0000000000047748,-444.9999999999932,-353.0000000000033,,-1083.0000000000007
2021.06.21,-287.0000000000039,-63.99999999999739,221.00000000000364,-148.0000000000037,-123.00000000000644,-76.99999999999375,219.0000000000083,29.000000000001247,36.0000000000027,438.99999999999295,425.0000000000087,144.99999999999514,-14.000000000002899,-195.99999999999795,-206.99999999999363,-319.99999999999807,,78.0000000000149
2021.06.21,-261.99999999999557,-85.00000000000173,245.00000000000455,-154.99999999999403,-134.00000000001188,-95.00000000000064,259.00000000000034,35.999999999991594,82.99999999999974,422.9999999999734,466.00000000001086,158.0000000000137,72.0000000000054,-140.99999999999113,-194.00000000000261,-326.9999999999995,,349.00000000000244
2021.06.21,-341.0000000000024,-72.99999999998974,257.000000000005,-124.99999999999733,-181.00000000000892,-161.99999999999548,307.00000000000216,36.999999999998145,80.99999999999774,448.99999999998386,472.00000000000574,190.00000000000128,-14.000000000002899,-126.99999999999534,-137.99999999999102,-307.0000000000017,,325.000000000009
2021.06.21,-312.9999999999966,-85.99999999998609,240.99999999999966,-124.99999999999733,-159.00000000002024,-151.9999999999966,280.00000000000114,22.999999999995246,66.99999999999484,442.99999999998363,534.9999999999966,219.99999999999798,-62.000000000006494,-126.99999999999534,-141.9999999999959,-302.0000000000023,,340.99999999997226
2021.06.21,-295.99999999999625,-153.9999999999875,224.00000000000375,-173.9999999999964,-135.00000000001845,-144.99999999999514,180.00000000000682,-9.999999999998899,63.00000000000195,309.99999999997385,563.0000000000024,129.00000000000134,-93.00000000000975,-120.99999999999511,-203.99999999999352,-404.99999999999983,,-268.00000000000074
2021.06.21,-229.00000000000142,-231.99999999998778,120.00000000000455,-246.99999999999721,-176.00000000002058,-168.99999999999693,24.00000000000091,12.999999999996348,124.00000000000189,120.9999999999809,509.00000000000387,90.00000000001229,31.999999999987594,19.000000000005457,-382.99999999999557,-416.00000000000523,,-800.0000000000108
2021.06.21,-204.99999999999963,-339.0000000000004,131.00000000000023,-261.0000000000001,-195.00000000001182,-190.00000000000128,-35.99999999998715,13.999999999991797,75.00000000000284,27.999999999991587,449.0000000000105,150.00000000000568,-25.00000000000835,45.000000000001705,-406.9999999999965,-338.00000000000495,,-1104.0000000000057
2021.06.21,-353.99999999999875,-295.99999999998516,103.9999999999992,-168.99999999999693,-299.00000000000483,-177.99999999998929,36.000000000001364,-4.999999999999449,41.000000000002146,33.999999999991815,646.0000000000132,383.0,-124.00000000001299,-93.99999999999409,-278.99999999999636,-306.00000000000625,,-859.9999999999765
2021.06.21,-321.0000000000046,-405.9999999999952,30.000000000001137,-197.99999999999818,-313.00000000000773,-215.99999999999397,-140.99999999999113,-40.00000000000669,78.00000000000028,-215.0000000000034,751.9999999999972,399.00000000001603,-134.99999999999625,10.000000000005116,-399.0000000000009,-414.9999999999987,,-1529.999999999977
