date,USDCHF,EURUSD,USDCAD,AUDUSD,GBPCAD,EURJPY,NZDJPY,empty,sum
2015.09.07,-70.0000000000034,-18.999999999991246,-76.0000000000094,-87.00000000000374,-177.9999999999671,-13.00000000000523,-75.9999999999934,,-518.9999999999735
2015.09.07,-67.00000000000594,-17.000000000000348,-50.0000000000167,-102.99999999999754,-106.99999999999044,36.000000000001364,-173.00000000000182,,-481.0000000000114
2015.09.07,-102.99999999999754,-143.00000000000423,-178.00000000001148,-80.99999999999774,-381.99999999997124,-16.999999999995907,-115.99999999999966,,-1019.9999999999778
2015.09.07,-102.00000000000209,-150.99999999999002,-190.00000000000128,-88.99999999999464,-362.99999999998,3.0000000000143245,-112.99999999999955,,-1004.9999999999533
2015.09.07,-85.00000000000173,-123.00000000000644,-217.0000000000005,-75.00000000000284,-598.9999999999718,63.99999999999295,-42.999999999992156,,-1077.9999999999827
2015.09.07,-78.99999999999574,-79.99999999999119,-282.0000000000045,14.000000000002899,-658.9999999999652,80.0000000000125,-93.99999999999409,,-1099.9999999999352
2015.09.07,-129.00000000000134,-150.99999999999002,-328.00000000001717,-7.9999999999968985,-700.9999999999739,105.99999999999454,-314.9999999999977,,-1525.9999999999825
2015.09.07,-16.0000000000049,58.000000000002494,-314.99999999999864,-7.0000000000014495,-627.9999999999841,78.00000000000296,-462.99999999999386,,-1292.9999999999775
2015.09.07,-48.000000000003595,-11.999999999989797,-257.0000000000183,31.999999999998696,-530.9999999999704,286.00000000000136,-194.99999999999318,,-724.9999999999752
2015.09.07,-199.00000000000472,-110.99999999999443,-165.00000000001512,156.99999999999602,-425.99999999999307,334.0000000000032,-112.99999999999955,,-523.0000000000077
2015.09.07,-163.00000000000205,-86.99999999999264,-181.00000000000892,66.99999999999484,-377.9999999999894,276.00000000001046,-114.99999999999488,,-580.9999999999826
2015.09.07,-53.999999999998494,-49.99999999999449,-118.00000000001809,66.99999999999484,-313.9999999999699,324.0000000000123,-63.99999999999295,,-208.9999999999668
2015.09.07,-80.99999999999774,-130.99999999999224,-111.00000000001664,116.00000000000499,-313.9999999999699,412.00000000000614,-45.99999999999227,,-154.9999999999577
2015.09.07,-61.999999999995396,-136.99999999998712,-162.00000000001768,78.99999999999574,-402.9999999999756,430.0000000000068,-46.999999999997044,,-301.9999999999703
