date,USDJPY,USDCAD,EURCHF,GBPAUD,AUDCAD,empty,sum
2015.11.02,-54.000000000002046,-62.99999999999084,-293.99999999999426,-537.0000000000097,-129.00000000000134,,-1076.9999999999982
2015.11.02,61.99999999999761,-63.99999999999739,-276.9999999999939,-384.00000000002876,-144.99999999999514,,-808.0000000000176
2015.11.02,89.9999999999892,-42.999999999993044,-323.99999999999096,-496.00000000000756,-195.9999999999962,,-968.9999999999986
2015.11.02,100.99999999999909,4.000000000004,-251.00000000000122,-539.0000000000227,-242.99999999999324,,-928.0000000000141
2015.11.02,12.999999999991019,26.999999999999247,-279.99999999999136,-642.0000000000314,-287.9999999999994,,-1170.0000000000318
2015.11.02,28.999999999996362,62.000000000006494,-340.9999999999913,-755.0000000000168,-358.9999999999982,,-1364.0000000000034
2015.11.02,15.999999999991132,62.000000000006494,-348.9999999999993,-769.0000000000197,-356.9999999999962,,-1397.0000000000175
2015.11.02,-13.00000000000523,-51.000000000001044,-353.99999999998766,-1051.0000000000018,-373.99999999999653,,-1842.9999999999925
2015.11.02,-9.000000000000341,-1.0000000000065512,-329.00000000000153,-870.0000000000152,-334.00000000000097,,-1543.0000000000246
2015.11.02,-1.0000000000047748,-29.999999999996696,-350.9999999999902,-961.9999999999961,-351.0000000000013,,-1694.999999999989
2015.11.02,-85.99999999999852,-28.999999999990145,-360.9999999999891,-988.0000000000333,-356.9999999999962,,-1821.000000000007
2015.11.02,-133.00000000000978,-51.000000000001044,-361.9999999999957,-883.0000000000116,-307.99999999999716,,-1737.0000000000155
2015.11.02,-97.99999999999898,-48.000000000003595,-367.0000000000062,-844.0000000000225,-295.0000000000008,,-1652.0000000000323
2015.11.02,-62.00000000001182,7.0000000000014495,-354.9999999999942,-846.9999999999977,-307.99999999999716,,-1564.9999999999995
2015.11.02,-76.00000000000762,25.999999999992696,-346.0000000000019,-839.9999999999964,-312.00000000000114,,-1548.0000000000143
2015.11.02,-68.00000000001205,-31.999999999987594,-419.9999999999982,-939.0000000000232,-320.9999999999935,,-1780.0000000000146
2015.11.02,-82.00000000000784,-32.999999999994145,-360.0000000000048,-920.9999999999941,-366.9999999999951,,-1762.999999999996
2015.11.02,-14.000000000010004,-8.999999999992347,-296.9999999999917,-920.9999999999941,-380.00000000000256,,-1620.9999999999907
2015.11.02,30.9999999999917,39.999999999995595,-378.999999999996,-884.0000000000181,-356.9999999999962,,-1549.000000000023
2015.11.02,30.000000000001137,-24.999999999986144,-394.00000000000546,-937.00000000001,-402.00000000000233,,-1728.0000000000027
2015.11.02,62.99999999998818,42.0000000000087,-404.9999999999887,-1018.0000000000077,-496.99999999999187,,-1814.9999999999914
2015.11.02,128.0000000000001,133.00000000000534,-381.99999999999346,-1192.9999999999995,-591.9999999999925,,-1905.99999999998
2015.11.02,211.9999999999891,239.99999999999577,-417.99999999998505,-762.0000000000182,-558.9999999999984,,-1287.0000000000168
