date,USDJPY,USDCAD,EURCHF,GBPAUD,AUDCAD,empty,sum
2015.11.02,87.99999999999386,49.99999999999449,-207.99999999998596,-355.0000000000164,-122.99999999999534,,-548.0000000000093
2015.11.02,89.9999999999892,-42.999999999993044,-241.00000000000233,-276.9999999999939,-142.99999999999312,,-613.9999999999932
2015.11.02,155.9999999999917,35.00000000000725,-241.00000000000233,-421.0000000000047,-136.99999999999824,,-608.0000000000064
2015.11.02,114.99999999999488,52.000000000007596,-200.00000000000017,-471.0000000000214,-232.99999999999432,,-737.0000000000134
2015.11.02,66.99999999999307,65.00000000000395,-242.99999999999324,-642.0000000000314,-273.9999999999965,,-1027.000000000024
2015.11.02,111.99999999999477,90.00000000001229,-270.99999999999903,-729.0000000000241,-331.999999999999,,-1130.000000000015
2015.11.02,52.99999999999727,66.99999999999484,-329.99999999998585,-564.000000000009,-217.99999999999596,,-991.9999999999986
2015.11.02,54.99999999999261,-1.0000000000065512,-324.9999999999975,-831.0000000000261,-320.9999999999935,,-1423.000000000031
2015.11.02,15.000000000000568,22.999999999995246,-314.99999999999864,-750.0000000000284,-285.00000000000193,,-1312.0000000000332
2015.11.02,9.000000000000341,-21.00000000000435,-341.99999999999784,-903.0000000000093,-325.99999999999295,,-1583.000000000004
2015.11.02,-65.00000000001194,-15.999999999993797,-339.99999999998477,-805.9999999999956,-271.9999999999945,,-1498.9999999999807
2015.11.02,-94.99999999999886,-46.999999999997044,-360.9999999999891,-816.0000000000167,-271.9999999999945,,-1590.9999999999964
2015.11.02,-42.00000000000159,7.0000000000014495,-353.0000000000033,-758.9999999999985,-280.9999999999979,,-1427.9999999999998
2015.11.02,-43.00000000000637,32.999999999994145,-344.99999999999534,-808.0000000000088,-292.9999999999988,,-1456.0000000000152
2015.11.02,-54.000000000002046,63.000000000013046,-331.999999999999,-701.0000000000183,-270.99999999999903,,-1295.0000000000055
2015.11.02,-53.00000000001148,11.00000000000545,-337.99999999999386,-791.0000000000306,-302.9999999999977,,-1474.0000000000282
2015.11.02,6.000000000000227,2.999999999997449,-295.0000000000008,-883.0000000000116,-346.9999999999973,,-1516.000000000012
2015.11.02,51.00000000000193,63.99999999999739,-265.99999999998846,-859.000000000032,-352.9999999999922,,-1363.0000000000134
2015.11.02,67.99999999999784,79.00000000000685,-348.9999999999993,-683.9999999999957,-288.9999999999948,,-1174.9999999999852
