date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.02.11,0.0,-51.000000000001044,-2.999999999997449,-29.00000000001235,-43.999999999999595,-4.000000000004,-1211.0000000000066,-651.0000000000016,-2.999999999997449,-1.0000000000065512,0.0,-72.99999999998974,-80.99999999999774,-100.00000000000853,-9.999999999998899,-51.99999999998539,-5.999999999994898,-91.99999999999875,-102.99999999999443,-122.0000000000141,-58.99999999999794,-66.99999999999484,-56.99999999999594,,-2818.999999999998
2019.02.11,-260.00000000000466,-62.000000000006494,-34.000000000000696,-56.99999999999594,9.00000000000345,21.00000000000435,-697.0000000000143,-395.0000000000009,-15.999999999993797,24.999999999997247,169.9999999999875,-111.99999999997878,-177.00000000000495,-112.99999999999955,-93.00000000000975,-25.999999999992696,19.999999999997797,-109.00000000000887,-164.00000000000148,-219.0000000000083,11.00000000000545,-179.99999999999127,-112.000000000001,,-2570.0000000000177
2019.02.11,-102.00000000000209,-58.99999999998684,-37.99999999998249,-104.00000000001519,16.0000000000049,95.99999999999609,9.999999999998899,-34.99999999999615,51.000000000001044,48.99999999999905,181.99999999998795,-193.99999999998306,-35.00000000000725,-142.00000000001012,-114.0000000000141,-37.99999999998249,195.00000000001182,-94.99999999999886,-162.9999999999967,-274.0000000000009,26.999999999999247,-263.99999999999756,-134.99999999999625,,-1165.9999999999714
2019.02.11,-71.00000000000995,-89.00000000000574,-48.99999999998794,-99.00000000000463,44.0000000000107,139.99999999999568,-5.000000000010552,-175.00000000000293,126.99999999999933,61.999999999995396,274.99999999997726,-240.9999999999801,-327.00000000001063,-163.0000000000109,-148.00000000001478,9.000000000014552,290.00000000001245,-97.00000000000841,-324.99999999998863,-361.0000000000042,114.99999999999844,-363.99999999999767,-129.99999999998568,,-1582.000000000019
2019.02.11,-67.00000000000594,-92.00000000000318,-51.99999999998539,-134.00000000001188,96.00000000000719,136.99999999999824,-46.0000000000127,-156.99999999999602,118.00000000000699,73.00000000000084,256.9999999999766,-268.9999999999859,-206.00000000001728,-153.0000000000058,-197.00000000000273,73.00000000001194,231.0000000000034,-84.00000000000318,-250.0,-360.00000000001364,204.00000000000418,-381.99999999999346,-167.9999999999904,,-1428.0000000000182
2019.02.11,-18.0000000000069,-79.99999999999119,-54.99999999998284,-121.00000000001555,111.00000000000554,223.00000000000654,-46.999999999997044,-160.00000000000458,236.99999999999832,83.9999999999952,246.99999999998568,-218.99999999999142,-246.00000000001288,-164.00000000000148,-188.00000000001037,116.00000000000499,446.0000000000131,-88.99999999999864,-253.99999999999068,-390.00000000000057,218.00000000000708,-422.9999999999956,-173.99999999998528,,-945.9999999999686
2019.02.11,-59.000000000009045,-104.99999999999955,-73.99999999999629,-182.0000000000155,115.00000000000954,236.00000000000287,-69.00000000000794,-187.00000000000384,236.00000000000287,78.00000000000028,266.9999999999959,-342.9999999999822,-309.0000000000037,-166.00000000001103,-273.9999999999965,117.99999999999588,462.0000000000068,-64.00000000000716,-304.9999999999926,-437.0000000000118,231.99999999999886,-510.99999999999477,-190.00000000000128,,-1531.00000000002
2019.02.11,-66.00000000001049,-92.00000000000318,-76.99999999999375,-219.00000000001364,111.00000000000554,265.99999999999955,-12.999999999996348,-146.00000000000168,243.99999999999977,87.99999999999919,207.9999999999984,-388.9999999999949,-257.0000000000183,-153.0000000000058,-316.0000000000052,59.000000000009045,504.0000000000156,-2.0000000000095497,-263.9999999999958,-421.0000000000065,282.0000000000045,-548.9999999999995,-242.99999999999324,,-1445.0000000000161
2019.02.11,-56.0000000000005,-79.99999999999119,-76.99999999999375,-238.0000000000049,114.00000000000298,229.00000000000142,0.9999999999843467,-126.0000000000039,209.9999999999991,100.00000000000009,233.0000000000041,-384.9999999999909,-209.00000000001472,-169.00000000001114,-334.9999999999964,85.00000000000173,440.00000000001813,-3.0000000000001137,-245.9999999999951,-388.00000000000523,297.9999999999983,-524.9999999999977,-234.00000000000088,,-1360.9999999999964
2019.02.11,-54.00000000000959,-85.00000000000173,-66.99999999999484,-251.00000000000122,111.00000000000554,185.00000000000182,-33.00000000001635,-148.0000000000037,182.99999999999983,90.0000000000012,244.99999999997613,-399.9999999999782,-215.00000000000963,-231.00000000000875,-348.00000000001495,90.00000000001229,341.99999999999784,-63.00000000000239,-296.99999999999704,-379.0000000000049,282.0000000000045,-462.9999999999912,-153.9999999999875,,-1660.0000000000227
2019.02.11,-28.000000000005798,-48.000000000003595,-48.99999999998794,-202.00000000001327,109.00000000000354,173.9999999999964,-5.000000000010552,-141.00000000000225,180.99999999999784,98.99999999999353,304.9999999999784,-323.99999999999096,-249.00000000001032,-267.0000000000101,-287.000000000015,112.000000000001,340.00000000000693,-94.99999999999886,-305.9999999999974,-397.00000000000557,278.00000000000045,-409.99999999999926,-99.99999999998899,,-1310.0000000000618
2019.02.11,-28.000000000005798,-28.999999999990145,-31.999999999987594,-198.00000000000927,50.0000000000056,145.00000000000622,-8.000000000008,-133.00000000000534,167.00000000000603,97.00000000000264,332.9999999999984,-259.9999999999936,-260.0000000000158,-279.0000000000106,-236.99999999999832,28.000000000005798,313.00000000000773,-127.00000000000955,-317.99999999999784,-384.00000000000034,204.00000000000418,-381.99999999999346,-120.99999999999334,,-1458.9999999999825
