,names,week,needed_features,accuracy
0,USDCHF,10,"['USDJPY', 'NZDUSD', 'GBPUSD']",80.0
1,GBPUSD,10,['USDJPY'],100.0
2,EURUSD,10,"['USDJPY', 'NZDUSD', 'GBPUSD']",80.0
3,USDCAD,10,"['EURAUD', 'AUDCHF', 'AUDJPY', 'NZDCHF']",80.0
4,AUDUSD,15,['USDCAD'],80.0
5,NZDUSD,10,"['USDCAD', 'CADJPY', 'EURNZD']",80.0
6,EURCHF,10,"['NZDUSD', 'USDCHF', 'GBPJPY', 'EURUSD', 'USDCAD', 'CADJPY', 'EURNZD']",100.0
7,CHFJPY,10,"['GBPUSD', 'USDCHF', 'EURUSD', 'GBPJPY']",80.0
8,CADCHF,10,"['GBPCAD', 'CADJPY']",80.0
9,NZDCHF,10,"['AUDJPY', 'NZDCHF', 'EURNZD', 'CADJPY', 'USDCAD']",100.0
10,EURGBP,10,"['USDCHF', 'EURUSD', 'GBPJPY']",80.0
11,GBPJPY,15,"['USDJPY', 'NZDUSD', 'GBPUSD', 'USDCHF', 'EURUSD']",80.0
12,GBPCAD,15,['EURCHF'],80.0
13,GBPAUD,50,['AUDJPY'],80.0
14,EURJPY,10,"['GBPUSD', 'USDCHF', 'EURUSD', 'GBPJPY']",80.0
15,EURCAD,10,"['USDCHF', 'EURUSD', 'GBPJPY']",80.0
16,EURAUD,15,"['AUDJPY', 'USDCAD']",100.0
17,EURNZD,30,"['EURAUD', 'AUDCHF', 'AUDJPY', 'NZDCHF', 'USDCAD', 'NZDCAD', 'AUDUSD', 'EURNZD', 'AUDCAD']",100.0
18,CADJPY,10,"['EURAUD', 'AUDCHF']",80.0
19,AUDJPY,20,"['AUDJPY', 'NZDCHF', 'EURNZD', 'CADJPY', 'USDCAD']",100.0
20,NZDJPY,10,"['USDCAD', 'CADJPY', 'EURNZD']",100.0
21,AUDCAD,15,['USDCAD'],100.0
22,NZDCAD,15,['USDCAD'],100.0
23,AUDNZD,10,"['EURGBP', 'GBPCHF', 'GBPUSD', 'USDJPY', 'NZDUSD', 'GBPCAD']",80.0
