timeframe,profit
2021.11.15 00:00,-132.99999999999966
2021.11.15 00:05,-328.9999999999669
2021.11.15 00:10,-427.0000000000605
2021.11.15 00:15,-407.0000000000133
2021.11.15 00:20,-515.0000000000418
2021.11.15 00:25,-333.00000000000904
2021.11.15 00:30,-138.99999999999392
2021.11.15 00:35,-129.00000000001688
2021.11.15 00:40,-397.0000000000273
2021.11.15 00:45,-322.9999999999795
2021.11.15 00:50,-362.9999999999964
2021.11.15 00:55,-347.00000000003143
2021.11.15 01:00,-261.0000000000415
2021.11.15 01:05,-252.00000000000873
2021.11.15 01:10,-127.00000000003928
2021.11.15 01:15,-236.9999999999593
2021.11.15 01:20,-323.000000000004
2021.11.15 01:25,-354.0000000000093
2021.11.15 01:30,-419.00000000001694
2021.11.15 01:35,-344.0000000000625
2021.11.15 01:40,-275.00000000000983
2021.11.15 01:45,-298.00000000003035
2021.11.15 01:50,-171.99999999999082
2021.11.15 01:55,-278.99999999999284
2021.11.15 02:00,-202.0000000000133
2021.11.15 02:05,-147.0000000000158
2021.11.15 02:10,-291.9999999999877
2021.11.15 02:15,-315.9999999999942
2021.11.15 02:20,-235.00000000000654
2021.11.15 02:25,-241.00000000005525
2021.11.15 02:30,-253.9999999999854
2021.11.15 02:35,-212.0000000000074
2021.11.15 02:40,-309.99999999998397
2021.11.15 02:45,-429.00000000000443
2021.11.15 02:50,-414.0000000000143
2021.11.15 02:55,-253.0000000000048
2021.11.15 03:00,-59.99999999998633
2021.11.15 03:05,-212.99999999999793
2021.11.15 03:10,-358.99999999997783
2021.11.15 03:15,-279.00000000000654
2021.11.15 03:20,-432.9999999999963
2021.11.15 03:25,-555.0000000000507
2021.11.15 03:30,-411.9999999999809
2021.11.15 03:35,-455.0000000000075
2021.11.15 03:40,-534.999999999981
2021.11.15 03:45,-623.0000000000202
2021.11.15 03:50,-704.0000000000454
2021.11.15 03:55,-727.9999999999811
2021.11.15 04:00,-609.9999999999994
2021.11.15 04:05,-535.000000000003
2021.11.15 04:10,-402.00000000001705
2021.11.15 04:15,-160.00000000003047
2021.11.15 04:20,-367.0000000000256
2021.11.15 04:25,-241.00000000000907
2021.11.15 04:30,-97.99999999995367
2021.11.15 04:35,-35.00000000000372
2021.11.15 04:40,54.000000000055394
2021.11.15 04:45,-29.999999999993605
2021.11.15 04:50,205.99999999994316
2021.11.15 04:55,-96.00000000001734
2021.11.15 05:00,-105.0000000000204
2021.11.15 05:05,-108.00000000000458
2021.11.15 05:10,-173.9999999999818
2021.11.15 05:15,-173.000000000012
2021.11.15 05:20,-220.00000000000867
2021.11.15 05:25,-199.99999999999358
2021.11.15 05:30,-250.99999999999505
2021.11.15 05:35,-173.00000000000406
2021.11.15 05:40,-251.00000000003098
2021.11.15 05:45,-161.99999999995515
2021.11.15 05:50,-98.0000000000025
2021.11.15 05:55,-176.0000000000095
2021.11.15 06:00,-193.00000000002183
2021.11.15 06:05,-274.0000000000285
2021.11.15 06:10,-180.0000000000322
2021.11.15 06:15,-215.99999999998286
2021.11.15 06:20,-284.99999999999216
2021.11.15 06:25,-282.9999999999918
2021.11.15 06:30,-265.0000000000018
2021.11.15 06:35,-305.0000000000192
2021.11.15 06:40,-302.0000000000041
2021.11.15 06:45,-291.99999999997635
2021.11.15 06:50,-242.00000000004007
2021.11.15 06:55,-255.9999999999834
2021.11.15 07:00,-343.999999999987
2021.11.15 07:05,-418.99999999999113
2021.11.15 07:10,-419.99999999998136
2021.11.15 07:15,-528.0000000000441
2021.11.15 07:20,-552.0000000000244
2021.11.15 07:25,-481.99999999998516
2021.11.15 07:30,-356.99999999999545
2021.11.15 07:35,-460.0000000000257
2021.11.15 07:40,-461.00000000001387
2021.11.15 07:45,-479.0000000000227
2021.11.15 07:50,-520.0000000000227
2021.11.15 07:55,-635.9999999999775
2021.11.15 08:00,-635.0000000000271
2021.11.15 08:05,-660.0000000000282
2021.11.15 08:10,-700.9999999999751
2021.11.15 08:15,-521.999999999971
2021.11.15 08:20,-469.9999999999945
2021.11.15 08:25,-489.00000000001324
2021.11.15 08:30,-424.0000000000274
2021.11.15 08:35,-516.0000000000125
2021.11.15 08:40,-448.0000000000145
2021.11.15 08:45,-294.99999999999636
2021.11.15 08:50,-211.0000000000499
