date,GBPUSD,NZDUSD,EURCHF,CHFJPY,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,NZDCAD,empty,sum
2019.09.02,-63.000000000013046,-60.99999999999994,-22.999999999995246,-65.99999999998829,-100.00000000000009,-82.99999999999974,-45.000000000006146,-48.000000000003595,-53.999999999998494,-113.99999999999189,0.0,-42.999999999992156,-101.99999999999099,-87.00000000000374,,-888.9999999999834
2019.09.02,21.999999999988695,-65.99999999999939,-11.999999999989797,-20.999999999986585,-86.0000000000083,-81.9999999999932,104.99999999999955,-49.99999999999449,-12.999999999996348,-150.99999999999002,17.000000000000348,-38.99999999998727,-129.00000000000134,-132.0000000000099,,-636.999999999968
2019.09.02,27.999999999983594,-108.00000000000809,5.999999999994898,-235.99999999999,-74.00000000000739,-112.000000000001,151.9999999999966,67.00000000001705,46.0000000000127,-56.99999999999594,68.00000000000139,-125.99999999999056,-112.99999999999643,-185.00000000000182,,-643.999999999985
2019.09.02,158.99999999999804,-82.99999999999974,-22.999999999995246,-262.00000000000045,-57.00000000000705,-85.00000000000173,302.0000000000023,167.00000000000603,53.999999999998494,-58.99999999998684,140.0000000000068,-110.99999999999,-115.99999999999389,-146.00000000000168,,-119.99999999996496
2019.09.02,187.99999999998818,-101.00000000000664,-21.999999999988695,-265.99999999999113,-104.00000000000409,-104.99999999999955,300.99999999999574,46.0000000000127,43.999999999999595,-177.99999999998929,62.000000000006494,-162.9999999999967,-147.99999999999258,-153.00000000000313,,-598.9999999999691
2019.09.02,180.0000000000024,-100.00000000000009,-7.0000000000014495,-241.99999999999022,-93.00000000000975,-102.00000000000209,297.9999999999983,92.00000000000318,43.999999999999595,-152.99999999998093,69.00000000000794,-151.9999999999868,-137.9999999999937,-149.00000000001023,,-452.99999999996385
2019.09.02,141.99999999999767,-60.00000000000449,15.999999999993797,-269.999999999996,-68.00000000000139,-70.99999999999883,246.99999999999721,156.00000000000057,34.000000000000696,-43.999999999999595,192.99999999999872,-145.99999999998658,-97.9999999999981,-116.00000000000499,,-85.00000000000132
2019.09.02,49.99999999999449,-12.000000000000899,-17.000000000000348,-259.00000000000034,-53.00000000000304,-41.9999999999976,133.99999999998968,133.00000000000534,34.000000000000696,9.000000000014552,304.9999999999997,-131.00000000000023,-40.99999999999105,-36.0000000000027,,74.0000000000083
2019.09.02,79.99999999999119,-4.999999999999449,-14.000000000002899,-227.99999999999443,-73.00000000000084,-39.999999999995595,188.9999999999947,107.00000000001265,18.0000000000069,-54.99999999998284,290.9999999999968,-118.99999999999977,-58.99999999999794,-24.000000000001798,,68.00000000002669
2019.09.02,123.99999999999079,-128.00000000000588,34.000000000000696,-253.0000000000001,-140.0000000000068,-156.00000000000057,219.99999999999798,53.00000000001415,23.00000000001745,-174.99999999999181,26.999999999999247,-230.99999999999454,-139.99999999999568,-173.00000000000094,,-914.9999999999759
