date,USDCHF,EURUSD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,EURGBP,GBPCAD,EURJPY,EURCAD,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2018.04.23,-37.00000000000925,-151.9999999999966,-41.9999999999976,-113.99999999999189,-2.999999999997449,-87.0000000000033,-36.0000000000027,-108.99999999999244,-316.0000000000052,-217.9999999999893,-302.0000000000023,-73.99999999999807,-45.000000000001705,-173.00000000000094,-116.99999999998934,,-1824.999999999978
2018.04.23,39.999999999995595,-156.00000000000057,-65.00000000000395,-4.999999999988347,5.000000000010552,-81.00000000000307,-11.00000000000545,-100.00000000000009,-319.0000000000026,-212.99999999999386,-280.0000000000136,-67.00000000000728,-46.00000000000648,-192.99999999999872,-154.99999999999403,,-1646.0000000000118
2018.04.23,90.0000000000012,-184.00000000000637,-50.0000000000056,5.000000000010552,74.0000000000185,-52.99999999999727,42.999999999993044,-146.99999999999713,-350.9999999999902,-176.9999999999925,-336.00000000000296,-23.000000000010346,-18.000000000000682,-187.9999999999993,-136.99999999998712,,-1451.9999999999661
2018.04.23,122.99999999999534,-147.99999999999258,-36.0000000000027,133.00000000000534,130.0000000000079,-66.0000000000025,84.99999999999064,-108.99999999999244,-367.0000000000062,-173.00000000000182,-303.0000000000088,-32.00000000001069,3.0000000000001137,-182.00000000000438,-220.99999999998232,,-1163.000000000005
2018.04.23,156.00000000000057,-131.99999999999878,-21.00000000000435,177.00000000000495,148.00000000001478,-67.99999999999784,100.99999999999554,-84.99999999999064,-388.9999999999949,-183.9999999999975,-306.00000000000625,-37.00000000000614,9.000000000000341,-163.00000000000205,-213.99999999998087,,-1007.999999999963
2018.04.23,163.99999999999747,-112.000000000001,-5.999999999994898,175.00000000001404,140.0000000000068,-125.0,101.99999999999099,-90.99999999999665,-422.9999999999956,-234.00000000000887,-304.9999999999997,-64.00000000000716,36.000000000001364,-168.99999999999693,-238.99999999998923,,-1150.9999999999795
2018.04.23,170.99999999999892,-95.00000000000064,-0.999999999995449,219.00000000001364,131.00000000001444,-97.99999999999898,103.99999999999298,-52.99999999999194,-503.99999999999335,-206.99999999999363,-273.9999999999965,-18.000000000000682,57.999999999992724,-119.99999999999788,-268.9999999999859,,-955.9999999999421
2018.04.23,152.99999999999204,-73.99999999999629,-31.999999999998696,253.00000000001432,76.0000000000094,-103.9999999999992,109.99999999999899,8.000000000008,-479.0000000000072,-137.00000000000045,-211.00000000000563,-67.00000000000728,63.99999999999295,-163.00000000000205,-295.99999999998516,,-898.9999999999864
2018.04.23,195.00000000000074,-15.00000000000945,-24.000000000001798,282.0000000000045,85.00000000000173,-73.0000000000075,131.99999999999878,25.00000000000835,-445.99999999999085,-144.00000000000546,-154.99999999999403,-82.00000000000784,36.99999999999193,-153.00000000000313,-262.999999999991,,-599.0000000000052
2018.04.23,146.99999999999713,-100.99999999999554,-68.00000000000139,331.0000000000146,110.00000000001009,-112.00000000000898,152.99999999999204,38.0000000000047,-462.0000000000068,-200.9999999999934,-150.00000000000568,-118.99999999999977,6.000000000000227,-151.9999999999966,-274.9999999999808,,-854.9999999999701
