date,USDCAD,AUDUSD,empty,sum
2019.03.25,20.000000000020002,12.000000000000899,,32.000000000020904
2019.03.25,18.0000000000069,31.000000000003247,,49.00000000001015
2019.03.25,14.000000000002899,46.999999999997044,,60.99999999999994
2019.03.25,11.00000000000545,-4.000000000004,,7.0000000000014495
2019.03.25,65.00000000000395,73.00000000000084,,138.00000000000477
2019.03.25,140.0000000000068,109.99999999999899,,250.0000000000058
2019.03.25,99.00000000000463,88.99999999999464,,187.99999999999926
2019.03.25,101.00000000001774,61.999999999995396,,163.00000000001313
2019.03.25,53.00000000001415,49.99999999999449,,103.00000000000864
2019.03.25,78.00000000000028,21.999999999999797,,100.00000000000009
2019.03.25,70.99999999999883,24.000000000001798,,95.00000000000063
2019.03.25,30.0000000000189,0.0,,30.0000000000189
2019.03.25,26.0000000000149,12.000000000000899,,38.0000000000158
2019.03.25,19.00000000001345,2.999999999997449,,22.0000000000109
2019.03.25,13.000000000018552,-12.000000000000899,,1.0000000000176534
2019.03.25,-21.999999999988695,-24.000000000001798,,-45.99999999999049
2019.03.25,19.00000000001345,-19.999999999997797,,-0.9999999999843467
2019.03.25,17.000000000000348,-14.000000000002899,,2.999999999997449
2019.03.25,-25.999999999992696,-17.000000000000348,,-42.999999999993044
2019.03.25,-61.99999999998429,-65.00000000000395,,-126.99999999998823
2019.03.25,-95.999999999985,-107.99999999999699,,-203.99999999998198
2019.03.25,1.0000000000065512,-87.99999999999919,,-86.99999999999264
2019.03.25,-118.99999999998023,-129.00000000000134,,-247.99999999998158
2019.03.25,-165.9999999999995,-124.99999999999733,,-290.9999999999968
2019.03.25,-157.99999999999147,-144.99999999999514,,-302.9999999999866
2019.03.25,-83.9999999999952,-109.99999999999899,,-193.9999999999942
2019.03.25,32.0000000000098,-126.0000000000039,,-93.99999999999409
2019.03.25,108.00000000001918,-161.00000000000003,,-52.999999999980844
2019.03.25,22.0000000000109,-246.99999999999721,,-224.9999999999863
2019.03.25,106.00000000000608,-241.00000000000233,,-134.99999999999625
2019.03.25,103.00000000000864,-229.00000000000142,,-125.99999999999278
2019.03.25,123.00000000000644,-207.00000000000162,,-83.99999999999518
2019.03.25,83.00000000001084,-197.00000000000273,,-113.99999999999189
2019.03.25,58.000000000002494,-239.0000000000003,,-180.9999999999978
2019.03.25,-217.0000000000005,-351.99999999999676,,-568.9999999999973
2019.03.25,-49.99999999999449,-329.999999999997,,-379.9999999999915
2019.03.25,-5.999999999994898,-278.00000000000045,,-283.99999999999534
2019.03.25,-36.999999999998145,-295.0000000000008,,-331.9999999999989
2019.03.25,-144.99999999999514,-324.00000000000205,,-468.99999999999716
2019.03.25,-71.99999999998319,-314.0000000000032,,-385.99999999998636
2019.03.25,-83.9999999999952,-299.00000000000483,,-383.0
2019.03.25,-135.9999999999806,-275.000000000003,,-410.99999999998363
2019.03.25,-107.99999999999699,-251.99999999999667,,-359.99999999999363
2019.03.25,-232.99999999999432,-300.0000000000003,,-532.9999999999945
2019.03.25,-213.99999999998087,-285.9999999999974,,-499.9999999999783
