date,USDCHF,EURUSD,USDJPY,AUDUSD,NZDUSD,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2020.07.27,-33.000000000005244,-121.99999999999989,-94.99999999999886,-170.99999999999892,-95.00000000000064,-372.99999999999045,0.0,-121.99999999999989,-105.00000000001819,-327.99999999999494,-170.99999999999227,-29.00000000001235,-117.999999999995,-228.9999999999992,-289.0000000000059,-179.99999999999127,,-2460.000000000003
2020.07.27,69.9999999999923,-24.000000000001798,-43.00000000000637,-202.9999999999976,-224.000000000002,-167.99999999999216,77.00000000000485,-93.00000000000975,-1.0000000000047748,-367.0000000000062,-103.9999999999992,-55.000000000005045,-176.9999999999925,-231.99999999999932,-211.00000000000563,-225.99999999999287,,-1981.0000000000182
2020.07.27,109.99999999999899,-92.00000000000318,-39.00000000000148,-166.99999999999494,-190.00000000000128,-171.99999999999704,118.00000000000699,-118.00000000000699,-10.99999999999568,-255.99999999998957,-123.99999999999523,-69.9999999999923,-141.00000000000534,-158.99999999999181,-126.0000000000039,-164.99999999999292,,-1601.9999999999657
2020.07.27,108.99999999999244,-117.00000000001154,22.999999999996135,-126.0000000000039,-182.00000000000438,-140.99999999999113,135.00000000000733,-124.00000000000189,32.99999999998704,-34.000000000000696,-96.9999999999942,-137.9999999999937,-66.0000000000025,-106.99999999999932,-121.99999999999989,-172.99999999998983,,-1127.00000000001
2020.07.27,148.99999999999915,-96.00000000000719,-37.00000000000614,-144.99999999999514,-182.99999999999983,-193.9999999999884,130.0000000000079,-125.00000000000844,-46.999999999997044,-106.99999999999044,-149.0000000000009,-168.99999999999693,-141.9999999999959,-161.00000000000136,-161.00000000000003,-196.99999999999162,,-1633.9999999999723
2020.07.27,112.000000000001,-123.00000000000644,-39.00000000000148,-229.99999999999687,-250.00000000000577,-222.99999999999898,148.0000000000037,-92.00000000000318,-121.00000000000932,-208.00000000000819,-185.99999999999284,-80.00000000001339,-221.00000000000364,-240.99999999999966,-214.99999999999852,-229.99999999999687,,-2199.0000000000305
2020.07.27,41.9999999999976,-276.00000000000955,-37.00000000000614,-268.99999999999704,-306.00000000000625,-336.9999999999891,135.00000000000733,-144.0000000000108,-193.00000000001205,-202.9999999999976,-345.9999999999894,-148.99999999999915,-265.00000000000057,-274.9999999999915,-212.00000000000108,-258.9999999999981,,-3094.000000000003
2020.07.27,-118.00000000000699,-551.0000000000126,-37.9999999999967,-380.999999999998,-341.0000000000024,-378.0000000000001,82.00000000000429,-267.00000000000614,-197.00000000000273,-313.99999999999204,-458.999999999989,-412.00000000001234,-280.00000000000114,-265.00000000000057,-297.00000000000284,-242.99999999999324,,-4459.000000000014
2020.07.27,-60.00000000000449,-500.9999999999959,162.9999999999967,-380.00000000000256,-400.00000000000034,-204.9999999999983,126.0000000000039,-223.00000000000654,-87.99999999999386,-283.99999999999534,-315.9999999999883,-341.99999999999784,-224.00000000000375,-262.00000000000045,-261.99999999999557,-299.99999999998914,,-3557.9999999999714
2020.07.27,-96.00000000000719,-551.9999999999969,170.0000000000017,-432.9999999999945,-450.00000000000597,-209.99999999999375,134.0000000000008,-189.00000000000583,-111.99999999999477,-303.9999999999932,-319.9999999999932,-357.00000000000733,-246.9999999999999,-275.99999999999625,-324.9999999999975,-346.9999999999973,,-3913.999999999981
2020.07.27,-108.00000000000809,-512.0000000000014,311.00000000000705,-410.9999999999947,-429.99999999999704,-96.9999999999942,97.9999999999981,-178.00000000000037,14.999999999986358,-269.9999999999925,-181.99999999998795,-353.0000000000033,-174.99999999999716,-200.9999999999934,-321.0000000000046,-334.9999999999964,,-3148.999999999979
2020.07.27,-241.99999999999778,-724.9999999999978,371.9999999999999,-565.0000000000044,-526.0000000000042,-161.99999999999193,68.00000000000139,-192.00000000000327,-44.00000000001114,-368.9999999999971,-269.999999999996,-472.00000000000574,-240.99999999999966,-218.9999999999941,-428.00000000000614,-372.99999999999,,-4387.999999999998
2020.07.27,-313.00000000000773,-815.9999999999945,433.00000000000693,-614.9999999999989,-568.9999999999973,-208.99999999998897,56.0000000000005,-211.00000000000563,-25.000000000005684,-435.0000000000076,-277.000000000001,-510.00000000001046,-257.99999999999557,-229.99999999998977,-453.0000000000034,-392.9999999999989,,-4824.999999999998
2020.07.27,-292.9999999999988,-731.000000000015,445.99999999999795,-573.9999999999967,-546.000000000002,-194.99999999999318,48.000000000003595,-228.00000000000597,-2.0000000000095497,-401.99999999999125,-265.99999999999113,-448.000000000004,-239.00000000000432,-230.99999999999454,-414.00000000000324,-389.99999999999034,,-4464.999999999999
