date,USDCHF,USDJPY,GBPCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2016.12.05,-306.9999999999906,-121.00000000000932,-398.00000000000944,-171.00000000000648,-322.00000000000006,-265.0000000000041,-255.00000000000523,-305.0000000000068,-15.000000000000568,-600.0000000000006,-120.00000000000455,-149.0000000000009,-54.000000000002046,-256.0000000000007,,-3338.000000000041
2016.12.05,-546.000000000002,-334.0000000000032,-371.00000000001023,-200.00000000000284,-236.00000000000287,-236.99999999999832,-290.00000000000136,-685.0000000000023,158.00000000000125,-415.99999999999415,-219.99999999999886,-260.0000000000051,-180.99999999999739,-181.00000000000892,,-3999.000000000026
2016.12.05,-709.0000000000041,-113.00000000001376,-516.0000000000053,129.99999999999545,-275.000000000003,-394.00000000000546,-531.9999999999991,-74.00000000001228,313.99999999999295,-926.0000000000045,102.99999999999443,10.99999999999568,33.00000000000125,-240.00000000000688,,-3188.0000000000746
2016.12.05,-591.9999999999925,-367.00000000000443,-473.99999999999665,-200.00000000000284,-304.9999999999997,-317.0000000000006,-446.9999999999974,-584.0000000000032,51.00000000000193,-686.9999999999932,-213.00000000000807,-347.999999999999,-109.99999999999943,-296.0000000000074,,-4889.000000000002
2016.12.05,-499.9999999999893,-600.0000000000085,-842.0000000000094,-504.0000000000049,-205.99999999999508,39.999999999995595,-519.9999999999983,-1510.9999999999957,-257.000000000005,364.00000000000875,-320.0000000000074,-442.99999999999784,-140.99999999999113,-180.0000000000024,,-5620.000000000001
2016.12.05,-489.99999999999045,-607.0000000000135,-626.9999999999998,-302.0000000000067,-236.99999999999832,41.9999999999976,-365.99999999999966,-1063.999999999993,-55.00000000000682,404.0000000000044,-273.00000000001035,-433.9999999999975,-16.999999999995907,-240.00000000000688,,-4266.000000000016
2016.12.05,-531.9999999999991,-657.0000000000107,-822.0000000000116,-314.9999999999977,-239.99999999999577,40.99999999999105,-473.0000000000012,-1253.9999999999907,-72.00000000000273,392.9999999999989,-290.00000000000625,-429.9999999999926,19.000000000005457,-223.00000000000654,,-4855.00000000002
2016.12.05,-507.9999999999973,-621.9999999999999,-748.0000000000153,-350.9999999999991,-193.99999999999417,60.99999999999994,-399.0000000000049,-1205.9999999999889,-132.99999999999557,496.99999999999187,-316.0000000000025,-436.9999999999976,7.000000000005002,-208.00000000000819,,-4557.000000000006
2016.12.05,-553.0000000000035,-629.0000000000049,-723.0000000000069,-242.999999999995,-241.99999999999778,74.99999999999174,-407.99999999999727,-1069.9999999999932,21.000000000000796,500.00000000001154,-255.00000000000966,-393.0000000000007,76.99999999999818,-218.00000000000708,,-4061.0000000000136
2016.12.05,-573.9999999999857,-467.00000000001296,-632.0000000000103,-84.99999999999375,-258.9999999999981,-14.999999999998348,-348.9999999999993,-710.000000000008,215.99999999999397,314.99999999999864,-128.0000000000001,-254.0000000000049,100.99999999999909,-190.00000000000128,,-3031.000000000021
2016.12.05,-670.9999999999993,-477.00000000000387,-865.0000000000047,-54.000000000002046,-415.99999999999415,-184.00000000000637,-531.9999999999991,-847.0000000000084,237.99999999999955,-87.99999999999919,-136.0000000000099,-343.9999999999941,18.000000000000682,-325.00000000000864,,-4683.000000000029
2016.12.05,-642.9999999999936,-411.00000000000136,-913.0000000000083,108.99999999999466,-473.0000000000012,-260.00000000000466,-544.0,-788.0000000000109,438.99999999999295,-219.99999999999798,-115.0000000000091,-353.9999999999992,-10.99999999999568,-351.0000000000013,,-4535.0000000000355
2016.12.05,-668.9999999999862,-397.00000000000557,-951.9999999999973,79.9999999999983,-502.9999999999979,-265.0000000000041,-585.9999999999976,-907.999999999987,411.00000000000136,-263.99999999999756,-159.00000000000603,-444.9999999999932,-77.99999999998875,-391.000000000008,,-5125.99999999997
2016.12.05,-593.9999999999834,-402.000000000001,-834.0000000000014,19.99999999999602,-522.9999999999957,-238.0000000000049,-522.0000000000002,-837.9999999999939,364.0000000000043,-214.99999999998744,-203.00000000000296,-501.0000000000048,-106.99999999999932,-423.0000000000067,,-5015.99999999998
2016.12.05,-551.9999999999969,-400.0000000000057,-815.0000000000101,-55.999999999997385,-475.0000000000032,-219.00000000000253,-494.00000000000557,-913.0000000000109,251.99999999999534,-170.00000000000347,-219.0000000000083,-496.9999999999999,-128.99999999999068,-367.0000000000062,,-5054.0000000000455
2016.12.05,-466.9999999999952,-357.00000000001353,-726.0000000000044,-69.99999999999318,-353.0000000000033,-187.00000000000384,-448.9999999999994,-847.9999999999848,260.0000000000051,-80.99999999999774,-207.00000000000784,-385.9999999999957,-102.99999999999443,-236.00000000000287,,-4209.999999999991
2016.12.05,-499.000000000005,-341.0000000000082,-758.9999999999985,-52.99999999999727,-343.9999999999999,-175.99999999999838,-468.9999999999972,-793.0000000000064,262.00000000000045,-60.99999999999994,-198.0000000000075,-352.00000000000387,-49.99999999999716,-243.99999999999977,,-4077.000000000019
2016.12.05,-483.99999999999557,-354.0000000000134,-758.0000000000142,-19.000000000005457,-319.99999999999807,-224.000000000002,-449.9999999999948,-828.000000000003,286.00000000000136,-106.00000000000608,-185.00000000000227,-310.0000000000023,-93.99999999999409,-203.00000000000873,,-4049.000000000038
2016.12.05,-492.0000000000035,-638.0000000000052,-738.0000000000164,-518.0000000000007,-232.99999999999432,-177.00000000000495,-387.000000000004,-1336.0000000000127,-350.9999999999991,-29.999999999996696,-415.9999999999968,-545.9999999999923,-253.99999999999068,-195.00000000000074,,-6311.000000000019
2016.12.05,-312.9999999999855,-749.0000000000094,-594.0000000000057,-772.9999999999961,-198.99999999999363,-42.0000000000087,-270.99999999999903,-1414.999999999992,-646.0000000000008,368.9999999999971,-502.00000000000955,-638.0000000000052,-347.999999999999,-219.00000000000253,,-6340.000000000011
2016.12.05,-380.9999999999869,-902.000000000001,-733.0000000000059,-992.0000000000044,-232.99999999999432,-53.00000000000304,-221.99999999999997,-1924.0000000000066,-1397.9999999999961,563.0000000000024,-697.0000000000027,-826.9999999999982,-456.99999999999363,-257.0000000000072,,-8512.999999999998
2016.12.05,-243.99999999999977,-951.0000000000076,-805.0000000000113,-962.9999999999939,-163.99999999999747,48.99999999999905,-39.00000000000014,-2032.0000000000107,-1397.0000000000055,1212.9999999999975,-692.0000000000073,-819.9999999999932,-447.00000000000273,-229.00000000000142,,-7521.0000000000355
2016.12.05,-263.99999999999756,-951.0000000000076,-656.0000000000122,-891.0000000000053,-109.99999999999899,100.00000000000009,5.999999999994898,-1819.9999999999932,-1213.0000000000082,1184.0000000000073,-664.0000000000015,-746.9999999999999,-368.9999999999998,-155.00000000000514,,-6550.000000000028
2016.12.05,-340.9999999999913,-984.0000000000089,-770.000000000004,-923.0000000000018,-148.0000000000037,-34.000000000000696,-43.999999999999595,-1989.0000000000043,-1304.000000000002,1157.000000000008,-698.0000000000075,-748.9999999999952,-445.99999999999795,-125.00000000000844,,-7398.000000000017
2016.12.05,-361.9999999999957,-1248.0000000000045,-895.0000000000014,-1090.999999999994,-44.99999999999504,56.99999999999594,-50.0000000000056,-2252.999999999986,-1486.9999999999948,1212.9999999999975,-840.0000000000034,-760.0000000000051,-521.9999999999914,-26.999999999999247,,-8309.999999999984
2016.12.05,-394.9999999999898,-1156.000000000006,-924.9999999999981,-1034.000000000006,-29.000000000001247,100.00000000000009,-38.0000000000047,-2128.999999999991,-1634.0000000000005,1435.9999999999927,-782.0000000000107,-676.9999999999925,-382.99999999999557,51.000000000001044,,-7595.000000000002
2016.12.05,-329.99999999998585,-1156.000000000006,-737.0000000000099,-1412.0000000000061,40.00000000000669,163.99999999999747,138.00000000000477,-2081.9999999999936,-2251.0000000000045,1699.0000000000061,-861.0000000000042,-686.9999999999976,-381.9999999999908,58.99999999999794,,-7797.999999999985
2016.12.05,-1.999999999990898,-1195.0000000000073,-390.0000000000015,-1507.000000000005,226.00000000000398,368.9999999999971,385.000000000002,-2348.9999999999895,-2281.000000000006,2319.0000000000045,-871.0000000000093,-783.9999999999918,-390.00000000000057,8.999999999992347,,-6461.000000000001
2016.12.05,56.000000000011596,-1275.0000000000057,-442.00000000000904,-1543.0000000000064,221.99999999999997,518.9999999999917,373.99999999999653,-2393.000000000001,-2302.9999999999973,2500.9999999999977,-856.9999999999993,-825.9999999999934,-352.99999999999443,-43.00000000000415,,-6363.000000000014
2016.12.05,68.00000000000139,-1242.0000000000045,-279.00000000000705,-1563.0000000000023,200.00000000000017,481.9999999999935,375.0000000000031,-2247.9999999999905,-2135.9999999999955,2222.9999999999973,-873.0000000000047,-816.9999999999931,-353.9999999999992,-46.00000000000159,,-6210.000000000003
2016.12.05,182.0000000000155,-1124.0000000000095,-211.00000000000563,-1585.9999999999986,212.00000000000108,461.99999999999574,438.00000000000506,-2151.0000000000105,-2164.0000000000014,2232.000000000012,-956.0000000000031,-885.9999999999957,-408.9999999999918,-11.00000000000545,,-5971.999999999992
2016.12.05,90.99999999999665,-1180.0000000000068,-303.0000000000088,-1500.0,143.9999999999997,509.9999999999993,378.999999999996,-2206.9999999999936,-2048.000000000002,2323.000000000008,-1022.0000000000056,-905.0000000000011,-338.99999999999864,-2.000000000002,,-6059.000000000018
2016.12.05,130.0000000000079,-1096.0000000000036,-245.0000000000063,-1594.9999999999989,112.000000000001,522.0000000000002,402.00000000000233,-2174.0000000000064,-2250.0,2326.000000000006,-1066.0000000000025,-977.0000000000039,-366.9999999999902,-36.0000000000027,,-6313.999999999996
2016.12.05,241.00000000000233,-1243.9999999999998,-127.00000000001043,-1734.9999999999995,82.00000000000429,424.9999999999976,578.9999999999961,-2276.999999999987,-2609.9999999999995,2516.0000000000073,-1225.0000000000086,-1150.9999999999964,-590.999999999994,25.999999999992696,,-7090.999999999995
2016.12.05,100.99999999999554,-1574.0000000000123,-306.00000000000625,-2022.9999999999961,14.999999999998348,323.99999999999096,697.9999999999986,-2663.9999999999873,-2971.999999999994,2446.999999999999,-1427.9999999999973,-1367.999999999995,-807.9999999999927,-23.00000000000635,,-9581.000000000004
2016.12.05,-25.999999999992696,-1553.0000000000114,-365.99999999999966,-1867.0000000000045,-263.0000000000021,31.999999999998696,668.9999999999974,-2739.0000000000045,-2951.0000000000077,2024.0000000000036,-1376.0000000000048,-1352.0000000000039,-843.9999999999941,-172.00000000000549,,-10784.000000000033
2016.12.05,-58.000000000002494,-1250.0,-330.0000000000081,-1435.0000000000023,-314.99999999999864,-51.000000000001044,717.000000000001,-2123.9999999999955,-2486.000000000004,1761.9999999999968,-1353.0000000000086,-1334.9999999999936,-887.999999999991,-254.00000000000978,,-9400.000000000018
2016.12.05,-12.999999999996348,-1069.0000000000027,-273.9999999999965,-1290.9999999999968,-353.99999999999875,-77.00000000000485,722.0000000000005,-1866.9999999999902,-2293.0000000000064,1635.0000000000086,-1103.0000000000086,-1284.9999999999966,-824.9999999999886,-294.00000000000534,,-8387.999999999984
2016.12.05,66.00000000001049,-982.0000000000135,-199.00000000001583,-1332.9999999999984,-253.99999999999866,-51.000000000001044,748.0000000000042,-1794.0000000000111,-2332.0000000000077,1682.0000000000057,-1061.000000000007,-1210.9999999999986,-850.9999999999991,-269.00000000000813,,-7841.000000000038
2016.12.05,205.00000000001074,-854.0000000000134,17.999999999984695,-1286.0000000000014,-212.99999999999653,-70.0000000000034,887.0000000000044,-1585.000000000008,-2230.000000000004,1631.0000000000048,-996.9999999999999,-1126.9999999999955,-819.9999999999932,-232.00000000000998,,-6673.000000000021
2016.12.05,394.00000000000546,-437.0000000000118,-7.0000000000014495,-1168.9999999999968,-163.99999999999747,31.999999999998696,968.9999999999976,-1371.9999999999857,-2302.000000000007,1886.00000000001,-743.9999999999998,-905.0000000000011,-590.999999999994,-313.00000000000773,,-4722.999999999991
2016.12.05,421.0000000000047,-462.0000000000033,25.999999999992696,-1138.999999999996,-85.00000000000173,76.99999999999375,997.0000000000034,-1407.0000000000107,-2262.0000000000005,2126.0000000000055,-780.0000000000011,-909.9999999999966,-578.9999999999935,-243.00000000000432,,-4220.000000000008
2016.12.05,470.00000000001484,-585.000000000008,96.99999999999153,-1307.9999999999927,-42.999999999993044,129.9999999999968,1017.0000000000013,-1490.9999999999854,-2382.000000000005,2195.999999999998,-807.0000000000022,-945.999999999998,-586.9999999999891,-243.00000000000432,,-4481.999999999975
2016.12.05,449.9999999999948,-580.0000000000125,80.99999999999774,-1293.9999999999968,-20.999999999993246,175.99999999999838,987.0000000000045,-1497.9999999999905,-2382.000000000005,2303.999999999995,-761.0000000000099,-954.9999999999983,-585.9999999999985,-274.00000000000756,,-4353.000000000022
2016.12.05,392.9999999999989,-596.0000000000036,75.99999999998718,-1254.9999999999955,21.00000000000435,188.9999999999947,973.0000000000016,-1463.9999999999986,-2284.9999999999964,2239.9999999999977,-734.0000000000089,-884.0000000000003,-522.9999999999961,-233.00000000000543,,-4082.00000000002
2016.12.05,397.0000000000029,-566.0000000000025,41.000000000002146,-1224.9999999999943,34.000000000000696,158.99999999999804,927.9999999999955,-1477.0000000000039,-2227.9999999999945,2150.999999999992,-683.9999999999975,-825.0000000000028,-554.9999999999926,-225.00000000000853,,-4075.000000000006
2016.12.05,415.0000000000098,-598.0000000000132,53.999999999998494,-1287.0000000000061,51.000000000001044,152.99999999999204,914.0000000000038,-1530.0000000000011,-2278.9999999999964,2122.000000000002,-728.0000000000086,-829.9999999999983,-595.9999999999894,-218.00000000000708,,-4357.000000000014
2016.12.05,442.00000000000904,-679.000000000002,48.99999999998794,-1361.000000000004,57.00000000000705,90.99999999999665,912.0000000000017,-1662.0000000000061,-2364.999999999995,1997.0000000000043,-799.0000000000066,-927.9999999999973,-740.9999999999997,-197.00000000000273,,-5184.000000000007
2016.12.06,387.000000000004,-669.0000000000111,2.999999999997449,-1391.0000000000055,41.000000000002146,93.99999999999409,866.9999999999956,-1646.9999999999914,-2352.9999999999945,1381.9999999999943,-770.0000000000102,-926.0000000000019,-711.9999999999891,-226.99999999999943,,-5921.000000000015
2016.12.06,405.0000000000109,-677.0000000000067,2.999999999997449,-1379.9999999999955,34.99999999999615,97.9999999999981,861.0000000000007,-1650.0000000000057,-2329.0000000000077,1978.9999999999975,-772.0000000000056,-923.0000000000018,-707.9999999999984,-235.00000000000742,,-5293.000000000028
2016.12.06,415.0000000000098,-637.0000000000005,21.999999999988695,-1326.9999999999982,-42.999999999993044,42.999999999993044,844.0000000000003,-1609.0000000000089,-2280.000000000001,1882.000000000006,-771.0000000000008,-998.9999999999952,-754.9999999999955,-290.00000000000136,,-5504.999999999996
2016.12.06,391.000000000008,-751.0000000000048,14.000000000002899,-1388.0000000000052,-22.999999999995246,52.99999999999194,866.9999999999956,-1710.000000000008,-2343.0000000000036,1896.9999999999932,-826.9999999999982,-1001.0000000000048,-756.9999999999908,-268.0000000000016,,-5846.000000000021
2016.12.06,387.000000000004,-729.0000000000134,4.999999999988347,-1356.9999999999993,-26.999999999999247,-31.000000000003247,863.0000000000026,-1700.9999999999934,-2341.000000000008,1700.0000000000125,-819.0000000000026,-950.0000000000028,-756.0000000000002,-270.0000000000036,,-6026.000000000018
2016.12.06,368.00000000001273,-567.0000000000073,7.999999999985796,-1173.0000000000018,26.999999999999247,-47.00000000000814,856.9999999999967,-1421.999999999997,-2103.999999999999,1649.0000000000116,-661.0000000000014,-798.0000000000018,-701.9999999999982,-209.9999999999991,,-4775.000000000008
2016.12.06,400.00000000000034,-515.0000000000006,1.999999999990898,-1174.0000000000066,177.00000000000495,1.999999999990898,846.9999999999977,-1473.9999999999895,-2093.0000000000036,1756.000000000002,-674.0000000000066,-605.9999999999945,-665.9999999999968,-20.0000000000089,,-4038.0000000000205
2016.12.06,422.00000000001125,-535.0000000000108,-22.0000000000109,-1198.9999999999982,216.0000000000051,-6.0000000000060005,843.0000000000049,-1537.0000000000061,-2138.0000000000055,1757.999999999993,-677.9999999999973,-617.999999999995,-716.9999999999987,17.999999999995797,,-4193.000000000019
2016.12.06,441.0000000000025,-491.00000000001387,-21.00000000000435,-1189.9999999999977,255.00000000000523,0.999999999995449,839.0000000000009,-1516.999999999996,-2135.9999999999955,1764.00000000001,-648.0000000000103,-572.0000000000027,-716.9999999999987,39.00000000000014,,-3953.000000000005
2016.12.06,459.0000000000094,-458.0000000000126,-83.9999999999952,-1188.999999999993,234.99999999999633,4.999999999999449,814.9999999999991,-1564.9999999999977,-2140.0000000000005,1793.0000000000002,-614.0000000000043,-578.000000000003,-700.9999999999934,12.999999999996348,,-4008.999999999999
2016.12.06,431.0000000000036,-473.0000000000132,-136.00000000000279,-1168.0000000000064,177.00000000000495,-43.00000000000415,768.9999999999975,-1603.0000000000086,-2132.9999999999955,1686.0000000000098,-628.0000000000001,-582.9999999999984,-711.9999999999891,-21.999999999999797,,-4438.000000000002
2016.12.06,381.0000000000091,-606.0000000000088,-160.00000000000458,-1230.000000000004,126.99999999999933,96.99999999999153,739.9999999999962,-1723.9999999999895,-2162.0000000000064,1973.0000000000025,-685.0000000000023,-733.9999999999947,-602.9999999999944,-96.00000000000719,,-4682.000000000012
2016.12.06,368.9999999999971,-639.00000000001,-211.00000000000563,-1245.0000000000045,121.99999999999989,-95.00000000000064,737.9999999999942,-1775.0000000000057,-2210.9999999999986,1578.999999999997,-704.0000000000077,-750.0,-847.999999999999,-120.00000000000898,,-5790.000000000054
2016.12.06,380.00000000000256,-615.0000000000091,-177.00000000000495,-1233.9999999999945,126.0000000000039,-58.000000000002494,753.0000000000036,-1758.9999999999861,-2186.0000000000073,1662.000000000008,-674.9999999999972,-724.0000000000038,-774.9999999999915,-120.00000000000898,,-5401.999999999988
2016.12.06,377.0000000000051,-618.0000000000092,-226.99999999999943,-1242.999999999995,141.99999999999767,58.99999999999794,717.9999999999964,-1830.0000000000125,-2197.0000000000027,1900.999999999997,-668.0000000000064,-737.9999999999995,-682.9999999999927,-138.00000000000477,,-5145.000000000028
2016.12.06,375.9999999999986,-694.0000000000026,-171.00000000001003,-1308.9999999999975,145.00000000000622,86.99999999999264,741.9999999999982,-1847.0000000000084,-2272.9999999999964,1964.0000000000102,-727.0000000000039,-712.9999999999939,-667.0000000000016,-117.00000000000044,,-5204.000000000008
2016.12.06,310.0000000000103,-942.0000000000073,-252.0000000000078,-1474.9999999999943,212.00000000000108,58.99999999999794,678.9999999999962,-2157.000000000011,-2429.000000000002,1873.999999999998,-899.0000000000009,-822.0000000000027,-798.9999999999924,12.999999999996348,,-6628.000000000018
2016.12.06,283.000000000011,-957.0000000000078,-370.00000000000364,-1513.999999999996,231.99999999999886,109.99999999999899,561.9999999999958,-2319.999999999993,-2415.999999999997,1991.9999999999939,-926.0000000000019,-829.9999999999983,-765.0000000000006,64.99999999999284,,-6854.000000000007
2016.12.06,300.99999999999574,-944.0000000000026,-365.0000000000153,-1487.9999999999995,200.00000000000017,140.99999999999113,554.9999999999944,-2252.999999999986,-2367.999999999995,1947.0000000000098,-903.0000000000058,-807.9999999999927,-724.9999999999943,27.999999999994696,,-6682.0000000000055
2016.12.06,415.0000000000098,-766.0000000000053,-256.99999999999613,-1471.999999999994,197.00000000000273,124.00000000000189,619.0000000000028,-2064.9999999999977,-2391.999999999996,1964.9999999999945,-891.0000000000053,-769.999999999996,-707.9999999999984,42.999999999993044,,-5957.999999999985
2016.12.06,470.9999999999992,-767.0000000000101,-188.00000000001037,-1519.999999999996,362.00000000000676,202.9999999999976,670.9999999999993,-2048.000000000002,-2617.999999999995,2078.0000000000023,-871.9999999999999,-614.0000000000043,-647.9999999999961,228.99999999999034,,-5261.000000000019
2016.12.06,521.0000000000159,-741.0000000000139,-181.00000000000892,-1554.9999999999927,446.9999999999974,292.9999999999988,743.0000000000048,-2139.9999999999864,-2543.0000000000064,2412.9999999999986,-837.0000000000033,-581.9999999999936,-605.9999999999945,250.9999999999901,,-4516.999999999994
2016.12.06,452.00000000000796,-786.0000000000014,-289.0000000000059,-1534.9999999999966,392.00000000000347,244.99999999999523,729.9999999999973,-2252.999999999986,-2625.0,2313.9999999999936,-882.000000000005,-623.0000000000047,-640.9999999999911,217.0000000000005,,-5283.999999999991
2016.12.06,442.00000000000904,-935.0000000000023,-344.99999999999534,-1641.0000000000055,367.0000000000062,287.9999999999994,658.9999999999985,-2330.999999999989,-2661.0000000000014,2387.000000000006,-1067.9999999999977,-768.0000000000007,-685.9999999999928,247.99999999999267,,-6043.999999999973
2016.12.06,377.0000000000051,-987.000000000009,-266.0000000000107,-1641.999999999996,301.0000000000068,251.00000000000122,766.0,-2307.9999999999927,-2716.9999999999986,2439.000000000013,-1087.0000000000032,-805.9999999999974,-700.9999999999934,264.999999999993,,-6114.999999999983
2016.12.06,378.999999999996,-914.0000000000015,-314.99999999999864,-1581.9999999999936,372.0000000000057,229.00000000000142,775.9999999999989,-2284.9999999999964,-2680.9999999999973,2424.000000000004,-1036.0000000000014,-698.9999999999981,-689.9999999999977,243.99999999999977,,-5777.999999999978
2016.12.06,370.00000000000364,-910.0000000000108,-322.00000000000006,-1572.9999999999932,324.9999999999975,204.99999999999963,712.0000000000015,-2294.000000000011,-2637.0000000000005,2319.0000000000045,-975.9999999999991,-740.9999999999997,-723.9999999999895,215.99999999999397,,-6030.000000000003
2016.12.06,188.00000000001037,-931.0000000000116,-443.0000000000156,-1591.9999999999986,128.00000000000588,109.99999999999899,551.9999999999969,-2284.9999999999964,-2637.0000000000005,1924.9999999999989,-996.0000000000093,-775.9999999999962,-697.0000000000027,141.99999999999767,,-7312.000000000023
2016.12.06,195.00000000001182,-865.0000000000091,-459.0000000000094,-1317.9999999999977,40.00000000000669,73.00000000000084,522.0000000000002,-2161.0000000000014,-2244.0,1906.999999999992,-939.9999999999977,-775.9999999999962,-622.9999999999905,4.999999999999449,,-6643.999999999992
2016.12.06,140.0000000000068,-721.0000000000036,-443.99999999999994,-1171.999999999997,18.0000000000069,70.99999999999883,597.9999999999985,-1899.000000000001,-2129.9999999999955,1966.0000000000011,-862.000000000009,-745.0000000000045,-569.0000000000026,-17.000000000000348,,-5766.000000000001
2016.12.06,141.00000000001333,-771.0000000000008,-500.9999999999959,-1176.0000000000018,-10.999999999994348,75.9999999999983,558.000000000003,-1967.000000000013,-2147.9999999999964,1950.0000000000073,-910.0000000000108,-813.999999999993,-574.9999999999886,-167.00000000000603,,-6314.999999999979
2016.12.06,110.99999999999443,-757.000000000005,-724.9999999999978,-1177.0000000000068,-71.99999999999429,25.999999999992696,436.00000000000307,-2120.0000000000045,-2159.000000000006,1851.0000000000027,-835.9999999999985,-855.000000000004,-597.999999999999,-237.00000000000944,,-7112.000000000031
2016.12.06,43.999999999999595,-857.0000000000135,-738.0000000000164,-1114.0000000000043,-17.000000000000348,27.999999999994696,438.00000000000506,-2169.000000000011,-2167.000000000002,1912.0000000000025,-736.0000000000042,-783.0000000000013,-582.9999999999984,-219.00000000000253,,-6961.000000000052
2016.12.06,60.000000000015596,-828.000000000003,-690.0000000000128,-1140.0000000000005,-22.999999999995246,63.99999999999739,504.9999999999999,-2141.999999999996,-2174.9999999999973,2052.0000000000095,-758.0000000000098,-799.9999999999972,-557.0000000000022,-171.00000000001003,,-6603.000000000001
2016.12.06,85.00000000000173,-897.0000000000056,-478.0000000000006,-1212.9999999999939,19.00000000000235,114.99999999999844,556.9999999999964,-2004.9999999999955,-2180.9999999999973,2052.0000000000095,-751.0000000000048,-819.0000000000026,-563.999999999993,-202.0000000000022,,-6281.999999999986
2016.12.06,133.00000000000534,-795.0000000000017,-208.00000000000819,-1168.0000000000064,1.0000000000065512,126.99999999999933,712.9999999999969,-1693.9999999999884,-2132.000000000005,2063.999999999999,-746.0000000000093,-822.9999999999933,-521.9999999999914,-214.00000000000307,,-5263.999999999999
2016.12.06,137.00000000000932,-799.0000000000066,-148.00000000001478,-1177.0000000000068,-2.999999999997449,156.99999999999602,758.9999999999985,-1620.0000000000045,-2112.9999999999995,2062.9999999999927,-758.0000000000098,-817.9999999999978,-495.9999999999951,-136.00000000000279,,-4952.000000000039
2016.12.06,168.0000000000126,-794.0000000000111,-141.99999999999767,-1290.9999999999968,48.000000000003595,209.9999999999991,678.0000000000008,-1698.0000000000075,-2167.000000000002,2044.0000000000014,-829.0000000000077,-816.9999999999931,-472.999999999999,-100.00000000000009,,-5162.999999999996
2016.12.06,29.999999999996696,-885.0000000000051,-77.00000000001594,-1176.0000000000018,-46.999999999997044,156.00000000000057,678.9999999999962,-1557.9999999999927,-1945.0000000000073,1879.9999999999927,-859.9999999999994,-816.9999999999931,-447.00000000000273,-50.0000000000056,,-5117.0000000000355
2016.12.06,-9.999999999998899,-813.0000000000024,29.999999999996696,-1042.0000000000016,-68.99999999999685,110.99999999999443,800.9999999999961,-1234.9999999999852,-1831.0000000000032,1868.000000000003,-826.9999999999982,-801.0000000000019,-433.9999999999975,-51.000000000001044,,-4302.999999999996
2016.12.06,24.000000000001798,-821.0000000000122,92.99999999998754,-1066.0000000000025,-32.999999999994145,129.9999999999968,871.999999999995,-1217.000000000013,-1921.0000000000064,1917.0000000000132,-811.9999999999976,-772.0000000000056,-411.00000000000136,-57.00000000000705,,-4074.0000000000455
2016.12.06,-51.000000000001044,-858.0000000000041,17.999999999984695,-1052.9999999999973,-49.99999999999449,154.99999999999403,839.0000000000009,-1234.9999999999852,-1890.0000000000005,2000.0000000000018,-808.9999999999975,-774.0000000000009,-414.0000000000015,-12.000000000000899,,-4134.000000000003
2016.12.06,-24.000000000001798,-841.0000000000082,0.0,-1022.0000000000056,-90.99999999999665,129.00000000000134,853.0000000000038,-1256.0000000000002,-1924.0000000000066,2005.9999999999966,-795.0000000000017,-831.0000000000031,-448.99999999999807,-78.00000000000028,,-4323.00000000002
