date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.04.10,73.00000000001194,-29.00000000001235,-2.999999999997449,-30.000000000001137,29.999999999996696,36.999999999998145,-12.000000000000899,15.00000000000945,-46.999999999997044,25.99999999999625,98.99999999999353,-68.99999999999685,-31.000000000003247,-34.99999999999615,-12.000000000000455,-1.999999999990898,35.999999999991594,1.9999999999953388,-22.999999999995246,-23.00000000001745,-18.999999999991246,-21.000000000000796,-47.99999999998761,-7.999999999995566,63.99999999999739,1.0000000000065512,100.0000000000112,,71.00000000002373
2017.04.10,121.99999999999989,35.999999999991594,26.999999999999247,-50.99999999998772,76.0000000000094,58.99999999999794,-58.000000000002494,9.999999999998899,-92.00000000000318,43.99999999999693,122.99999999999534,-140.99999999999113,-99.00000000000463,-58.99999999999794,21.99999999999136,-1.999999999990898,147.99999999999258,16.999999999995907,-32.999999999994145,-101.00000000001774,52.000000000007596,-40.99999999999682,-105.99999999999454,-57.00000000000216,124.00000000001299,-48.99999999999905,94.00000000001629,,65.00000000002346
2017.04.10,146.00000000000168,35.00000000000725,42.0000000000087,-236.99999999999477,49.99999999999449,95.00000000000064,-59.000000000009045,32.0000000000098,-83.9999999999952,-138.00000000000523,148.99999999999915,-191.99999999999218,-121.99999999999989,-59.99999999999339,-195.99999999999795,-52.000000000007596,205.99999999999508,-164.00000000000148,-5.000000000010552,-170.00000000000347,53.999999999998494,-209.00000000000318,-269.999999999996,-185.00000000000227,134.00000000001188,-62.99999999999084,143.00000000000423,,-1119.9999999999716
2017.04.10,154.0000000000097,62.99999999999084,76.99999999999375,-278.99999999999636,109.00000000000354,98.99999999999353,-69.00000000000794,9.000000000014552,-60.99999999999994,-176.9999999999925,165.9999999999995,-200.99999999999562,-143.00000000000423,-51.000000000001044,-224.99999999999432,-4.000000000004,255.00000000000523,-176.00000000000193,-2.0000000000131024,-219.00000000001364,127.00000000001043,-210.99999999999852,-305.9999999999974,-229.99999999998977,190.00000000000128,-121.99999999999989,134.00000000001188,,-1092.999999999976
2017.04.10,146.00000000000168,89.00000000000574,69.9999999999923,-232.99999999998988,163.00000000000205,112.99999999999643,-79.00000000000685,-21.999999999988695,-58.000000000002494,-132.99999999999557,132.99999999999423,-211.99999999998997,-148.99999999999915,-80.99999999999774,-138.00000000000523,28.999999999990145,314.99999999999864,-131.00000000000023,-69.00000000000794,-234.00000000000088,136.00000000000279,-146.0000000000008,-284.9999999999966,-203.99999999999352,249.99999999999466,-176.99999999999383,146.00000000000168,,-760.999999999989
2017.04.10,131.99999999999878,41.000000000002146,59.000000000009045,-199.99999999998863,129.00000000000134,153.00000000000313,-100.00000000000009,14.000000000002899,-52.99999999999194,-117.00000000000443,146.99999999999713,-242.99999999999324,-154.0000000000097,-51.99999999999649,-153.99999999999636,45.99999999999049,329.99999999998585,-111.0000000000042,-42.0000000000087,-290.00000000001245,147.00000000000824,-147.99999999999613,-305.9999999999974,-201.99999999999818,273.9999999999965,-167.9999999999904,182.0000000000155,,-685.9999999999773
2017.04.10,163.00000000000205,49.99999999999449,62.99999999999084,-406.9999999999965,143.99999999998857,131.00000000000333,-70.0000000000034,41.000000000002146,-79.99999999999119,-290.9999999999968,159.9999999999935,-242.99999999999324,-152.00000000000767,-58.99999999999794,-397.99999999999613,56.99999999999594,296.9999999999917,-329.9999999999983,-56.000000000011596,-252.0000000000078,100.99999999999554,-293.00000000000637,-438.99999999999295,-316.99999999999307,260.0000000000158,-147.99999999999258,187.00000000000384,,-1881.000000000008
2017.04.10,195.9999999999962,43.999999999999595,90.99999999999665,-411.00000000000136,211.99999999998997,121.99999999999989,-8.000000000008,90.99999999999665,-89.00000000000574,-257.99999999999557,148.99999999999915,-262.999999999991,-113.00000000000753,-29.999999999996696,-406.0000000000059,148.99999999999915,272.99999999998994,-296.99999999999704,-93.00000000000975,-279.00000000000705,-1.999999999990898,-254.0000000000049,-433.9999999999975,-251.99999999999534,302.0000000000023,-112.000000000001,277.00000000001614,,-1395.0000000000293
2017.04.10,175.00000000001404,-32.0000000000098,75.00000000000284,-433.9999999999975,188.00000000001037,143.9999999999997,13.999999999991797,146.00000000000168,-82.99999999998863,-304.9999999999926,144.99999999999514,-264.999999999993,-75.00000000000284,7.9999999999968985,-527.0000000000152,228.00000000000597,210.99999999998343,-343.0000000000035,-87.99999999999919,-292.00000000000335,-63.99999999999739,-281.9999999999965,-474.9999999999943,-241.99999999999022,310.0000000000103,-66.99999999999484,334.00000000001205,,-1595.9999999999552
2017.04.10,187.00000000000384,-26.999999999999247,78.00000000000028,-451.9999999999982,228.99999999999034,21.999999999999797,31.999999999998696,155.00000000001623,-89.99999999999008,-310.0000000000023,132.99999999999423,-150.99999999999002,-65.00000000000395,7.9999999999968985,-543.0000000000064,269.00000000000813,-53.999999999998494,-355.000000000004,-124.00000000001299,-68.00000000000139,-109.99999999998789,-274.0000000000009,-350.9999999999991,-233.99999999999466,178.99999999999582,-69.9999999999923,190.00000000000128,,-1795.999999999976
