date,GBPCHF,EURGBP,GBPJPY,GBPCAD,empty,sum
2017.08.21,-126.0000000000039,-109.99999999999899,-60.000000000002274,-218.00000000000708,,-514.0000000000123
2017.08.21,-170.00000000000347,-112.000000000001,-89.00000000002706,-314.99999999999864,,-686.0000000000301
2017.08.21,-251.00000000000122,-136.99999999999824,-292.0000000000016,-636.0000000000143,,-1316.0000000000155
2017.08.21,-259.0000000000092,-136.99999999999824,-307.00000000001637,-644.0000000000001,,-1347.000000000024
2017.08.21,-246.99999999999721,-109.99999999999899,-295.0000000000159,-633.0000000000168,,-1285.0000000000289
2017.08.21,-299.00000000000483,-115.99999999999389,-264.00000000001,-643.0000000000158,,-1322.0000000000246
2017.08.21,-307.00000000001285,-95.00000000000064,-215.0000000000034,-632.0000000000103,,-1249.0000000000273
2017.08.21,-280.9999999999979,-121.99999999999989,-274.0000000000009,-645.0000000000067,,-1322.0000000000055
2017.08.21,-232.99999999999432,-90.0000000000012,-198.0000000000075,-605.0000000000111,,-1126.000000000014
2017.08.21,-246.99999999999721,-78.99999999999574,-144.00000000000546,-575.0000000000144,,-1045.0000000000127
2017.08.21,-275.000000000003,-95.99999999999609,-125.0,-585.0000000000133,,-1081.0000000000123
2017.08.21,-279.00000000000705,-102.00000000000209,-130.00000000002387,-613.0000000000191,,-1124.000000000052
2017.08.21,-285.00000000000193,-124.00000000000189,-142.00000000002433,-634.0000000000013,,-1185.0000000000296
2017.08.21,-324.0000000000132,-148.99999999999915,-174.0000000000066,-650.0000000000173,,-1297.0000000000362
2017.08.21,-306.00000000000625,-148.99999999999915,-166.00000000002524,-676.0000000000099,,-1297.0000000000405
2017.08.21,-346.0000000000019,-153.99999999999858,-161.00000000000136,-672.0000000000059,,-1333.0000000000077
2017.08.21,-347.9999999999928,-161.00000000000003,-175.00000000001137,-678.0000000000008,,-1362.000000000005
2017.08.21,-357.00000000000733,-158.0000000000026,-157.0000000000107,-716.0000000000056,,-1388.0000000000261
2017.08.21,-326.0000000000041,-168.00000000000148,-112.99999999999955,-686.0000000000089,,-1293.000000000014
2017.08.21,-258.0000000000027,-137.9999999999937,131.99999999997658,-572.0000000000169,,-836.0000000000367
2017.08.21,-184.00000000000637,-185.00000000000182,247.99999999999045,-609.9999999999994,,-731.0000000000172
2017.08.21,-259.0000000000092,-200.99999999999562,292.99999999997794,-753.0000000000036,,-920.0000000000305
2017.08.21,-441.0000000000025,-192.00000000000327,270.9999999999866,-739.0000000000008,,-1101.00000000002
2017.08.21,-516.0000000000053,-217.99999999999596,103.999999999985,-763.0000000000026,,-1393.000000000019
2017.08.21,-497.0000000000141,-236.99999999999832,43.99999999998272,-802.9999999999982,,-1493.0000000000277
2017.08.21,-635.0000000000077,-268.0000000000016,59.99999999997385,-835.000000000008,,-1678.0000000000434
2017.08.21,-734.0000000000124,-295.0000000000008,-143.00000000000068,-929.000000000002,,-2101.000000000016
2017.08.21,-724.0000000000135,-261.0000000000001,-174.0000000000066,-897.9999999999987,,-2057.000000000019
2017.08.21,-712.0000000000015,-239.0000000000003,-179.00000000000205,-902.0000000000028,,-2032.0000000000068
2017.08.21,-490.0000000000126,-146.99999999999713,13.999999999981583,-756.0000000000011,,-1379.0000000000293
2017.08.21,-452.00000000000796,-136.00000000000279,97.99999999998477,-838.0000000000055,,-1328.0000000000314
2017.08.21,-384.00000000000654,-95.99999999999609,18.000000000000682,-779.0000000000185,,-1241.0000000000205
2017.08.21,-422.00000000001125,-87.00000000000374,30.99999999997749,-860.0000000000163,,-1338.0000000000537
2017.08.21,-323.0000000000066,-39.999999999995595,113.9999999999759,-764.0000000000091,,-1013.0000000000354
2017.08.21,-202.00000000001327,-27.999999999994696,120.9999999999809,-1018.0000000000077,,-1127.0000000000348
2017.08.21,-131.99999999999878,-10.999999999994348,31.999999999982265,-1063.9999999999982,,-1175.000000000009
2017.08.21,-78.00000000000028,126.0000000000039,88.99999999999864,-992.9999999999994,,-855.9999999999972
2017.08.21,-215.99999999999397,131.99999999999878,22.999999999996135,-960.0000000000053,,-1021.0000000000044
2017.08.21,-242.00000000000887,117.99999999999588,-59.00000000002592,-958.9999999999987,,-1142.0000000000377
2017.08.21,-245.0000000000063,112.000000000001,-102.00000000000387,-995.0000000000125,,-1230.0000000000216
2017.08.21,-174.00000000000747,128.00000000000588,18.000000000000682,-897.9999999999987,,-925.9999999999997
2017.08.21,-208.99999999999253,112.99999999999643,6.9999999999765805,-870.9999999999995,,-960.0000000000191
2017.08.21,-39.00000000001125,170.99999999999892,194.99999999999318,-764.0000000000091,,-437.00000000002825
2017.08.21,-96.00000000000719,150.00000000000568,108.99999999998045,-705.0000000000001,,-542.0000000000211
2017.08.21,-79.00000000000685,143.00000000000423,74.99999999998863,-675.0000000000034,,-536.0000000000174
2017.08.21,-86.0000000000083,134.99999999999625,40.99999999999682,-628.0000000000064,,-538.0000000000216
2017.08.21,-60.99999999999994,148.0000000000037,-59.00000000002592,-621.0000000000049,,-593.0000000000271
2017.08.21,-32.999999999994145,163.99999999999747,-52.00000000002092,-585.0000000000133,,-506.0000000000309
2017.08.22,-29.999999999996696,143.00000000000423,-41.00000000002524,-526.0000000000042,,-454.00000000002194
2017.08.22,-36.0000000000138,162.0000000000066,-28.00000000002001,-510.00000000001046,,-412.0000000000377
2017.08.22,-63.99999999999739,165.00000000000404,-38.000000000010914,-520.0000000000093,,-457.0000000000136
2017.08.22,-119.00000000000244,165.00000000000404,-129.0000000000191,-527.0000000000108,,-610.0000000000283
