date,EURCHF,CADCHF,AUDCAD,NZDCAD,empty,sum
2020.05.18,-63.99999999999739,1.0000000000065512,36.999999999998145,112.99999999999643,,87.00000000000374
2020.05.18,-51.000000000001044,4.999999999999449,65.99999999999939,142.99999999999312,,162.9999999999909
2020.05.18,-83.9999999999952,-68.99999999999685,2.000000000002,-35.00000000000725,,-185.9999999999973
2020.05.18,-107.00000000001265,-104.99999999999955,-4.999999999999449,44.99999999999504,,-172.0000000000166
2020.05.18,-106.00000000000608,-107.00000000000153,-14.999999999998348,14.999999999998348,,-213.00000000000762
2020.05.18,-106.00000000000608,-119.99999999999788,-19.999999999997797,102.99999999999754,,-143.0000000000042
2020.05.18,-96.00000000000719,-102.00000000000209,-44.99999999999504,74.99999999999174,,-168.00000000001256
2020.05.18,-93.00000000000975,-134.0000000000008,-2.999999999997449,78.99999999999574,,-151.00000000001225
2020.05.18,-96.00000000000719,-153.00000000000313,-141.00000000000225,20.999999999993246,,-369.0000000000193
2020.05.18,-86.0000000000083,-153.99999999999858,-154.99999999999403,-23.00000000000635,,-418.0000000000073
2020.05.18,-85.00000000000173,-192.00000000000327,-225.99999999999287,-99.00000000000463,,-602.0000000000025
2020.05.18,-86.99999999999264,-180.0000000000024,-163.99999999999747,-36.0000000000027,,-466.9999999999952
2020.05.18,-86.0000000000083,-188.9999999999947,-185.99999999999727,-82.00000000000429,,-543.0000000000045
2020.05.18,-86.99999999999264,-163.00000000000205,-149.99999999999457,-55.000000000005045,,-454.9999999999943
2020.05.18,-87.99999999999919,-171.99999999999437,-152.99999999999204,-51.000000000001044,,-463.99999999998664
2020.05.18,-87.99999999999919,-173.00000000000094,-130.99999999999224,-51.000000000001044,,-442.9999999999934
2020.05.18,-80.99999999999774,-148.0000000000037,-34.99999999999615,-8.000000000008,,-272.00000000000557
2020.05.18,-83.9999999999952,-141.00000000000225,-13.999999999991797,-36.0000000000027,,-274.9999999999919
2020.05.18,-90.00000000001229,-185.99999999999727,-58.000000000002494,-56.0000000000005,,-390.00000000001256
2020.05.18,-80.00000000001339,-190.00000000000128,-78.00000000000028,-69.00000000000794,,-417.0000000000229
2020.05.18,-80.00000000001339,-214.99999999999852,-146.00000000000168,-101.00000000000664,,-542.0000000000202
2020.05.18,-73.99999999999629,-254.99999999999412,-146.00000000000168,-42.0000000000087,,-517.0000000000007
2020.05.18,-55.000000000005045,-263.99999999999756,-210.99999999999451,-47.00000000000814,,-577.0000000000053
2020.05.18,-65.00000000000395,-254.99999999999412,-175.99999999999838,-17.000000000000348,,-512.9999999999968
2020.05.18,-55.000000000005045,-266.999999999995,-100.99999999999554,34.99999999999615,,-387.99999999999943
2020.05.18,-63.99999999999739,-251.99999999999667,-188.9999999999947,-43.00000000000415,,-547.999999999993
2020.05.18,-59.000000000009045,-320.9999999999935,-146.99999999999713,-14.000000000002899,,-541.0000000000025
2020.05.18,-51.000000000001044,-292.00000000000335,-243.99999999999977,-119.00000000000244,,-706.0000000000066
2020.05.18,-127.00000000001043,-346.0000000000019,-287.9999999999994,-172.00000000000549,,-933.000000000017
2020.05.18,-143.00000000000423,-392.00000000000347,-292.9999999999988,-260.00000000000466,,-1088.0000000000114
2020.05.18,-148.99999999999915,-353.0000000000033,-304.9999999999997,-272.00000000000557,,-1079.0000000000077
2020.05.18,-170.00000000000347,-361.9999999999957,-280.00000000000244,-258.0000000000027,,-1070.0000000000043
2020.05.18,-160.00000000000458,-339.0000000000004,-295.0000000000008,-386.0000000000086,,-1180.0000000000143
2020.05.18,-312.00000000000114,-431.99999999999903,-352.9999999999922,-503.000000000009,,-1600.0000000000014
2020.05.18,-234.00000000000088,-344.99999999999534,-319.99999999999807,-504.9999999999999,,-1403.999999999994
2020.05.18,-215.99999999999397,-434.9999999999965,-402.00000000000233,-570.0000000000039,,-1622.9999999999966
2020.05.18,-364.9999999999931,-466.9999999999952,-461.99999999999574,-573.0000000000013,,-1866.9999999999854
2020.05.18,-700.999999999996,-592.9999999999991,-434.9999999999965,-554.00000000001,,-2283.0000000000014
2020.05.18,-948.9999999999999,-764.9999999999934,-307.0000000000017,-398.00000000000944,,-2419.0000000000045
2020.05.18,-994.000000000006,-709.9999999999995,-361.0000000000002,-467.0000000000063,,-2532.000000000012
2020.05.18,-1249.9999999999955,-841.0000000000028,-412.00000000000125,-501.000000000007,,-3004.0000000000064
2020.05.18,-1134.0000000000127,-814.0000000000036,-398.9999999999938,-468.00000000000176,,-2815.000000000012
2020.05.18,-1151.0000000000132,-869.999999999993,-371.99999999999454,-452.00000000000796,,-2845.000000000009
2020.05.18,-1116.000000000006,-824.999999999998,-446.00000000000193,-472.00000000000574,,-2859.000000000012
2020.05.18,-1119.0000000000034,-851.9999999999972,-465.9999999999998,-491.0000000000081,,-2928.000000000008
