date,EURCHF,CADCHF,AUDCAD,NZDCAD,empty,sum
2020.05.18,-78.00000000000028,-14.000000000002899,-30.999999999992145,-53.00000000000304,,-175.99999999999835
2020.05.18,-63.99999999999739,-44.99999999999504,-3.999999999992898,62.99999999999084,,-49.99999999999449
2020.05.18,-93.99999999999409,-83.9999999999952,-19.999999999997797,-65.00000000000395,,-262.999999999991
2020.05.18,-114.99999999999844,-119.99999999999788,-24.999999999997247,-42.0000000000087,,-302.0000000000023
2020.05.18,-113.00000000000753,-114.99999999999844,-46.999999999997044,-7.0000000000014495,,-282.00000000000443
2020.05.18,-107.99999999999699,-139.99999999999568,-43.999999999999595,10.999999999994348,,-280.9999999999979
2020.05.18,-109.00000000000354,-125.99999999999278,-58.000000000002494,58.99999999999794,,-234.00000000000085
2020.05.18,-107.00000000001265,-139.00000000000023,-80.99999999999774,21.999999999999797,,-305.00000000001086
2020.05.18,-109.00000000000354,-175.00000000000293,-196.99999999999162,-57.00000000000705,,-538.0000000000051
2020.05.18,-96.00000000000719,-171.99999999999437,-190.99999999999673,-47.00000000000814,,-506.0000000000064
2020.05.18,-100.0000000000112,-198.99999999999363,-239.0000000000003,-123.00000000000644,,-661.0000000000116
2020.05.18,-93.99999999999409,-200.99999999999562,-229.99999999999687,-103.00000000000864,,-627.9999999999952
2020.05.18,-102.00000000000209,-207.00000000000162,-190.99999999999673,-84.0000000000063,,-584.0000000000067
2020.05.18,-106.00000000000608,-190.00000000000128,-196.99999999999162,-104.00000000000409,,-597.0000000000031
2020.05.18,-95.00000000000064,-175.00000000000293,-173.00000000000094,-81.00000000000884,,-524.0000000000134
2020.05.18,-99.00000000000463,-182.99999999999983,-159.9999999999935,-70.0000000000034,,-512.0000000000014
2020.05.18,-90.00000000001229,-180.0000000000024,-141.99999999999767,-72.0000000000054,,-484.00000000001774
2020.05.18,-95.00000000000064,-153.00000000000313,-91.99999999999208,-73.00000000000084,,-412.9999999999967
2020.05.18,-121.99999999999989,-185.99999999999727,-83.9999999999952,-76.0000000000094,,-468.00000000000176
2020.05.18,-96.00000000000719,-197.99999999999818,-130.99999999999224,-107.00000000000153,,-531.9999999999991
2020.05.18,-121.99999999999989,-246.99999999999721,-163.00000000000205,-136.00000000000279,,-668.0000000000018
2020.05.18,-95.00000000000064,-283.99999999999534,-190.99999999999673,-132.0000000000099,,-702.0000000000026
2020.05.18,-76.0000000000094,-297.9999999999983,-261.0000000000001,-103.00000000000864,,-738.0000000000164
2020.05.18,-66.00000000001049,-293.99999999999426,-220.99999999999343,-63.00000000000195,,-644.0000000000001
2020.05.18,-65.00000000000395,-322.00000000000006,-175.99999999999838,-17.000000000000348,,-580.0000000000027
2020.05.18,-73.00000000001194,-302.0000000000023,-195.9999999999962,-54.00000000000959,,-625.00000000002
2020.05.18,-85.00000000000173,-336.00000000000296,-212.00000000000108,-69.00000000000794,,-702.0000000000136
2020.05.18,-82.00000000000429,-320.9999999999935,-273.9999999999965,-138.00000000000477,,-814.9999999999991
2020.05.18,-134.00000000001188,-358.9999999999982,-359.99999999999363,-198.00000000000927,,-1051.000000000013
2020.05.18,-148.99999999999915,-400.00000000000034,-356.9999999999962,-287.9999999999994,,-1193.999999999995
2020.05.18,-181.00000000000892,-417.0000000000007,-407.99999999999727,-333.0000000000055,,-1339.0000000000123
2020.05.18,-177.00000000000495,-373.00000000000114,-322.00000000000006,-317.0000000000006,,-1189.0000000000068
2020.05.18,-204.00000000000418,-417.99999999999613,-368.00000000000165,-461.0000000000003,,-1451.0000000000023
2020.05.18,-314.99999999999864,-431.99999999999903,-561.0000000000003,-685.0000000000023,,-1993.0000000000005
2020.05.18,-322.00000000000006,-429.99999999999704,-417.99999999999613,-582.0000000000048,,-1751.999999999998
2020.05.18,-278.00000000000045,-463.9999999999977,-447.99999999999284,-643.0000000000047,,-1832.9999999999955
2020.05.18,-459.0000000000094,-502.00000000000244,-551.9999999999969,-692.0000000000038,,-2205.0000000000123
2020.05.18,-709.0000000000041,-607.9999999999974,-486.999999999993,-599.0000000000051,,-2402.9999999999995
2020.05.18,-958.9999999999987,-775.0000000000034,-451.0000000000014,-596.0000000000076,,-2781.0000000000114
2020.05.18,-1029.0000000000132,-783.9999999999958,-385.99999999999744,-481.0000000000092,,-2680.0000000000155
2020.05.18,-1560.000000000006,-1052.9999999999927,-412.00000000000125,-508.00000000000847,,-3533.0000000000086
2020.05.18,-1266.999999999996,-869.999999999993,-414.9999999999987,-508.00000000000847,,-3059.9999999999964
2020.05.18,-1198.0000000000102,-885.0000000000025,-417.0000000000007,-491.0000000000081,,-2991.000000000022
2020.05.18,-1156.0000000000014,-870.9999999999995,-456.00000000000085,-487.99999999999955,,-2971.0000000000014
2020.05.18,-1127.9999999999957,-873.999999999997,-468.9999999999972,-504.00000000000443,,-2974.9999999999945
2020.05.18,-1149.0,-878.9999999999965,-522.9999999999957,-537.0000000000097,,-3088.0000000000014
2020.05.18,-1146.0000000000025,-908.9999999999932,-507.0000000000019,-512.0000000000014,,-3073.9999999999986
2020.05.18,-1112.0000000000018,-895.0000000000014,-459.99999999999375,-498.00000000000955,,-2965.0000000000064
2020.05.19,-1012.9999999999973,-830.9999999999928,-529.9999999999972,-545.0000000000066,,-2918.9999999999936
2020.05.19,-1127.9999999999957,-888.9999999999953,-390.99999999999693,-432.0000000000102,,-2839.9999999999977
2020.05.19,-1029.0000000000132,-848.9999999999998,-473.0000000000012,-529.0000000000017,,-2880.000000000016
2020.05.19,-1008.9999999999932,-846.9999999999977,-431.99999999999903,-580.0000000000027,,-2867.9999999999927
2020.05.19,-1011.0000000000064,-854.9999999999947,-417.0000000000007,-518.0000000000074,,-2801.000000000009
2020.05.19,-1015.9999999999947,-866.0000000000001,-427.99999999999505,-484.00000000000665,,-2793.999999999997
2020.05.19,-1025.9999999999936,-910.9999999999951,-691.9999999999926,-604.0000000000045,,-3232.999999999986
2020.05.19,-1027.0000000000002,-897.9999999999987,-666.9999999999953,-580.0000000000027,,-3171.9999999999973
2020.05.19,-1039.000000000012,-900.9999999999962,-617.9999999999964,-498.00000000000955,,-3056.000000000014
2020.05.19,-1031.000000000004,-898.9999999999942,-608.9999999999928,-506.0000000000064,,-3044.9999999999973
2020.05.19,-983.0000000000006,-836.9999999999989,-561.9999999999958,-557.0000000000075,,-2939.0000000000027
2020.05.19,-991.9999999999928,-839.9999999999964,-569.9999999999927,-611.000000000006,,-3012.9999999999877
2020.05.19,-980.0000000000031,-812.999999999997,-540.9999999999915,-600.0000000000006,,-2933.999999999992
2020.05.19,-980.0000000000031,-781.9999999999939,-502.00000000000244,-626.9999999999998,,-2890.999999999999
2020.05.19,-1004.0000000000049,-824.0000000000025,-534.0000000000011,-608.0000000000085,,-2970.000000000017
2020.05.19,-1027.0000000000002,-858.9999999999986,-542.9999999999935,-600.0000000000006,,-3028.9999999999927
2020.05.19,-1062.0000000000073,-863.9999999999981,-551.0000000000015,-678.0000000000008,,-3155.0000000000077
2020.05.19,-1086.000000000009,-880.000000000003,-590.0000000000016,-692.0000000000038,,-3248.0000000000173
2020.05.19,-1215.9999999999948,-951.9999999999973,-637.9999999999941,-889.0000000000065,,-3694.9999999999923
2020.05.19,-1347.0000000000093,-1076.9999999999945,-758.9999999999985,-1040.0000000000075,,-4223.00000000001
2020.05.19,-1343.0000000000052,-1068.9999999999977,-737.9999999999942,-995.0000000000015,,-4144.999999999998
2020.05.19,-1290.9999999999977,-1012.9999999999973,-735.9999999999923,-959.0000000000099,,-3998.9999999999973
2020.05.19,-1248.0000000000045,-949.9999999999953,-758.9999999999985,-988.0,,-3944.9999999999986
2020.05.19,-1333.0000000000064,-936.999999999999,-771.9999999999949,-1045.000000000007,,-4087.0000000000073
