date,EURCHF,CHFJPY,GBPAUD,EURJPY,EURCAD,EURNZD,NZDJPY,AUDNZD,empty,sum
2020.01.27,-36.999999999998145,-14.000000000010004,-358.9999999999982,-135.00000000000512,-68.00000000000139,-132.99999999998312,-3.0000000000001137,-106.99999999999044,,-855.9999999999865
2020.01.27,-21.00000000000435,13.999999999995794,-268.0000000000016,-91.99999999999875,-29.999999999996696,65.00000000000395,26.00000000001046,-60.99999999999994,,-366.9999999999911
2020.01.27,-18.0000000000069,-68.00000000001205,-178.00000000001148,-39.00000000000148,-104.99999999999955,-80.99999999999774,-88.99999999999864,-31.999999999987594,,-610.0000000000155
2020.01.27,51.99999999998539,-43.00000000000637,-35.999999999991594,58.000000000006935,-121.99999999999989,-404.9999999999887,-246.9999999999999,-164.00000000000858,,-907.0000000000027
2020.01.27,-57.00000000001815,-42.00000000000159,-164.00000000000858,-156.99999999999648,-119.00000000000244,-329.00000000000153,-221.9999999999942,-160.99999999998892,,-1251.000000000012
2020.01.27,-50.0000000000167,89.9999999999892,-181.00000000000892,-164.00000000000148,-82.00000000000429,-170.00000000000347,22.00000000000557,-147.99999999999258,,-683.0000000000327
2020.01.27,-29.999999999996696,95.99999999998943,-161.99999999999548,-159.00000000000603,-71.99999999998319,-278.00000000000045,-31.999999999996476,-156.00000000000057,,-792.9999999999895
2020.01.27,-59.000000000009045,76.99999999999818,-116.00000000000499,-123.00000000000466,-141.99999999999767,-365.99999999999966,-71.99999999998852,-167.00000000000603,,-968.0000000000124
2020.01.27,-53.999999999998494,48.99999999999238,-53.999999999998494,-117.00000000000443,-180.0000000000024,-492.9999999999879,-157.99999999998704,-187.99999999998818,,-1194.9999999999745
2020.01.27,-29.999999999996696,0.999999999990564,-79.00000000000685,-51.00000000000193,-161.99999999999548,-509.00000000000387,-182.99999999999272,-217.0000000000005,,-1230.0000000000075
2020.01.27,-63.000000000013046,41.99999999998738,-154.99999999999403,-112.99999999999955,-130.99999999999224,-465.99999999998863,-152.9999999999916,-218.00000000000708,,-1256.9999999999989
