names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,20,"['EURCHF', 'GBPJPY', 'GBPAUD']",100.0,0.87,B
EURUSD,15,['EURJPY'],80.0,-0.43038505938505944,S
USDJPY,10,['CADCHF'],80.0,-0.45284126984127,S
USDCAD,10,"['EURAUD', 'AUDCAD', 'AUDCHF', 'EURCHF']",80.0,0.16,B
AUDUSD,20,"['EURCHF', 'NZDCAD']",100.0,-0.7017799422799423,S
NZDUSD,15,['EURCHF'],100.0,-0.5675506715506717,S
GBPCHF,10,['EURUSD'],80.0,-1.0,S
CHFJPY,15,['EURJPY'],100.0,-0.20969480519480524,S
CADCHF,10,['GBPAUD'],80.0,0.84,B
EURGBP,10,['EURUSD'],80.0,0.9840000000000001,B
GBPJPY,10,"['USDCHF', 'EURUSD', 'CADCHF']",100.0,-1.0,S
GBPCAD,10,"['GBPCAD', 'GBPJPY']",100.0,0.92,B
GBPAUD,20,"['NZDCHF', 'USDCHF']",80.0,-0.2639278499278499,S
EURJPY,20,"['CADJPY', 'USDJPY', 'NZDJPY', 'AUDJPY', 'GBPCHF', 'EURJPY']",100.0,-0.74,S
EURCAD,10,"['EURAUD', 'AUDCAD', 'AUDCHF']",80.0,-0.5431587301587301,S
EURNZD,10,['NZDCAD'],80.0,1.0,B
CADJPY,10,['CADCHF'],80.0,-0.4700793650793652,S
NZDJPY,30,"['CADCHF', 'CHFJPY', 'NZDJPY', 'NZDCAD']",100.0,-0.4008044733044733,S
AUDNZD,10,"['GBPCAD', 'EURNZD', 'EURCAD']",80.0,1.0,B
