date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPCAD,GBPAUD,EURCAD,AUDJPY,AUDCAD,NZDCAD,empty,sum
2016.06.20,-141.99999999999767,-134.99999999999625,-43.999999999999595,-611.9999999999948,-534.9999999999966,-487.99999999999955,-31.000000000003247,-302.9999999999866,-122.99999999999045,-133.00000000000534,-7.9999999999968985,-58.000000000002494,-85.00000000000173,0.0,0.0,-98.99999999999353,-103.00000000000864,,-2898.9999999999736
2016.06.20,128.00000000000588,-169.99999999998127,-153.00000000000313,-670.9999999999923,-459.0000000000094,-419.9999999999982,228.00000000000597,261.0000000000001,-265.99999999999113,-36.999999999998145,-15.999999999993797,-125.99999999998168,-43.999999999999595,39.999999999995595,807.0000000000022,-17.999999999995797,-30.000000000007798,,-945.9999999999424
2016.06.20,223.00000000000654,-320.9999999999935,-229.00000000001253,-686.9999999999976,-461.0000000000003,-400.00000000000034,194.0000000000053,274.00000000001864,-444.9999999999932,-124.99999999999733,-51.000000000001044,-159.99999999998238,-43.999999999999595,21.00000000000435,472.999999999999,12.000000000000899,-163.00000000000205,,-1888.9999999999447
2016.06.20,162.0000000000066,-163.00000000000205,-175.00000000001404,-700.9999999999934,-472.9999999999901,-365.0000000000042,286.99999999999284,246.00000000001288,-298.0000000000018,-146.00000000000168,-7.0000000000014495,-4.999999999988347,320.00000000000915,53.999999999998494,533.9999999999918,60.99999999999994,-38.0000000000047,,-706.9999999999901
2016.06.20,66.00000000001049,117.00000000001154,-83.00000000001084,-688.999999999993,-472.00000000000574,-387.99999999999943,310.9999999999946,242.00000000000887,-274.0000000000009,-265.99999999999955,21.999999999999797,284.00000000001756,466.9999999999952,124.99999999999733,460.9999999999985,14.000000000002899,110.99999999999443,,48.00000000002177
2016.06.20,-47.9999999999925,160.00000000000458,10.999999999983245,-677.9999999999973,-522.0000000000002,-458.9999999999983,313.00000000000773,226.99999999999943,-174.99999999999716,-256.99999999999613,39.00000000000014,424.00000000000216,784.0000000000069,276.9999999999939,471.00000000000364,-37.99999999999359,117.99999999999588,,647.0000000000225
2016.06.20,-145.9999999999906,640.0000000000183,83.9999999999952,-653.9999999999964,-425.0000000000087,-474.00000000000773,571.9999999999948,165.00000000001512,54.000000000002046,-236.00000000000287,216.0000000000051,1051.0000000000018,1063.0000000000139,422.9999999999956,703.000000000003,-125.99999999999278,228.99999999999034,,3139.000000000036
2016.06.20,-150.99999999999002,880.0000000000141,201.99999999999108,-731.9999999999993,-483.99999999999557,-548.9999999999995,709.0000000000041,184.00000000000637,250.0,-187.9999999999993,282.0000000000045,1307.999999999998,1134.0000000000127,476.0000000000098,885.0000000000051,-205.99999999999508,221.99999999999997,,4222.000000000067
2016.06.20,-129.9999999999968,946.0000000000024,166.99999999998383,-739.9999999999949,-492.9999999999879,-506.0000000000064,798.0000000000098,169.00000000001913,251.00000000000477,-184.00000000000637,343.9999999999999,1266.0000000000116,1287.000000000016,436.00000000001415,871.9999999999999,-106.99999999999044,194.99999999998963,,4571.000000000069
2016.06.20,-135.99999999999167,972.0000000000173,180.0000000000024,-679.000000000002,-506.9999999999908,-465.9999999999998,800.0000000000007,175.00000000001404,170.0000000000017,-251.99999999999667,346.0000000000019,1259.00000000001,1336.0000000000039,412.9999999999967,757.000000000005,-33.9999999999896,210.99999999999451,,4545.000000000077
