date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.11.02,-37.00000000000925,126.99999999998823,28.000000000005798,-87.99999999999386,49.99999999999449,-97.00000000000264,-228.00000000000597,19.000000000005457,-60.99999999999994,-144.99999999999514,65.99999999999939,-355.0000000000164,-2.999999999985903,41.000000000002146,-150.00000000000568,478.999999999985,69.00000000000261,-165.00000000000625,-122.99999999999534,-165.9999999999995,327.99999999999494,,-411.0000000000378
2015.11.02,-39.00000000000014,-56.000000000011596,53.999999999998494,-89.9999999999892,-42.999999999993044,-175.99999999999838,-250.00000000000577,18.000000000000682,-135.99999999999167,-163.00000000000205,3.999999999992898,-276.9999999999939,-30.000000000001137,102.00000000000209,-234.00000000000088,537.9999999999941,128.0000000000001,-255.00000000000966,-142.99999999999312,-124.00000000000189,252.99999999999213,,-919.0000000000119
2015.11.02,-153.99999999999858,152.99999999998093,-55.000000000005045,-155.9999999999917,35.00000000000725,-121.99999999999989,-212.00000000000108,-40.99999999999682,-173.9999999999964,-207.99999999999707,44.99999999999504,-421.0000000000047,33.00000000001546,168.99999999999693,-289.0000000000059,594.0000000000057,135.99999999999568,-240.0000000000091,-136.99999999999824,-134.0000000000008,241.00000000000233,,-937.0000000000064
2015.11.02,-99.00000000000463,63.99999999999739,-43.999999999999595,-114.99999999999488,52.000000000007596,-185.00000000000182,-337.0000000000095,-15.999999999991132,-195.9999999999962,-288.9999999999948,15.999999999993797,-471.0000000000214,62.00000000001182,131.99999999999878,-405.9999999999952,861.999999999985,97.00000000000841,-287.9999999999967,-232.99999999999432,-312.9999999999966,334.9999999999964,,-1371.9999999999973
2015.11.02,-160.00000000000458,87.99999999999919,-72.0000000000054,-66.99999999999307,65.00000000000395,-212.00000000000108,-316.0000000000052,-143.99999999999125,-265.99999999999955,-312.9999999999966,9.999999999998899,-642.0000000000314,149.0000000000009,156.00000000000057,-497.99999999999847,897.9999999999987,46.00000000000648,-286.00000000000136,-273.9999999999965,-283.99999999999534,300.99999999999574,,-1821.0000000000157
2015.11.02,-209.9999999999991,126.99999999998823,-86.99999999999264,-111.99999999999477,90.00000000001229,-240.00000000000688,-321.0000000000046,-150.99999999999625,-327.99999999999494,-351.0000000000013,14.999999999998348,-729.0000000000241,118.00000000002342,148.99999999999915,-581.9999999999936,880.9999999999984,61.99999999999761,-353.00000000000864,-331.999999999999,-312.00000000000114,224.000000000002,,-2441.9999999999973
2015.11.02,-199.00000000000472,160.99999999998892,-18.999999999991246,-52.99999999999727,66.99999999999484,-168.99999999999693,-372.0000000000057,-197.9999999999933,-249.99999999999466,-392.00000000000347,76.99999999999375,-564.000000000009,100.00000000002274,87.99999999999919,-331.999999999999,897.9999999999987,37.9999999999967,-225.9999999999991,-217.99999999999596,-356.9999999999962,398.9999999999938,,-1520.9999999999977
2015.11.02,-126.0000000000039,113.99999999999189,52.000000000007596,-54.99999999999261,-1.0000000000065512,-284.0000000000065,-469.0000000000083,-102.00000000000387,-312.9999999999966,-441.0000000000025,100.00000000000009,-831.0000000000261,10.99999999999568,68.00000000000139,-479.0000000000072,1031.9999999999884,85.00000000000796,-362.99999999999955,-320.9999999999935,-443.99999999999994,393.99999999998323,,-2373.0000000000714
2015.11.02,-150.00000000000568,140.99999999999113,19.999999999997797,-15.000000000000568,22.999999999995246,-240.00000000000688,-417.0000000000007,-176.00000000000193,-284.9999999999908,-403.99999999999324,90.99999999999665,-750.0000000000284,94.99999999999886,81.9999999999821,-431.0000000000036,956.9999999999857,37.9999999999967,-281.0000000000059,-285.00000000000193,-390.99999999999693,374.999999999992,,-2003.0000000000998
2015.11.02,-168.00000000000148,133.99999999998968,22.999999999995246,-9.000000000000341,-21.00000000000435,-296.0000000000074,-478.0000000000006,-203.99999999999352,-356.9999999999962,-478.0000000000006,90.99999999999665,-903.0000000000093,99.00000000001796,122.99999999998423,-544.9999999999955,1086.9999999999936,63.00000000000239,-346.00000000000364,-325.99999999999295,-441.99999999999795,385.99999999999744,,-2567.0000000000273
2015.11.02,-181.00000000000892,160.99999999998892,7.0000000000014495,65.00000000001194,-15.999999999993797,-251.00000000000122,-448.9999999999994,-283.9999999999918,-313.99999999999204,-454.9999999999943,93.99999999999409,-805.9999999999956,198.0000000000075,141.99999999999767,-473.99999999999665,1046.999999999998,2.0000000000095497,-239.00000000000432,-271.9999999999945,-410.9999999999947,408.9999999999927,,-2026.999999999966
2015.11.02,-172.00000000000549,127.99999999999478,43.999999999999595,94.99999999999886,-46.999999999997044,-268.99999999999704,-470.00000000000375,-305.9999999999974,-322.9999999999955,-470.9999999999992,100.00000000000009,-816.0000000000167,189.99999999999773,129.00000000000134,-461.0000000000003,1036.999999999999,1.0000000000047748,-237.99999999999955,-271.9999999999945,-417.99999999999613,410.99999999998363,,-2128.0000000000227
2015.11.02,-170.00000000000347,141.99999999999767,25.00000000000835,42.00000000000159,7.0000000000014495,-246.99999999999721,-404.0000000000044,-262.00000000000045,-309.99999999999915,-405.9999999999952,97.00000000000264,-758.9999999999985,152.00000000001523,93.99999999999409,-438.00000000000506,903.9999999999937,4.0000000000048885,-250.0,-280.9999999999979,-364.9999999999931,340.9999999999913,,-2083.9999999999836
