names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,['EURJPY'],100.0,0.3896904761904763,B
GBPUSD,10,['AUDCHF'],80.0,-0.4019999999999999,S
EURUSD,10,['EURJPY'],100.0,-0.33515873015873027,S
USDJPY,20,"['AUDCAD', 'AUDCHF', 'AUDUSD', 'NZDCAD', 'NZDCHF', 'NZDUSD', 'EURUSD']",80.0,-0.36,S
AUDUSD,10,['GBPUSD'],80.0,1.0,B
NZDUSD,10,['GBPUSD'],80.0,1.0,B
GBPCHF,10,"['USDCHF', 'EURUSD', 'USDCAD']",80.0,0.24,B
EURCHF,10,['USDJPY'],80.0,0.986,B
CADCHF,15,"['GBPJPY', 'NZDUSD', 'NZDCAD', 'NZDCHF']",100.0,0.7799697524697525,B
AUDCHF,15,"['NZDUSD', 'NZDCAD', 'NZDCHF']",100.0,0.5834659229659231,B
NZDCHF,15,"['GBPAUD', 'USDJPY', 'GBPCHF', 'GBPCAD']",80.0,1.0,B
EURGBP,10,['EURCHF'],100.0,-0.33019047619047615,S
GBPJPY,10,"['AUDCHF', 'NZDCAD', 'AUDCAD', 'EURAUD', 'NZDCHF']",100.0,-0.02,S
GBPCAD,30,"['USDCHF', 'EURUSD', 'USDCAD']",100.0,0.6474682539682541,B
GBPAUD,15,['EURGBP'],80.0,0.8007768897768897,B
EURJPY,10,['EURJPY'],80.0,-0.32348412698412704,S
EURCAD,20,"['NZDJPY', 'AUDJPY', 'USDJPY', 'EURJPY', 'NZDUSD', 'GBPJPY', 'AUDUSD', 'GBPUSD']",80.0,-0.6040000000000001,S
EURAUD,15,"['NZDCAD', 'NZDCHF']",100.0,-0.5882933177933178,S
EURNZD,15,['GBPUSD'],80.0,-0.6258083583083583,S
NZDJPY,50,"['GBPUSD', 'GBPJPY', 'GBPCHF', 'USDCAD']",100.0,0.5448556998557,B
AUDCAD,15,['GBPCHF'],100.0,1.0,B
NZDCAD,15,"['GBPAUD', 'USDJPY', 'GBPCHF', 'GBPCAD']",80.0,1.0,B
AUDNZD,10,"['AUDJPY', 'AUDUSD', 'EURGBP']",80.0,1.0,B
