,names,week,needed_features,accuracy
0,GBPUSD,10,"['USDJPY', 'GBPCAD', 'GBPAUD']",80.0
1,EURUSD,10,"['EURGBP', 'USDJPY', 'EURCAD', 'GBPCAD']",80.0
2,NZDUSD,10,"['EURGBP', 'EURCAD']",80.0
3,GBPCHF,10,"['CHFJPY', 'EURJPY']",80.0
4,CHFJPY,10,"['GBPCAD', 'GBPAUD']",80.0
5,CADCHF,15,"['NZDCHF', 'AUDJPY', 'CADCHF', 'EURCAD']",80.0
6,AUDCHF,10,['USDCHF'],80.0
7,GBPJPY,10,"['EURGBP', 'USDJPY', 'EURCAD', 'GBPCAD']",80.0
8,GBPCAD,50,"['AUDJPY', 'EURCHF', 'USDJPY', 'NZDCHF', 'CADCHF', 'GBPCAD', 'EURCAD', 'AUDCHF']",80.0
9,EURJPY,10,"['GBPCAD', 'GBPAUD']",80.0
10,EURCAD,10,['USDCHF'],80.0
11,EURAUD,10,['USDCHF'],80.0
12,CADJPY,10,"['EURGBP', 'CHFJPY', 'EURCAD', 'EURJPY']",100.0
13,NZDCAD,15,['USDJPY'],100.0
