date,GBPUSD,USDCAD,EURCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.09.13,-207.00000000000162,-1.0000000000065512,-47.00000000001925,-4.999999999999449,0.0,-256.9999999999766,-261.0000000000001,-470.9999999999992,-197.99999999997908,0.0,-60.000000000002274,-138.9999999999958,-107.99999999998988,,-1753.99999999997
2021.09.13,-158.99999999999804,-41.000000000002146,-46.0000000000127,4.999999999999449,92.99999999999864,-214.999999999975,-317.9999999999961,-554.00000000001,-64.99999999999773,70.0000000000145,-93.99999999999409,-76.99999999999818,-95.99999999998943,,-1496.999999999961
2021.09.13,-135.00000000001845,3.999999999981796,-12.000000000012001,29.999999999996696,109.00000000000354,-283.9999999999918,-245.99999999999068,-452.00000000000796,-85.99999999998431,100.99999999999554,-118.99999999999977,-222.99999999999898,-143.99999999999125,,-1457.0000000000177
2021.09.13,-134.00000000001188,17.000000000000348,-9.999999999998899,104.99999999999955,131.99999999999878,-262.9999999999768,-238.0000000000049,-250.00000000001688,-60.99999999997863,62.000000000006494,-114.00000000000432,-243.99999999999977,-137.99999999999102,,-1135.999999999978
2021.09.13,-171.00000000001003,8.999999999992347,-11.00000000000545,99.00000000000463,126.99999999999933,-271.99999999999136,-248.00000000000378,-251.00000000000122,-54.9999999999784,73.99999999999629,-108.99999999999466,-241.99999999999022,-140.00000000000057,,-1189.9999999999832
2021.09.13,-186.0000000000195,-26.999999999999247,-6.000000000017103,95.00000000000064,121.00000000000443,-316.0000000000025,-234.00000000000088,-280.9999999999979,-96.99999999997999,110.00000000001009,-144.99999999999602,-256.9999999999908,-140.00000000000057,,-1362.999999999989
2021.09.13,-180.0000000000024,-43.00000000001525,8.999999999992347,43.999999999999595,121.99999999999989,-364.9999999999807,-243.99999999999977,-326.0000000000041,-126.00000000000477,131.99999999999878,-186.9999999999976,-292.0000000000016,-155.9999999999917,,-1612.0000000000073
2021.09.13,-150.00000000000568,17.000000000000348,22.999999999995246,26.999999999999247,105.99999999999498,-358.99999999998045,-243.99999999999977,-361.0000000000113,-97.99999999998477,235.00000000000742,-170.99999999999227,-274.9999999999915,-102.99999999999443,,-1352.9999999999632
2021.09.13,-128.000000000017,-7.0000000000014495,17.999999999984695,0.999999999995449,109.00000000000354,-341.99999999998454,-207.00000000000162,-361.0000000000113,-87.99999999999386,280.0000000000136,-171.99999999999704,-253.99999999999068,-73.99999999999807,,-1224.9999999999982
2021.09.13,-113.00000000000753,17.000000000000348,3.999999999981796,12.999999999996348,121.99999999999989,-268.0000000000007,-238.0000000000049,-327.00000000001063,-54.000000000002046,304.00000000001535,-149.0000000000009,-236.99999999999477,-36.000000000001364,,-962.0000000000291
2021.09.13,-121.00000000001555,15.999999999993797,0.9999999999843467,29.000000000001247,109.00000000000354,-292.0000000000016,-268.0000000000016,-377.0000000000051,-66.0000000000025,256.00000000001177,-162.9999999999967,-209.00000000000318,-60.99999999999284,,-1146.000000000024
2021.09.13,-158.99999999999804,-41.000000000002146,-9.999999999998899,51.000000000001044,78.99999999999574,-349.9999999999943,-161.99999999999548,-383.0,-60.99999999997863,231.0000000000034,-191.99999999999307,-221.9999999999942,-75.9999999999934,,-1294.999999999948
2021.09.13,-232.00000000000998,-143.00000000000423,-22.0000000000109,73.00000000000084,53.00000000000304,-400.99999999998204,-177.99999999998929,-421.0000000000047,-51.9999999999925,102.00000000000209,-240.99999999999966,-230.99999999999454,-131.9999999999908,,-1824.9999999999727
2021.09.13,-233.00000000001654,-137.00000000000932,-17.000000000000348,90.99999999999665,51.000000000001044,-400.99999999998204,-147.00000000000824,-536.0000000000032,-66.0000000000025,109.00000000000354,-239.00000000000432,-222.99999999999898,-135.99999999999568,,-1884.0000000000198
2021.09.13,-180.0000000000024,-77.00000000001594,-22.0000000000109,80.00000000000229,75.00000000000284,-381.0000000000002,-154.99999999999403,-551.9999999999969,-72.00000000000273,97.9999999999981,-210.99999999999852,-183.9999999999975,-125.0,,-1706.0000000000161
2021.09.13,-131.00000000001444,-63.000000000013046,-43.999999999999595,72.0000000000054,78.00000000000028,-292.0000000000016,-133.00000000000534,-641.0000000000027,-20.999999999986585,60.000000000015596,-195.99999999999795,-171.99999999999704,-122.99999999999045,,-1605.9999999999873
2021.09.13,-36.0000000000138,45.99999999999049,-48.000000000003595,29.999999999996696,97.00000000000264,-242.999999999995,-137.00000000000932,-699.0000000000052,13.00000000000523,157.00000000000713,-170.99999999999227,-79.9999999999983,-70.99999999999795,,-1142.0000000000132
2021.09.13,-11.00000000000545,-66.00000000001049,-46.0000000000127,36.999999999998145,90.0000000000012,-294.9999999999875,-60.99999999999994,-635.0000000000077,-38.99999999998727,168.99999999999693,-275.99999999999625,-137.99999999999102,-94.99999999999886,,-1366.0000000000011
2021.09.13,-43.999999999999595,-133.00000000000534,-54.0000000000207,41.000000000002146,51.000000000001044,-391.9999999999959,66.00000000001049,-609.0000000000151,-90.99999999997976,141.99999999999767,-355.000000000004,-192.99999999999784,-120.99999999999511,,-1692.0000000000018
2021.09.13,-42.0000000000087,-192.99999999999872,-60.000000000015596,63.00000000000195,46.999999999997044,-407.99999999998704,161.00000000001114,-467.0000000000174,-49.99999999998295,55.000000000005045,-405.00000000000114,-274.9999999999915,-143.99999999999125,,-1717.999999999979
