date,EURUSD,USDCAD,AUDUSD,NZDUSD,AUDCHF,AUDNZD,empty,sum
2019.05.06,70.99999999999883,-45.000000000006146,92.00000000000318,88.00000000001029,49.99999999999449,15.999999999993797,,271.9999999999945
2019.05.06,82.99999999998863,-15.00000000000945,153.99999999999858,114.00000000000298,186.99999999999272,112.99999999998533,,635.9999999999588
2019.05.06,181.9999999999933,-55.000000000005045,202.9999999999976,132.0000000000099,215.99999999999397,190.99999999998562,,868.9999999999754
2019.05.06,231.0000000000034,-8.000000000008,282.99999999999994,216.0000000000051,308.9999999999926,168.99999999999693,,1199.99999999999
2019.05.06,235.99999999999176,-17.000000000000348,290.00000000000136,207.00000000000162,298.9999999999937,197.99999999998707,,1212.9999999999752
2019.05.06,134.99999999999625,-167.00000000000603,65.99999999999939,19.00000000000235,95.99999999999609,158.99999999999804,,307.99999999998613
2019.05.06,95.00000000000064,-282.0000000000045,-15.999999999993797,-29.999999999996696,36.0000000000027,119.99999999998678,,-77.00000000000489
2019.05.06,141.99999999999767,-273.0000000000121,-24.999999999997247,-11.999999999989797,-40.00000000000669,75.99999999998718,,-132.000000000021
2019.05.06,187.00000000000384,-182.99999999999983,109.00000000000354,69.00000000000794,80.99999999999774,143.99999999998857,,407.0000000000018
2019.05.06,208.00000000000819,-188.00000000001037,136.00000000000279,76.0000000000094,141.99999999999767,177.00000000000495,,551.0000000000126
2019.05.06,178.99999999999582,-219.99999999999798,60.00000000000449,26.999999999999247,44.99999999999504,144.99999999999514,,235.99999999999176
2019.05.06,181.9999999999933,-212.00000000001216,78.99999999999574,57.00000000000705,70.99999999999883,123.99999999999079,,300.9999999999735
2019.05.06,194.99999999998963,-225.00000000000853,70.0000000000034,67.00000000000594,58.99999999999794,92.00000000000318,,257.9999999999916
2019.05.06,225.99999999999287,-208.00000000000819,84.0000000000063,95.00000000000064,39.999999999995595,68.00000000000139,,304.99999999998863
2019.05.06,232.99999999999432,-208.00000000000819,117.00000000000044,132.0000000000099,58.99999999999794,59.99999999999339,,392.99999999998784
2019.05.06,198.99999999999363,-148.99999999999915,228.00000000000597,194.0000000000053,217.0000000000005,126.99999999998823,,815.9999999999945
2019.05.06,157.00000000000713,-207.00000000000162,177.00000000000495,148.0000000000037,168.00000000000148,126.0000000000039,,569.0000000000196
2019.05.06,202.9999999999976,-224.000000000002,211.00000000000563,187.9999999999993,210.99999999999451,109.00000000000354,,697.9999999999986
2019.05.06,187.00000000000384,-372.00000000001677,206.00000000000617,196.00000000000728,207.99999999999707,90.99999999999665,,515.9999999999943
2019.05.06,181.9999999999933,-319.0000000000026,185.99999999999727,181.00000000000892,208.99999999999253,85.00000000000173,,523.9999999999911
2019.05.06,157.00000000000713,-207.00000000000162,239.0000000000003,171.00000000001003,281.99999999999335,183.99999999998417,,825.9999999999934
2019.05.06,163.00000000000205,-212.00000000001216,221.00000000000452,170.00000000000347,286.99999999999284,154.99999999999403,,783.9999999999848
2019.05.06,204.00000000000418,-167.00000000000603,246.00000000000176,180.0000000000024,313.99999999999204,177.99999999998929,,954.9999999999836
2019.05.06,129.00000000000134,-233.00000000001654,207.00000000000162,125.00000000000844,308.9999999999926,209.9999999999991,,746.9999999999866
2019.05.06,187.00000000000384,-197.00000000000273,239.0000000000003,168.00000000000148,341.0000000000024,190.99999999998562,,928.9999999999909
2019.05.06,224.000000000002,-195.9999999999962,228.00000000000597,143.9999999999997,361.9999999999957,207.00000000000162,,969.0000000000088
2019.05.06,182.99999999999983,-214.00000000000307,195.00000000000074,94.00000000000519,373.00000000000114,235.99999999999176,,866.9999999999957
2019.05.06,265.99999999998846,-158.99999999999804,229.00000000000142,121.99999999999989,412.9999999999967,248.99999999998812,,1119.9999999999766
2019.05.06,306.9999999999906,-148.00000000001478,243.99999999999977,111.00000000000554,383.99999999999545,286.99999999999284,,1184.9999999999695
2019.05.06,272.00000000000557,-151.9999999999966,236.00000000000287,81.00000000000884,390.0000000000015,322.00000000000006,,1149.0000000000223
2019.05.06,239.99999999999577,-222.00000000001108,229.00000000000142,62.000000000006494,400.9999999999958,346.0000000000019,,1055.9999999999902
2019.05.06,123.99999999999079,-304.00000000001535,180.99999999999784,0.0,417.99999999999613,363.9999999999866,,782.999999999956
2019.05.06,144.99999999999514,-338.0000000000161,170.99999999999892,-2.999999999997449,400.9999999999958,356.9999999999851,,732.9999999999613
2019.05.06,204.00000000000418,-151.00000000001222,251.00000000000122,71.00000000000995,471.99999999999466,360.9999999999891,,1207.9999999999868
2019.05.06,207.00000000000162,-158.99999999999804,221.99999999999997,11.00000000000545,417.0000000000007,414.00000000000324,,1112.000000000013
2019.05.06,255.00000000000523,18.999999999991246,290.00000000000136,39.00000000000014,432.9999999999945,469.99999999999267,,1505.9999999999852
2019.05.06,265.0000000000041,58.000000000002494,295.99999999999625,32.0000000000098,452.99999999999227,490.999999999997,,1595.000000000002
2019.05.06,253.99999999999866,75.99999999998718,270.0000000000036,3.0000000000085514,400.9999999999958,497.99999999999847,,1501.9999999999923
2019.05.06,289.0000000000059,44.99999999998394,258.9999999999981,-10.999999999994348,356.9999999999962,502.00000000000244,,1440.9999999999923
2019.05.06,316.99999999998954,15.999999999993797,263.99999999999756,14.000000000002899,324.00000000000205,468.9999999999861,,1403.999999999972
2019.05.06,343.00000000000443,95.00000000000064,297.00000000000284,33.000000000005244,369.99999999999255,487.99999999999955,,1626.0000000000052
2019.05.06,327.99999999999494,97.9999999999981,300.0000000000003,20.0000000000089,383.99999999999545,514.9999999999987,,1644.9999999999964
