date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,CADCHF,NZDCHF,EURGBP,EURCAD,EURNZD,CADJPY,NZDCAD,empty,sum
2015.03.16,-83.9999999999952,-138.0000000000159,-176.99999999998272,-25.000000000005684,-46.999999999997044,-100.0000000000112,-81.00000000000884,-46.00000000000159,-70.99999999999883,-217.0000000000005,-87.00000000001484,-72.99999999999329,-207.00000000000162,,-1353.000000000027
2015.03.16,78.99999999998464,-187.00000000000384,-195.9999999999962,-52.00000000000671,-79.00000000000685,208.99999999999253,48.99999999999905,139.00000000000023,-65.99999999999939,-228.99999999999034,-123.00000000000644,-96.9999999999942,-200.00000000000017,,-753.0000000000277
2015.03.16,150.99999999999002,-198.00000000000927,-173.00000000000094,-55.00000000000682,-28.000000000005798,312.9999999999855,-2.000000000002,75.9999999999983,-39.00000000000014,-299.99999999998914,-192.99999999999872,-223.99999999998954,-187.9999999999993,,-860.0000000000279
2015.03.16,136.99999999998712,-202.9999999999976,-53.999999999998494,-81.99999999999363,68.99999999999685,309.0000000000037,-64.0000000000085,2.999999999997449,25.00000000000835,-275.9999999999874,-174.00000000000747,-289.0000000000015,-146.00000000000168,,-745.0000000000028
2015.03.16,58.99999999998684,-212.00000000001216,-97.9999999999981,-61.99999999999761,-18.0000000000069,184.99999999999073,-101.00000000000664,2.999999999997449,13.00000000000745,-333.9999999999899,-207.00000000000162,-274.9999999999915,-237.00000000000944,,-1284.0000000000314
2015.03.16,-26.999999999999247,-226.99999999999943,-123.99999999999079,-31.00000000000591,-80.99999999999774,76.99999999999375,-139.00000000000023,17.000000000000348,-2.999999999997449,-336.00000000000296,-151.00000000001222,-179.00000000000205,-290.00000000000136,,-1494.0000000000152
2015.03.16,-168.99999999999693,-329.00000000000153,-443.99999999999994,-88.99999999999864,-228.00000000000597,-26.999999999999247,-158.0000000000026,73.00000000000084,-169.99999999999238,-591.9999999999925,-39.00000000001125,-152.00000000000102,-492.0000000000035,,-2816.000000000005
2015.03.16,-147.00000000000824,-371.00000000001023,-492.9999999999879,-156.0000000000059,-319.99999999999807,68.99999999998573,-110.00000000001009,261.0000000000001,-176.99999999999383,-609.9999999999994,72.99999999998974,-161.99999999999193,-575.0000000000033,,-2718.000000000033
2015.03.16,-34.000000000000696,-316.0000000000052,-434.000000000001,-150.00000000000568,-258.9999999999981,153.00000000000313,-56.0000000000005,328.0000000000061,-170.99999999999892,-595.9999999999966,76.99999999999375,-176.00000000000193,-558.000000000003,,-2192.000000000008
2015.03.16,-39.999999999995595,-317.9999999999961,-481.99999999998244,-147.99999999999613,-217.0000000000005,177.99999999998929,-58.000000000002494,297.00000000000284,-202.0000000000022,-627.9999999999841,-9.000000000014552,-179.9999999999926,-551.0000000000015,,-2357.999999999976
2015.03.16,62.99999999999084,-232.99999999999432,-330.9999999999924,-67.99999999999784,-185.00000000000182,255.99999999998957,-54.00000000000959,317.9999999999961,-130.99999999999224,-591.9999999999925,72.99999999998974,-224.99999999999432,-585.0000000000022,,-1694.000000000011
2015.03.16,24.000000000001798,-295.0000000000008,-373.00000000000114,-81.99999999999363,-275.000000000003,246.99999999999721,-58.000000000002494,363.0000000000022,-137.9999999999937,-584.9999999999911,126.99999999998823,-189.99999999999773,-613.000000000008,,-1848.000000000002
2015.03.16,72.99999999998974,-260.0000000000158,-398.9999999999938,-96.00000000000364,-234.99999999999633,248.99999999998812,-42.0000000000087,368.00000000000165,-175.99999999999838,-615.9999999999943,124.99999999999733,-186.9999999999976,-602.0000000000025,,-1798.0000000000343
