date,USDCAD,EURJPY,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.10.25,-28.000000000005798,-18.000000000000682,-18.999999999991246,-13.00000000000523,-79.00000000000773,,-157.0000000000107
2021.10.25,2.999999999997449,9.000000000014552,-19.99999999999602,-7.000000000005002,-93.00000000000352,,-107.99999999999255
2021.10.25,1.999999999990898,-31.999999999982265,-6.000000000000227,-25.000000000005684,-125.0,,-185.99999999999727
2021.10.25,28.999999999990145,-79.99999999998408,-37.9999999999967,-72.00000000000273,-153.99999999999636,,-314.99999999998977
2021.10.25,28.999999999990145,-91.00000000000819,-59.99999999998806,-82.99999999999841,-165.99999999999682,,-371.00000000000136
2021.10.25,72.0000000000054,-159.9999999999966,-112.99999999999955,-138.00000000000523,-209.00000000000318,,-547.9999999999991
2021.10.25,7.0000000000014495,-158.99999999999181,-112.99999999999955,-144.00000000000546,-207.00000000000784,,-616.0000000000032
2021.10.25,-66.99999999999484,-305.0000000000068,-253.0000000000001,-251.00000000000477,-353.00000000000864,,-1229.0000000000152
2021.10.25,-56.000000000011596,-391.9999999999959,-297.9999999999876,-368.9999999999998,-429.00000000000205,,-1543.999999999997
2021.10.25,-55.000000000005045,-317.99999999998363,-283.00000000000125,-352.00000000000387,-385.0000000000051,,-1392.999999999999
2021.10.25,-79.99999999999119,-219.99999999999886,-216.99999999999875,-183.9999999999975,-218.00000000000352,,-918.9999999999899
2021.10.25,-151.9999999999966,-391.9999999999959,-376.99999999999534,-303.0000000000115,-338.99999999999864,,-1562.999999999998
2021.10.25,-198.99999999999363,-432.9999999999927,-362.99999999999955,-377.00000000000955,-373.9999999999952,,-1745.9999999999907
2021.10.25,-209.9999999999991,-448.99999999998386,-330.99999999998886,-361.0000000000042,-379.99999999999545,,-1730.9999999999714
2021.10.25,-194.0000000000053,-391.9999999999959,-274.9999999999915,-320.0000000000074,-356.00000000000875,,-1537.0000000000086
2021.10.25,-170.00000000000347,-393.0000000000007,-299.99999999999716,-334.0000000000032,-379.99999999999545,,-1577.0
2021.10.25,-171.00000000001003,-370.00000000000455,-277.000000000001,-341.99999999999875,-379.99999999999545,,-1540.0000000000098
2021.10.25,-173.00000000000094,-335.00000000000796,-250.99999999999056,-308.00000000000693,-364.0000000000043,,-1431.0000000000107
2021.10.25,-198.00000000000927,-319.9999999999932,-250.99999999999056,-332.00000000000784,-376.99999999999534,,-1477.9999999999964
2021.10.25,-147.99999999999258,-289.99999999999204,-250.0,-332.00000000000784,-382.000000000005,,-1401.9999999999975
2021.10.25,-182.99999999999983,-365.99999999998545,-345.9999999999894,-448.0000000000075,-468.0000000000035,,-1810.999999999986
2021.10.25,-235.99999999999176,-445.99999999999795,-365.99999999999966,-501.0000000000048,-522.0000000000056,,-2071.0
2021.10.25,-258.0000000000027,-361.99999999999477,-351.99999999998965,-546.0000000000065,-516.9999999999959,,-2034.9999999999895
2021.10.25,-239.99999999999577,-274.0000000000009,-297.9999999999876,-480.000000000004,-400.0000000000057,,-1691.9999999999939
2021.10.25,-185.99999999999727,-180.99999999998317,-256.0000000000002,-432.00000000000216,-262.00000000000045,,-1316.9999999999832
2021.10.25,-18.0000000000069,-34.99999999999659,-164.99999999999204,-310.0000000000023,-36.000000000001364,,-563.9999999999992
2021.10.25,-73.99999999999629,27.999999999991587,-228.9999999999992,-365.0000000000091,-93.00000000000352,,-733.0000000000165
2021.10.25,-106.00000000000608,-50.99999999998772,-289.0000000000015,-435.0000000000023,-230.00000000000398,,-1111.0000000000014
2021.10.25,-113.99999999999189,-24.00000000000091,-268.99999999999125,-448.0000000000075,-290.00000000000625,,-1144.9999999999977
2021.10.25,-100.99999999999554,46.999999999997044,-235.99999999999,-412.00000000000614,-262.00000000000045,,-963.9999999999951
2021.10.25,-66.99999999999484,128.00000000001432,-253.0000000000001,-401.00000000001046,-280.00000000000114,,-872.9999999999923
2021.10.25,-82.00000000000429,103.00000000000864,-313.99999999999295,-486.0000000000042,-359.99999999999943,,-1138.9999999999923
2021.10.25,17.000000000000348,58.9999999999975,-293.99999999999693,-493.9999999999998,-399.0000000000009,,-1110.9999999999998
2021.10.25,24.000000000001798,87.99999999999386,-180.99999999999739,-448.0000000000075,-385.0000000000051,,-902.0000000000143
2021.10.25,-39.00000000001125,126.00000000000477,-181.99999999998795,-390.00000000000057,-370.00000000000455,,-854.9999999999995
2021.10.25,8.999999999992347,118.99999999999977,-150.99999999999625,-451.0000000000076,-471.00000000000364,,-945.0000000000153
2021.10.25,1.999999999990898,93.99999999999409,-164.00000000000148,-487.000000000009,-466.99999999999875,,-1022.0000000000242
2021.10.25,42.0000000000087,99.00000000001796,-146.0000000000008,-468.0000000000035,-436.9999999999976,,-909.9999999999752
2021.10.25,92.00000000000318,123.99999999999523,-138.9999999999958,-463.99999999999864,-412.00000000000614,,-799.0000000000022
2021.10.25,226.99999999999943,135.99999999999568,-22.999999999996135,-439.9999999999977,-370.9999999999951,,-470.99999999999386
2021.10.25,195.9999999999962,100.99999999999909,-70.99999999999795,-469.0000000000083,-391.00000000000534,,-634.0000000000164
2021.10.25,198.99999999999363,102.00000000000387,-48.99999999999238,-465.0000000000034,-427.99999999999727,,-640.9999999999956
2021.10.25,164.00000000000858,106.99999999999932,-50.99999999998772,-454.00000000000773,-438.0000000000024,,-671.99999999999
2021.10.25,173.00000000000094,103.00000000000864,-42.00000000000159,-478.00000000000864,-441.0000000000025,,-685.0000000000032
2021.10.25,198.99999999999363,99.99999999999432,-43.99999999999693,-478.00000000000864,-442.0000000000073,,-665.0000000000249
2021.10.25,204.99999999998852,111.99999999999477,-36.000000000001364,-439.9999999999977,-414.0000000000015,,-573.0000000000173
2021.10.25,201.99999999999108,99.00000000001796,-54.99999999999261,-477.00000000000387,-465.0000000000034,,-695.9999999999909
2021.10.25,171.00000000001003,106.99999999999932,-68.9999999999884,-475.9999999999991,-462.0000000000033,,-728.9999999999815
2021.10.26,69.00000000000794,159.9999999999966,-66.99999999999307,-418.00000000000637,-393.0000000000007,,-648.9999999999956
2021.10.26,117.99999999999588,133.00000000000978,-78.99999999999352,-427.0000000000067,-400.0000000000057,,-655.0000000000002
2021.10.26,160.00000000000458,105.99999999999454,-73.99999999999807,-426.00000000000193,-394.00000000000546,,-628.0000000000064
2021.10.26,170.00000000000347,111.99999999999477,-82.99999999999841,-411.00000000000136,-384.00000000000034,,-596.0000000000018
2021.10.26,180.0000000000024,129.0000000000191,-76.99999999999818,-400.0000000000057,-382.99999999999557,,-550.999999999978
2021.10.26,137.00000000000932,57.999999999992724,-150.99999999999625,-481.9999999999993,-460.9999999999985,,-898.999999999992
2021.10.26,113.00000000000753,69.99999999999318,-187.99999999998818,-599.0000000000038,-518.0000000000007,,-1121.9999999999918
2021.10.26,151.9999999999966,33.00000000001546,-196.99999999998852,-602.0000000000039,-537.9999999999967,,-1151.999999999977
2021.10.26,36.999999999998145,-64.99999999999773,-310.99999999999284,-779.0000000000106,-634.0000000000003,,-1752.0000000000032
2021.10.26,62.000000000006494,-25.999999999982037,-278.99999999999636,-743.0000000000092,-584.0000000000032,,-1569.9999999999843
2021.10.26,137.9999999999937,-4.9999999999954525,-215.99999999999397,-697.0000000000027,-518.0000000000007,,-1297.999999999999
2021.10.26,139.00000000000023,-22.999999999996135,-266.9999999999959,-759.0000000000003,-561.9999999999976,,-1471.9999999999898
2021.10.26,136.00000000000279,-19.99999999998181,-281.9999999999965,-771.0000000000008,-602.0000000000039,,-1538.9999999999802
2021.10.26,82.99999999998863,-15.999999999991132,-295.99999999999227,-841.9999999999987,-674.0000000000066,,-1745.0000000000002
2021.10.26,93.99999999999409,-27.999999999991587,-307.9999999999927,-844.9999999999989,-662.0000000000061,,-1748.9999999999952
2021.10.26,86.0000000000083,-73.0000000000075,-324.99999999998863,-903.0000000000058,-656.0000000000059,,-1870.9999999999995
2021.10.26,86.99999999999264,-93.99999999999409,-341.99999999999875,-892.0000000000101,-682.0000000000022,,-1923.0000000000127
2021.10.26,133.00000000000534,-104.99999999998977,-301.9999999999925,-844.0000000000083,-655.0000000000011,,-1772.9999999999864
2021.10.26,157.99999999999147,-111.99999999999477,-284.9999999999966,-855.000000000004,-668.9999999999969,,-1763.000000000001
2021.10.26,137.00000000000932,-81.99999999999363,-268.99999999999125,-826.9999999999982,-686.9999999999976,,-1727.9999999999714
2021.10.26,146.00000000000168,-128.99999999999068,-327.99999999998875,-874.0000000000094,-713.9999999999986,,-1898.999999999986
2021.10.26,204.00000000000418,-215.0000000000034,-321.9999999999885,-719.0000000000083,-573.0000000000075,,-1625.0000000000034
2021.10.26,85.00000000000173,-212.99999999999386,-363.9999999999901,-768.0000000000007,-656.9999999999965,,-1916.9999999999795
2021.10.26,69.9999999999923,-212.99999999999386,-379.99999999999545,-785.0000000000108,-652.000000000001,,-1960.0000000000086
2021.10.26,62.99999999999084,-247.99999999999045,-405.9999999999917,-826.9999999999982,-688.0000000000024,,-2105.999999999992
2021.10.26,65.00000000000395,-310.0000000000023,-399.9999999999915,-761.0000000000099,-689.0000000000072,,-2095.000000000007
2021.10.26,-85.00000000000173,-342.9999999999893,-479.99999999998977,-850.0000000000085,-760.0000000000051,,-2517.9999999999945
2021.10.26,-89.99999999999008,-387.00000000000045,-516.9999999999959,-865.0000000000091,-808.9999999999975,,-2667.9999999999927
2021.10.26,-134.99999999999625,-371.9999999999857,-524.9999999999915,-900.0000000000057,-884.0000000000003,,-2815.9999999999795
2021.10.26,-120.99999999999334,-288.99999999998727,-495.9999999999951,-924.0000000000066,-891.0000000000053,,-2720.9999999999877
2021.10.26,-52.000000000007596,-420.99999999999227,-561.9999999999976,-1006.0000000000002,-903.0000000000058,,-2944.0000000000036
2021.10.26,-136.00000000000279,-513.0000000000052,-667.0000000000016,-1149.000000000001,-1034.000000000006,,-3499.0000000000164
2021.10.26,-134.00000000001188,-472.0000000000084,-634.9999999999909,-1091.0000000000082,-972.999999999999,,-3305.000000000018
2021.10.26,-93.00000000000975,-424.0000000000066,-643.0000000000007,-1055.0000000000068,-882.000000000005,,-3097.0000000000286
2021.10.26,-102.00000000000209,-491.9999999999902,-747.9999999999905,-1164.0000000000014,-963.0000000000081,,-3468.9999999999923
2021.10.26,-83.9999999999952,-448.99999999998386,-704.9999999999983,-1117.0000000000045,-915.0000000000063,,-3269.999999999988
2021.10.26,51.000000000001044,-319.9999999999932,-569.9999999999932,-1067.9999999999977,-817.0000000000073,,-2723.9999999999905
2021.10.26,100.99999999999554,-293.9999999999827,-555.9999999999974,-1004.0000000000049,-778.9999999999964,,-2531.999999999986
2021.10.26,219.99999999999798,-217.9999999999893,-440.9999999999883,-868.0000000000092,-659.9999999999966,,-1966.9999999999854
2021.10.26,209.9999999999991,-210.00000000000796,-428.99999999998784,-874.0000000000094,-682.0000000000022,,-1985.0000000000082
2021.10.26,191.00000000000784,-158.99999999999181,-393.99999999999125,-858.0000000000041,-629.0000000000049,,-1848.999999999984
2021.10.26,178.99999999999582,-228.999999999985,-418.99999999999693,-893.0000000000007,-665.9999999999968,,-2027.9999999999836
2021.10.26,148.99999999999915,-265.99999999999113,-444.9999999999932,-927.0000000000067,-695.999999999998,,-2184.99999999999
2021.10.26,174.99999999999181,-240.99999999998545,-414.99999999999204,-939.0000000000072,-695.0000000000074,,-2115.0
2021.10.26,157.00000000000713,-245.00000000000455,-424.99999999999716,-960.9999999999985,-703.000000000003,,-2176.9999999999964
2021.10.26,205.99999999999508,-253.99999999999068,-393.99999999999125,-920.0000000000017,-703.000000000003,,-2064.999999999992
2021.10.26,184.00000000000637,-263.9999999999816,-405.9999999999917,-913.0000000000109,-713.9999999999986,,-2112.9999999999764
2021.10.26,184.99999999999073,-260.9999999999957,-414.0000000000015,-896.0000000000008,-695.0000000000074,,-2081.0000000000146
2021.10.27,177.00000000000495,-186.9999999999834,-333.999999999989,-859.0000000000089,-777.000000000001,,-1979.9999999999773
2021.10.27,243.99999999999977,-180.00000000000682,-338.99999999999864,-879.0000000000049,-722.0000000000084,,-1876.0000000000189
2021.10.27,222.99999999999542,-250.0,-399.9999999999915,-948.9999999999981,-731.0000000000088,,-2107.0000000000027
2021.10.27,252.99999999999213,-263.9999999999816,-405.9999999999917,-962.0000000000033,-743.9999999999998,,-2122.9999999999845
2021.10.27,252.0000000000078,-276.9999999999868,-402.000000000001,-1035.000000000011,-766.0000000000053,,-2227.9999999999964
2021.10.27,248.00000000000378,-274.0000000000009,-402.9999999999916,-1031.000000000006,-772.0000000000056,,-2232.0
2021.10.27,232.00000000000998,-325.9999999999934,-426.9999999999925,-1085.9999999999986,-802.9999999999973,,-2409.999999999972
2021.10.27,184.99999999999073,-317.99999999998363,-381.9999999999908,-1225.999999999999,-820.999999999998,,-2561.999999999981
2021.10.27,214.00000000000307,-370.00000000000455,-422.9999999999876,-1299.0000000000066,-748.9999999999952,,-2626.999999999991
2021.10.27,214.00000000000307,-227.99999999998022,-343.9999999999941,-1170.0000000000018,-677.9999999999973,,-2205.9999999999704
2021.10.27,265.99999999998846,-229.99999999998977,-335.9999999999985,-1137.0000000000005,-618.9999999999998,,-2056.0
2021.10.27,276.9999999999939,-195.99999999999795,-284.9999999999966,-1109.0000000000089,-602.0000000000039,,-1915.0000000000134
2021.10.27,219.99999999999798,-186.00000000000705,-313.99999999999295,-1109.0000000000089,-647.9999999999961,,-2037.000000000007
2021.10.27,232.99999999999432,-180.99999999998317,-302.99999999999727,-1076.0000000000077,-626.0000000000048,,-1952.9999999999986
2021.10.27,232.99999999999432,-88.99999999999864,-222.99999999999898,-972.0000000000084,-560.0000000000023,,-1611.000000000014
2021.10.27,232.00000000000998,-132.99999999998136,-256.9999999999908,-1053.0000000000114,-646.0000000000008,,-1856.9999999999745
2021.10.27,225.99999999999287,-183.9999999999975,-280.9999999999917,-1079.0000000000077,-671.0000000000065,,-1989.0000000000105
2021.10.27,238.99999999998923,-209.00000000000318,-323.99999999999807,-1019.0000000000055,-641.0000000000053,,-1954.0000000000227
2021.10.27,243.99999999999977,-168.00000000000637,-326.9999999999982,-1027.000000000001,-644.0000000000055,,-1922.0000000000111
2021.10.27,198.99999999999363,-195.99999999999795,-304.9999999999926,-1090.0000000000034,-721.0000000000036,,-2113.000000000004
2021.10.27,190.00000000000128,-248.99999999999523,-321.9999999999885,-1128.0,-757.9999999999956,,-2266.999999999978
