date,USDCHF,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.04.25,-17.000000000000348,-21.999999999988695,-7.000000000005002,-69.9999999999923,-12.000000000000899,-116.00000000000499,-25.000000000005684,-71.00000000000995,-51.000000000001044,-36.999999999998145,-38.0000000000047,-164.0000000000157,-451.99999999998573,-55.999999999997385,-79.99999999999119,-86.0000000000083,-5.999999999994898,-43.00000000000637,-42.00000000000159,-12.000000000000455,-202.9999999999976,-322.00000000000006,-61.99999999998429,,-1993.9999999999952
2016.04.25,5.999999999994898,32.0000000000098,24.999999999991473,-82.00000000000429,152.99999999999204,-103.99999999999298,49.99999999999716,-36.0000000000027,63.00000000000195,119.99999999999788,40.99999999999105,-139.00000000001,-482.999999999989,-30.9999999999917,-83.9999999999952,8.000000000008,45.000000000006146,-13.00000000000523,48.00000000000182,123.99999999999523,-214.00000000000307,-252.99999999999213,-0.9999999999843467,,-724.9999999999832
2016.04.25,19.999999999997797,48.000000000003595,55.999999999997385,-154.0000000000097,134.99999999999625,-200.00000000000017,-183.00000000000693,-62.000000000006494,68.00000000000139,87.99999999999919,69.9999999999923,-634.0000000000146,-475.99999999998755,-222.99999999999898,-299.99999999998914,-97.9999999999981,-146.99999999998602,-234.99999999999943,-118.00000000000921,-48.00000000000182,-248.99999999999923,-402.9999999999978,-28.999999999990145,,-3074.000000000007
2016.04.25,11.999999999989797,83.9999999999952,201.99999999999818,-164.99999999999292,251.00000000000122,-191.99999999999218,-138.00000000000523,-65.00000000000395,78.00000000000028,200.00000000000017,170.99999999999892,-551.0000000000161,-446.9999999999974,-185.99999999999284,-303.9999999999932,-86.0000000000083,79.00000000000685,-206.00000000000307,-79.9999999999983,97.99999999999898,-256.99999999999613,-389.99999999999034,-19.999999999997797,,-1911.9999999999977
2016.04.25,25.999999999992696,127.99999999999478,286.9999999999919,-154.99999999999403,263.99999999999756,-228.00000000000597,-230.99999999999454,-65.99999999999939,60.99999999999994,200.99999999999562,171.99999999999437,-742.0000000000186,-529.999999999986,-265.00000000000057,-292.9999999999877,-82.99999999998863,103.00000000000864,-310.0000000000023,-165.99999999999682,31.00000000000591,-271.9999999999945,-392.9999999999989,1.0000000000065512,,-2459.9999999999804
2016.04.25,24.999999999997247,126.0000000000039,280.00000000000114,-195.00000000001182,261.99999999999557,-246.99999999999721,-257.000000000005,-88.00000000001029,82.99999999999974,217.99999999999596,217.99999999999596,-779.0000000000248,-560.9999999999893,-307.9999999999927,-346.0000000000019,-62.000000000006494,118.00000000001809,-365.99999999999966,-174.99999999999716,13.999999999995794,-303.9999999999932,-423.9999999999911,-4.999999999988347,,-2773.000000000005
2016.04.25,22.999999999995246,131.00000000001444,375.0,-269.00000000000813,178.00000000000037,-404.0000000000044,-316.0000000000025,-165.9999999999995,-70.99999999999883,97.9999999999981,208.99999999999253,-1052.000000000021,-510.99999999999477,-399.0000000000009,-448.000000000004,-330.0000000000081,-101.99999999997988,-490.0000000000091,-371.9999999999999,-143.00000000000068,-304.9999999999997,-441.99999999999795,-60.99999999999994,,-4867.000000000029
2016.04.25,23.999999999990695,65.00000000000395,405.9999999999917,-391.000000000008,36.999999999998145,-377.0000000000051,-414.0000000000015,-213.00000000000762,-78.00000000000028,-19.999999999997797,210.99999999999451,-1111.0000000000184,-451.99999999998573,-583.999999999989,-469.99999999999267,-253.99999999999866,-291.9999999999812,-606.0000000000088,-468.0000000000035,-314.9999999999977,-278.00000000000045,-395.0000000000009,-7.999999999985796,,-5983.000000000005
2016.04.25,61.999999999995396,96.00000000000719,494.99999999999034,-408.00000000000836,53.999999999998494,-425.99999999999307,-399.0000000000009,-261.0000000000001,-88.99999999999464,-22.999999999995246,231.99999999999886,-1175.0000000000114,-473.99999999999665,-550.9999999999877,-550.000000000006,-292.00000000000335,-334.9999999999964,-615.0000000000091,-489.0000000000043,-361.99999999999477,-324.00000000000205,-353.99999999999875,99.00000000000463,,-6089.000000000008
2016.04.25,82.99999999999974,137.00000000000932,500.0,-417.0000000000007,49.99999999999449,-502.00000000000244,-424.0000000000066,-329.00000000000153,-165.9999999999995,-83.9999999999952,286.99999999999284,-1310.0000000000023,-536.0000000000032,-567.9999999999978,-679.0000000000074,-421.99999999998903,-469.99999999999267,-746.0000000000093,-573.9999999999981,-429.00000000000205,-352.9999999999922,-368.9999999999971,66.00000000001049,,-7254.999999999989
