date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,CADCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2018.09.10,-102.99999999999754,-4.000000000004,-71.99999999998319,-91.99999999998099,-8.000000000008,-1.999999999990898,-32.999999999994145,-21.99999999999136,-102.00000000000209,-5.999999999994898,-127.99999999999478,-90.00000000001229,-88.99999999998354,-2.000000000002,-78.00000000000028,-25.00000000000835,,-855.9999999999483
2018.09.10,-95.00000000000064,12.000000000012001,-45.99999999999049,-146.00000000000168,-23.00000000000635,-13.999999999991797,-29.999999999996696,-15.999999999991132,-129.99999999998568,0.0,-202.9999999999976,-80.00000000001339,-148.99999999999915,30.999999999992145,-127.99999999999478,-48.000000000003595,,-1064.9999999999688
2018.09.10,-63.00000000000195,-72.0000000000054,-99.99999999998899,-123.99999999999079,-75.00000000000284,1.0000000000065512,-15.999999999993797,-111.99999999999477,-214.00000000000307,-38.99999999998904,-232.99999999999432,-3.0000000000196536,-141.99999999999767,83.9999999999952,-129.00000000000134,-120.00000000000898,,-1356.999999999991
2018.09.10,-55.000000000005045,-52.99999999999194,-80.99999999999774,-130.99999999999224,-99.00000000000463,-21.999999999999797,-26.000000000003798,-79.99999999998408,-194.99999999998963,105.00000000002174,-225.00000000000853,32.999999999994145,-207.99999999998596,152.99999999999204,-112.000000000001,-181.00000000000892,,-1176.9999999999654
2018.09.10,-45.000000000006146,-52.99999999999194,-86.99999999999264,-129.00000000000134,-100.00000000000009,-20.999999999993246,-31.000000000003247,30.000000000001137,-194.99999999998963,83.00000000001084,-231.0000000000034,17.999999999984695,-207.00000000000162,143.9999999999997,-117.99999999999588,-192.99999999999872,,-1134.9999999999816
2018.09.10,-39.999999999995595,-70.99999999999883,-110.99999999999443,-127.99999999999478,-119.00000000000244,-2.999999999997449,-34.99999999999615,54.000000000002046,-202.9999999999976,156.00000000000057,-252.0000000000078,68.99999999998573,-197.99999999998707,185.99999999999727,-120.99999999999334,-205.00000000001074,,-1020.9999999999907
2018.09.10,-85.00000000000173,-65.00000000000395,-108.99999999998133,-129.99999999998568,-150.00000000000568,-25.999999999992696,-17.000000000000348,2.0000000000095497,-214.99999999998744,153.00000000000313,-255.99999999998957,42.999999999993044,-262.999999999991,173.00000000000094,-120.99999999999334,-270.00000000001467,,-1335.9999999999409
2018.09.10,-97.9999999999981,-95.999999999985,-142.99999999998204,-157.99999999999147,-139.00000000000023,-63.99999999999739,-20.999999999993246,-36.99999999997772,-265.0000000000041,105.00000000002174,-319.0000000000026,-19.00000000001345,-340.9999999999913,170.99999999999892,-82.99999999999974,-278.00000000000045,,-1784.9999999999163
2018.09.10,-56.99999999999594,-97.9999999999981,-142.99999999998204,-139.9999999999846,-136.99999999999824,-62.99999999999084,-29.000000000001247,15.00000000001478,-261.9999999999845,3.0000000000196536,-309.0000000000037,-48.000000000003595,-380.9999999999869,130.99999999999224,-90.0000000000012,-249.00000000001032,,-1856.9999999999145
2018.09.10,-126.0000000000039,-68.99999999998573,-108.99999999998133,-200.99999999998454,-123.00000000000644,-163.99999999999747,-19.999999999997797,60.000000000002274,-245.99999999999068,-28.999999999990145,-293.99999999999426,-60.99999999999994,-567.9999999999907,118.99999999999133,-80.99999999999774,-354.0000000000099,,-2265.9999999999372
2018.09.10,-124.99999999999733,-32.999999999994145,-54.99999999998284,-217.99999999998488,-68.00000000000139,-180.99999999999784,-31.000000000003247,71.00000000002638,-282.9999999999888,-44.99999999998394,-292.9999999999877,-79.00000000000685,-588.9999999999951,114.99999999999844,33.000000000005244,-385.00000000001313,,-2165.9999999999072
2018.09.10,-131.99999999999878,-11.999999999989797,-29.999999999996696,-214.99999999998744,-48.99999999999905,-188.9999999999947,-26.999999999999247,-4.9999999999954525,-265.99999999998846,13.000000000018552,-272.99999999998994,-28.000000000005798,-597.9999999999874,134.0000000000008,55.000000000005045,-384.00000000000654,,-2005.9999999999147
2018.09.10,-131.00000000000333,-19.999999999997797,-31.999999999987594,-234.00000000000088,-67.00000000000594,-186.99999999999272,-27.999999999994696,40.000000000020464,-248.00000000000378,30.0000000000189,-252.99999999999213,-11.00000000000545,-539.0000000000006,136.99999999999824,50.0000000000056,-388.0000000000106,,-1880.9999999999523
2018.09.10,-153.00000000000313,9.999999999998899,-8.999999999992347,-228.99999999999034,-53.00000000000304,-190.00000000000128,-5.999999999994898,66.0000000000025,-198.99999999999363,104.00000000001519,-214.00000000000307,57.99999999998029,-486.999999999993,137.9999999999937,46.00000000000159,-383.0,,-1500.9999999999825
2018.09.10,-151.00000000000114,85.00000000000173,48.000000000003595,-236.99999999999832,-48.99999999999905,-178.99999999999582,-12.000000000000899,123.00000000001887,-153.00000000000313,169.00000000001913,-185.99999999999727,78.99999999998464,-451.0000000000014,151.00000000000114,48.000000000003595,-377.0000000000051,,-1091.9999999999695
2018.09.10,-165.00000000000404,79.00000000000685,25.00000000000835,-242.99999999999324,-59.000000000009045,-162.99999999999093,-19.999999999997797,156.0000000000059,-173.00000000000094,204.00000000000418,-222.99999999999542,115.99999999998278,-426.9999999999996,185.99999999999727,31.000000000003247,-377.0000000000051,,-1052.9999999999875
2018.09.10,-151.9999999999966,83.9999999999952,15.00000000000945,-229.99999999999687,-65.99999999999939,-142.99999999999312,-0.999999999995449,201.00000000002183,-143.00000000000423,233.00000000001654,-221.00000000000452,100.99999999999554,-417.0000000000007,187.9999999999993,18.0000000000069,-371.00000000001023,,-903.9999999999562
2018.09.10,-160.00000000000458,56.99999999999594,-19.999999999997797,-237.99999999998266,-126.99999999999933,-145.9999999999906,-7.9999999999968985,138.00000000000523,-173.00000000000094,194.0000000000053,-235.99999999999176,103.99999999999298,-370.999999999988,176.99999999999383,-56.0000000000005,-350.00000000000585,,-1214.9999999999657
2018.09.10,-163.00000000000205,18.0000000000069,-41.99999999998649,-226.99999999999943,-172.00000000000549,-90.99999999999665,-7.0000000000014495,126.00000000000477,-181.9999999999933,314.00000000001427,-248.99999999998812,201.99999999999108,-238.99999999998923,235.99999999999176,-102.00000000000209,-336.00000000000296,,-913.9999999999585
2018.09.10,-197.00000000000273,-19.999999999997797,-41.000000000002146,-342.9999999999822,-125.00000000000844,-123.99999999999079,-36.999999999998145,82.00000000002206,-226.99999999999943,194.0000000000053,-252.99999999999213,129.99999999998568,-193.99999999998306,159.9999999999935,-117.99999999999588,-289.0000000000059,,-1401.9999999999518
2018.09.10,-229.00000000000142,-11.999999999989797,-9.999999999998899,-356.9999999999851,-30.000000000007798,-122.99999999999534,-58.000000000002494,22.00000000001978,-347.9999999999928,58.000000000002494,-316.0000000000052,24.999999999986144,-244.9999999999841,181.9999999999933,-122.99999999999534,-223.00000000001762,,-1786.9999999999745
2018.09.10,-151.9999999999966,-208.99999999999253,-177.99999999998929,-289.9999999999903,-197.00000000000273,-73.00000000000084,-70.0000000000034,-219.99999999999886,-441.99999999998687,-66.99999999999484,-394.9999999999898,-33.00000000001635,-324.9999999999975,186.99999999999272,-146.00000000000168,-299.00000000000483,,-2908.999999999974
