date,USDCHF,GBPUSD,EURUSD,USDJPY,GBPCHF,EURCHF,NZDCHF,EURGBP,EURNZD,CADJPY,AUDCAD,empty,sum
2015.04.27,-43.999999999999595,-1.0000000000065512,-29.999999999996696,-29.000000000010573,-104.99999999999955,-58.99999999998684,-88.99999999999464,-56.0000000000005,-99.99999999998899,-7.999999999995566,-52.000000000007596,,-572.9999999999872
2015.04.27,-23.999999999990695,10.999999999983245,-46.0000000000127,-27.000000000001023,-100.99999999999554,-66.99999999999484,-225.99999999999287,-73.00000000000084,-622.9999999999958,-21.000000000000796,-59.000000000009045,,-1256.000000000011
2015.04.27,-39.999999999995595,-40.0000000000178,-22.0000000000109,-72.00000000000273,-65.00000000000395,-41.99999999998649,-228.99999999999034,-16.0000000000049,-224.000000000002,-62.99999999998818,-43.999999999999595,,-857.0000000000025
2015.04.27,-39.999999999995595,-69.00000000000794,-38.0000000000047,-70.99999999999795,-15.00000000000945,-44.99999999998394,-155.99999999998948,-16.0000000000049,-20.999999999982144,-63.99999999999295,-37.00000000000925,,-571.9999999999783
2015.04.27,-15.999999999993797,-20.000000000020002,-8.000000000008,-52.00000000000671,-22.999999999995246,-39.999999999995595,-217.99999999999596,-11.00000000000545,-112.99999999998533,-104.99999999998977,-17.000000000000348,,-622.9999999999962
2015.04.27,-17.000000000000348,-21.00000000000435,12.999999999996348,-52.00000000000671,-42.0000000000087,-43.999999999999595,-253.99999999999866,2.999999999997449,-243.99999999999977,-170.99999999999227,-19.00000000000235,,-848.000000000019
2015.04.27,29.000000000001247,-1.0000000000065512,24.999999999986144,-50.00000000001137,31.000000000003247,-64.99999999998174,-288.9999999999948,1.999999999990898,-274.9999999999808,-166.99999999998738,-43.00000000000415,,-802.9999999999852
2015.04.27,-39.999999999995595,-26.999999999999247,-14.000000000002899,-115.0000000000091,-41.000000000002146,-34.99999999998504,-312.9999999999966,-9.00000000000345,-274.9999999999808,-280.00000000000114,-151.00000000000114,,-1299.999999999977
2015.04.27,-32.999999999994145,-37.00000000002035,-21.00000000000435,-128.0000000000001,-42.0000000000087,-57.99999999998029,-311.99999999999005,-15.00000000000945,-283.99999999999534,-283.00000000000125,-165.9999999999995,,-1379.0000000000036
2015.04.27,2.000000000002,-19.00000000001345,-17.000000000000348,-85.00000000000796,9.999999999998899,-61.99999999998429,-325.99999999999295,-14.000000000002899,-354.9999999999942,-314.9999999999977,-181.00000000000892,,-1362.0000000000018
2015.04.27,-26.999999999999247,-20.000000000020002,-32.0000000000098,-58.000000000006935,-114.0000000000141,-54.99999999998284,-430.9999999999925,-64.0000000000085,-537.9999999999941,-316.99999999999307,-223.00000000000654,,-1879.000000000028
2015.04.27,-24.999999999997247,71.99999999998319,-24.000000000001798,-30.000000000001137,-127.00000000001043,-60.99999999999994,-388.9999999999949,-63.00000000000195,-469.99999999999267,-298.9999999999924,-225.00000000000853,,-1641.0000000000177
2015.04.27,-106.99999999999044,-53.00000000001415,-116.00000000000499,-72.00000000000273,-171.00000000001003,-74.99999999998064,-380.999999999998,-78.00000000000028,-470.9999999999992,-263.9999999999958,-308.00000000000824,,-2096.0000000000045
