date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.11.09,-34.99999999998504,-141.99999999999767,-78.00000000000028,-43.99999999999693,-89.00000000000574,-92.00000000000318,0.0,-109.00000000000354,-32.0000000000098,-15.999999999993797,-90.99999999999665,-77.00000000000485,0.0,-201.99999999999108,0.0,-28.999999999990145,-47.00000000001925,-19.99999999999602,-95.99999999998943,-114.99999999999844,-70.0000000000034,-85.00000000000173,,-1468.9999999999873
2015.11.09,59.000000000009045,-124.00000000001299,-59.000000000009045,-60.000000000002274,-123.99999999999079,-107.00000000000153,56.99999999999594,-172.0000000000166,148.99999999999915,82.00000000000429,-138.00000000000477,-201.00000000000674,48.000000000003595,-302.9999999999866,-2.0000000000131024,-67.9999999999792,-296.0000000000074,-18.000000000000682,-92.99999999998931,-132.99999999999423,-180.0000000000024,-125.99999999998168,,-1808.999999999987
2015.11.09,106.00000000000608,-110.99999999999443,-28.000000000005798,-78.99999999999352,-143.00000000000423,-92.00000000000318,78.99999999999574,-205.00000000001074,112.000000000001,108.00000000000809,-141.99999999999767,-178.00000000000037,6.0000000000060005,-190.00000000000128,-69.00000000000794,-124.99999999999733,-293.0000000000099,-15.000000000000568,-92.99999999998931,-127.99999999999478,-148.99999999999915,-106.99999999999044,,-1735.9999999999836
2015.11.09,106.00000000000608,-126.0000000000039,-49.99999999999449,-34.000000000006025,-92.00000000000318,-126.99999999999933,149.99999999999457,-197.00000000000273,157.00000000000713,128.00000000000588,-178.99999999999582,-235.00000000000742,31.000000000003247,-239.00000000001143,-36.999999999998145,-109.99999999998789,-370.00000000000364,-19.99999999999602,-95.99999999998943,-121.99999999999989,-187.00000000000384,-5.999999999994898,,-1654.9999999999816
2015.11.09,75.00000000000284,-181.00000000000892,-141.00000000001333,-25.000000000005684,-79.99999999999119,-150.00000000000568,131.00000000000333,-236.99999999999832,147.00000000000824,124.00000000000189,-202.0000000000022,-214.00000000000307,31.999999999998696,-320.00000000000915,-45.000000000006146,-137.9999999999937,-304.9999999999997,-46.00000000000648,-147.99999999999613,-174.99999999999181,-151.00000000000114,-117.99999999999588,,-2167.0000000000136
2015.11.09,87.99999999999919,-202.00000000001327,-121.99999999999989,-108.00000000000409,-161.99999999999548,-153.00000000000313,102.99999999999754,-294.0000000000165,204.00000000000418,97.9999999999981,-192.00000000000327,-182.99999999999983,9.999999999998899,-268.9999999999859,76.99999999999375,-45.99999999999049,-106.00000000000608,-10.99999999999568,-167.99999999999216,-165.9999999999995,-119.00000000000244,-139.00000000000023,,-1860.0000000000164
2015.11.09,129.00000000000134,-185.99999999999727,-110.00000000001009,-102.99999999999443,-160.99999999998892,-170.00000000000347,99.00000000000463,-314.00000000001427,218.00000000000708,119.99999999999788,-234.00000000000088,-219.99999999999798,28.000000000005798,-292.00000000000335,91.99999999998099,-89.99999999999008,-144.0000000000108,3.0000000000001137,-199.99999999998863,-203.99999999999307,-163.00000000000205,-109.99999999998789,,-2011.9999999999854
2015.11.09,90.00000000001229,-229.00000000001253,-205.00000000001074,-201.99999999999818,-72.0000000000054,-226.00000000000398,178.00000000000037,-299.00000000000483,269.9999999999925,136.00000000000279,-261.99999999999557,-301.0000000000068,53.999999999998494,-401.00000000000693,112.99999999998533,-87.99999999999919,-269.00000000000813,58.9999999999975,-373.9999999999952,-229.00000000000142,-262.00000000000665,-39.999999999995595,,-2559.000000000062
2015.11.09,11.00000000000545,-280.9999999999979,-225.00000000000853,-218.00000000000352,17.000000000000348,-231.0000000000034,278.00000000000045,-279.00000000000705,248.00000000000378,123.00000000000644,-265.0000000000041,-318.00000000000716,86.0000000000083,-401.00000000000693,90.99999999999665,-91.99999999998099,-408.00000000000836,182.00000000000216,-379.99999999999545,-218.99999999999142,-290.00000000000136,2.999999999997449,,-2567.999999999995
2015.11.09,-38.0000000000047,-320.00000000000915,-324.9999999999975,-197.00000000000273,56.000000000011596,-314.0000000000032,351.0000000000013,-222.00000000001108,262.00000000000665,126.99999999999933,-283.99999999999534,-421.0000000000047,87.00000000000374,-532.9999999999835,102.99999999998644,-135.9999999999806,-547.0000000000086,167.0000000000016,-457.9999999999984,-283.99999999999534,-445.0000000000065,99.00000000000463,,-3271.9999999999864
