date,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPAUD,CADJPY,AUDJPY,NZDJPY,empty,sum
2021.02.22,-106.00000000000608,-10.000000000021103,-34.99999999999615,-90.0000000000012,-43.999999999999595,-131.00000000000023,-117.999999999995,-161.99999999999193,,-696.0000000000113
2021.02.22,-36.999999999998145,1.999999999990898,-51.000000000001044,-85.99999999999719,-29.00000000001235,-140.00000000000057,-126.99999999999534,-152.00000000000102,,-620.0000000000148
2021.02.22,-120.00000000000898,-71.00000000002105,-90.99999999999665,-197.00000000000273,52.000000000007596,-259.00000000000034,-218.9999999999941,-308.9999999999975,,-1214.0000000000136
2021.02.22,-219.99999999999798,-134.00000000001188,-227.99999999999488,-300.0000000000003,-124.00000000001299,-301.00000000000193,-347.999999999999,-402.9999999999916,,-2058.000000000011
2021.02.22,-246.00000000001288,-120.00000000000898,-219.99999999999798,-253.0000000000032,-52.000000000007596,-295.99999999999227,-332.9999999999984,-346.00000000000364,,-1866.0000000000248
2021.02.22,-341.99999999999784,-161.00000000001114,-295.99999999999625,-298.9999999999937,-187.00000000000384,-268.99999999999125,-387.00000000000045,-376.99999999999534,,-2317.99999999999
2021.02.22,-426.9999999999996,-309.0000000000037,-392.00000000000347,-519.9999999999983,-218.00000000000708,-396.0000000000008,-518.0000000000007,-629.9999999999955,,-3410.000000000009
2021.02.22,-374.0000000000077,-277.00000000001614,-319.99999999999807,-478.9999999999961,-168.99999999999693,-403.99999999999636,-480.99999999999454,-611.9999999999948,,-3116.000000000001
2021.02.22,-253.00000000001432,-205.00000000001074,-282.99999999999994,-419.9999999999982,-195.9999999999962,-479.99999999998977,-493.9999999999998,-591.9999999999987,,-2923.0000000000077
2021.02.22,-107.99999999999699,-98.0000000000203,-148.0000000000037,-317.0000000000006,-78.00000000000028,-384.00000000000034,-387.999999999991,-518.0000000000007,,-2039.0000000000139
2021.02.22,-133.00000000000534,-76.0000000000094,-116.00000000000499,-307.99999999999716,-7.0000000000014495,-325.00000000000284,-311.9999999999976,-495.9999999999951,,-1773.0000000000136
2021.02.22,-109.00000000000354,-44.0000000000218,-95.00000000000064,-248.99999999999923,43.999999999999595,-331.99999999999363,-313.99999999999295,-450.9999999999934,,-1550.0000000000057
2021.02.22,-158.0000000000137,-89.00000000000574,-109.00000000000354,-246.99999999999721,39.999999999995595,-361.99999999999477,-325.9999999999934,-444.0000000000026,,-1695.0000000000155
2021.02.22,-175.00000000001404,-108.00000000001918,-121.00000000000443,-249.99999999999466,83.9999999999952,-400.99999999999625,-352.99999999999443,-457.9999999999984,,-1782.0000000000261
2021.02.22,-137.00000000000932,-136.00000000000279,-170.00000000000347,-300.99999999999574,-89.00000000000574,-408.00000000000125,-412.9999999999967,-522.9999999999961,,-2177.000000000011
2021.02.22,-148.00000000001478,-150.00000000000568,-177.00000000000495,-317.9999999999961,-86.0000000000083,-426.00000000000193,-423.9999999999924,-543.9999999999969,,-2273.000000000021
2021.02.22,-97.00000000001374,-104.00000000001519,-122.99999999999534,-264.999999999993,-46.0000000000127,-378.9999999999907,-350.9999999999991,-475.9999999999991,,-1841.0000000000189
2021.02.22,-86.0000000000083,-97.00000000001374,-126.99999999999933,-261.99999999999557,-60.99999999999994,-375.0,-353.9999999999992,-459.0000000000032,,-1821.000000000019
2021.02.22,-50.0000000000167,-56.000000000011596,-100.00000000000009,-207.99999999999707,-95.00000000000064,-364.9999999999949,-345.9999999999894,-424.99999999999716,,-1645.0000000000077
2021.02.22,129.99999999998568,186.99999999998164,-65.00000000000395,-73.99999999999629,-268.0000000000016,-274.9999999999915,-397.99999999999613,-376.99999999999534,,-1140.0000000000173
2021.02.22,25.999999999992696,176.99999999998272,-58.99999999999794,-129.9999999999968,-93.00000000000975,-292.99999999999216,-387.999999999991,-423.0000000000018,,-1183.000000000014
2021.02.22,55.99999999998939,301.99999999998005,16.0000000000049,-66.99999999999484,43.999999999999595,-224.00000000000375,-303.99999999998784,-350.9999999999991,,-528.0000000000116
2021.02.22,-72.0000000000054,182.99999999999983,-51.000000000001044,-125.99999999999278,31.999999999987594,-305.9999999999974,-390.99999999999113,-438.0000000000024,,-1169.0000000000027
2021.02.22,-165.00000000001512,220.99999999998232,-66.99999999999484,-173.9999999999964,79.99999999999119,-234.99999999999943,-344.99999999999886,-414.99999999999204,,-1100.0000000000232
2021.02.22,-181.00000000000892,170.99999999998784,-116.00000000000499,-234.99999999999633,65.99999999998829,-167.99999999999216,-317.99999999999784,-420.0000000000017,,-1201.000000000026
2021.02.22,-194.0000000000053,115.99999999998278,-160.00000000000458,-256.0000000000007,-19.999999999997797,-209.99999999999375,-363.9999999999901,-444.0000000000026,,-1532.0000000000123
2021.02.22,-344.00000000001097,73.99999999999629,-224.000000000002,-317.9999999999961,60.99999999999994,-212.0000000000033,-369.99999999999034,-451.9999999999982,,-1785.0000000000045
2021.02.22,-310.9999999999946,118.99999999998023,-219.00000000000253,-317.9999999999961,-87.99999999999919,-144.99999999999602,-347.999999999999,-432.9999999999927,,-1743.0
2021.02.22,-273.9999999999965,112.99999999998533,-234.00000000000088,-373.00000000000114,-150.00000000000568,-146.99999999999136,-379.99999999999545,-507.99999999999557,,-1953.0000000000014
2021.02.22,-229.99999999999687,118.99999999998023,-202.0000000000022,-346.0000000000019,-68.00000000000139,-179.00000000000205,-378.9999999999907,-507.000000000005,,-1792.0000000000198
2021.02.22,-218.00000000000708,98.99999999998244,-195.00000000000074,-351.0000000000013,-60.99999999999994,-140.99999999999113,-338.99999999999864,-472.999999999999,,-1679.0000000000155
2021.02.22,-368.9999999999971,81.9999999999821,-304.9999999999997,-429.99999999999704,-256.00000000001177,-115.99999999999966,-378.9999999999907,-480.000000000004,,-2253.0000000000177
