date,USDCAD,EURCHF,AUDCHF,GBPCAD,GBPAUD,EURJPY,EURCAD,AUDJPY,AUDNZD,empty,sum
2016.01.18,-56.99999999999594,8.000000000008,-97.9999999999981,-173.99999999998528,-273.99999999997425,-9.000000000000341,-191.00000000000784,-197.00000000000273,143.99999999998857,,-847.9999999999679
2016.01.18,-243.99999999999977,-21.00000000000435,-208.99999999999253,-425.99999999999307,-355.99999999997857,-94.99999999999886,-543.999999999989,-362.000000000009,139.00000000000023,,-2117.9999999999645
2016.01.18,-83.9999999999952,31.999999999987594,-223.99999999999088,-90.00000000001229,-371.99999999999454,-237.99999999999955,-214.00000000000307,-429.00000000000205,154.99999999999403,,-1464.0000000000157
2016.01.18,-100.99999999999554,65.99999999998829,-266.999999999995,4.999999999988347,-261.9999999999845,-283.9999999999918,-253.99999999999866,-478.9999999999992,147.99999999999258,,-1427.9999999999957
2016.01.18,-146.00000000000168,55.99999999998939,-233.99999999998977,-167.9999999999904,-357.99999999999164,-334.99999999999375,-245.99999999999068,-478.9999999999992,79.99999999999119,,-1829.9999999999766
2016.01.18,-195.9999999999962,38.99999999998904,-390.99999999999693,-278.00000000000045,-716.9999999999899,-316.0000000000025,-441.99999999998687,-663.0000000000109,-22.0000000000109,,-2986.000000000006
2016.01.18,-478.0000000000006,143.00000000000423,-644.0000000000001,-585.0000000000133,-1051.0000000000018,-340.0000000000034,-846.9999999999977,-894.0000000000055,-28.000000000005798,,-4724.000000000024
2016.01.18,-604.9999999999889,86.0000000000083,-790.9999999999973,-746.0000000000023,-1435.9999999999927,-340.0000000000034,-1099.0000000000055,-1109.0000000000089,-74.0000000000185,,-6114.000000000009
2016.01.18,-524.9999999999977,116.00000000000499,-732.9999999999948,-668.9999999999862,-1363.0000000000032,-325.00000000000284,-926.0000000000045,-1013.0000000000052,-172.0000000000166,,-5610.0000000000055
2016.01.18,-737.9999999999942,92.00000000000318,-908.9999999999932,-865.999999999989,-1654.0,-281.9999999999965,-1290.9999999999977,-1209.0000000000032,-214.00000000000307,,-7070.999999999974
2016.01.18,-695.9999999999856,123.00000000000644,-941.9999999999984,-807.0000000000022,-1689.0000000000073,-268.0000000000007,-1245.9999999999916,-1213.0000000000082,-212.00000000001216,,-6949.999999999999
2016.01.18,-737.9999999999942,170.99999999998784,-1060.9999999999898,-838.9999999999898,-1922.999999999986,-305.9999999999974,-1300.9999999999966,-1344.0000000000082,-275.000000000003,,-7615.999999999976
2016.01.18,-809.9999999999997,180.99999999998673,-1060.9999999999898,-916.0000000000057,-1839.999999999975,-242.999999999995,-1405.9999999999961,-1294.0000000000111,-226.99999999999943,,-7615.9999999999845
2016.01.18,-705.0000000000001,200.00000000000017,-977.99999999999,-835.000000000008,-1678.9999999999861,-165.99999999999682,-1239.9999999999966,-1135.000000000005,-182.0000000000155,,-6719.999999999999
