date,USDCAD,EURCHF,AUDCHF,GBPCAD,GBPAUD,EURJPY,EURCAD,AUDJPY,AUDNZD,empty,sum
2016.01.18,-58.99999999998684,-96.00000000000719,-192.99999999999872,-246.00000000001288,-456.9999999999741,-218.00000000000352,-292.9999999999877,-365.0000000000091,-28.000000000005798,,-1954.999999999986
2016.01.18,-251.99999999998556,-70.99999999999883,-232.99999999999432,-455.0000000000054,-550.000000000006,-207.9999999999984,-574.9999999999922,-426.00000000000193,-39.00000000001125,,-2808.9999999999936
2016.01.18,-288.99999999998374,-25.999999999992696,-296.9999999999917,-476.0000000000098,-624.0000000000023,-299.99999999999716,-554.9999999999944,-505.00000000000966,56.99999999999594,,-3014.9999999999854
2016.01.18,-192.99999999999872,28.999999999990145,-295.99999999999625,-179.00000000001802,-461.0000000000003,-352.00000000000387,-374.999999999992,-535.0000000000108,115.99999999998278,,-2246.0000000000473
2016.01.18,-200.00000000000017,45.000000000006146,-290.9999999999968,-206.00000000001728,-400.00000000000034,-388.9999999999958,-388.9999999999949,-573.9999999999981,58.000000000002494,,-2345.9999999999955
2016.01.18,-207.99999999998596,25.00000000000835,-408.9999999999927,-295.99999999998516,-776.9999999999833,-436.9999999999976,-478.0000000000006,-704.9999999999983,-43.00000000001525,,-3327.9999999999504
2016.01.18,-540.9999999999915,38.99999999998904,-747.9999999999931,-642.9999999999936,-1261.000000000001,-423.9999999999924,-1014.9999999999882,-1070.999999999998,-110.00000000001009,,-5773.999999999979
2016.01.18,-664.9999999999823,65.00000000000395,-805.0000000000001,-844.0000000000225,-1495.9999999999861,-472.999999999999,-1167.0000000000068,-1182.0000000000023,-121.00000000001555,,-6688.00000000001
2016.01.18,-613.9999999999812,76.99999999999375,-837.9999999999943,-761.0000000000117,-1563.9999999999877,-396.0000000000008,-1105.0000000000005,-1178.0000000000114,-185.00000000001293,,-6564.000000000007
2016.01.18,-740.9999999999917,89.99999999999008,-909.9999999999997,-878.9999999999853,-1656.9999999999752,-365.99999999999966,-1293.9999999999952,-1213.0000000000082,-214.00000000000307,,-7183.999999999968
2016.01.18,-783.0000000000003,53.999999999998494,-1027.9999999999957,-920.9999999999941,-1973.0000000000025,-316.99999999999307,-1375.9999999999995,-1335.000000000008,-303.0000000000088,,-7982.000000000005
2016.01.18,-834.9999999999858,100.99999999999554,-1177.9999999999902,-981.999999999994,-2232.999999999974,-322.00000000000273,-1497.9999999999993,-1522.0000000000055,-351.0000000000124,,-8819.999999999969
2016.01.18,-817.9999999999854,147.00000000000824,-1151.9999999999975,-937.00000000001,-2139.9999999999864,-316.0000000000025,-1485.000000000003,-1447.0000000000027,-313.00000000000773,,-8460.999999999987
2016.01.18,-825.9999999999934,165.9999999999995,-1072.9999999999907,-937.00000000001,-1871.0000000000005,-274.0000000000009,-1424.9999999999875,-1311.000000000007,-240.00000000001796,,-7791.000000000008
2016.01.18,-783.0000000000003,160.00000000000458,-1121.9999999999898,-909.0000000000042,-1998.9999999999952,-265.00000000000057,-1390.9999999999866,-1347.999999999999,-226.99999999999943,,-7883.99999999997
2016.01.18,-790.0000000000018,158.99999999999804,-1066.0000000000002,-814.0000000000036,-1784.99999999997,-298.9999999999924,-1414.9999999999884,-1332.0000000000077,-171.00000000001003,,-7512.999999999977
2016.01.18,-639.9999999999961,147.00000000000824,-940.9999999999918,-717.9999999999964,-1562.9999999999811,-281.9999999999965,-1190.0000000000023,-1153.000000000006,-134.00000000001188,,-6473.999999999974
2016.01.18,-546.9999999999864,104.99999999999955,-870.9999999999995,-595.9999999999966,-1412.9999999999754,-215.0000000000034,-1185.9999999999982,-1091.9999999999986,-76.0000000000094,,-5890.999999999967
2016.01.18,-621.9999999999892,92.99999999998754,-1069.9999999999932,-693.0000000000102,-1696.9999999999707,-179.9999999999926,-1429.999999999998,-1260.000000000005,-131.00000000001444,,-6989.999999999987
2016.01.18,-567.9999999999907,79.00000000000685,-938.9999999999899,-801.0000000000073,-1716.9999999999686,-126.99999999999534,-1246.9999999999982,-1072.0000000000027,-160.00000000000458,,-6551.999999999951
2016.01.18,-969.999999999982,46.999999999997044,-1160.9999999999898,-744.9999999999957,-1503.9999999999943,-308.9999999999975,-1824.0000000000034,-1436.000000000007,-106.00000000000608,,-8007.999999999979
2016.01.18,-969.999999999982,178.99999999999582,-1149.9999999999955,-652.0000000000082,-1228.0000000000068,-341.99999999999875,-1807.000000000003,-1412.0000000000061,-85.00000000000173,,-7467.000000000006
2016.01.18,-841.9999999999872,161.99999999999548,-963.9999999999982,-624.0000000000023,-917.9999999999744,-360.99999999999,-1502.0000000000034,-1172.0000000000114,-42.0000000000087,,-6262.99999999998
2016.01.18,-838.9999999999898,141.99999999999767,-788.9999999999952,-681.9999999999826,-731.9999999999993,-408.00000000000125,-1364.999999999994,-1041.000000000011,-4.000000000004,,-5717.999999999979
2016.01.18,-830.9999999999818,157.99999999999147,-737.9999999999942,-850.9999999999795,-783.9999999999848,-415.9999999999968,-1400.0000000000011,-996.9999999999999,-39.00000000001125,,-5897.999999999958
2016.01.18,-1041.9999999999873,109.99999999998789,-839.9999999999964,-1181.0000000000098,-1154.9999999999727,-483.99999999999466,-1682.0000000000057,-1201.0000000000077,-60.99999999999994,,-7535.999999999985
2016.01.18,-1015.9999999999947,97.9999999999981,-844.0000000000003,-1153.000000000004,-1135.9999999999814,-456.00000000000307,-1665.0000000000055,-1181.0000000000116,12.999999999996348,,-7340.000000000006
2016.01.18,-998.9999999999943,65.99999999998829,-812.999999999997,-993.9999999999837,-966.9999999999845,-481.9999999999993,-1598.9999999999948,-1169.0000000000111,51.000000000001044,,-6905.999999999975
