date,EURUSD,USDCAD,AUDUSD,NZDUSD,AUDCHF,AUDJPY,NZDCAD,empty,sum
2015.10.05,-32.999999999994145,-1.0000000000065512,-4.000000000004,0.0,-53.00000000000304,-31.00000000000591,-24.999999999997247,,-147.00000000001089
2015.10.05,-35.999999999991594,26.999999999999247,-33.000000000005244,0.0,-33.000000000005244,-54.000000000002046,-53.999999999998494,,-183.00000000000338
2015.10.05,28.000000000005798,59.99999999999339,-36.0000000000027,4.000000000004,-94.00000000000519,-18.000000000000682,-21.999999999999797,,-78.00000000000517
2015.10.05,12.000000000012001,195.9999999999962,-21.999999999999797,87.99999999999919,-70.0000000000034,16.999999999995907,-51.000000000001044,,169.999999999999
2015.10.05,-2.999999999997449,208.99999999999253,-3.0000000000085514,148.99999999999915,-59.000000000009045,21.99999999999136,-123.00000000000644,,191.99999999996157
2015.10.05,-42.999999999993044,192.99999999999872,26.999999999999247,70.99999999999883,-30.000000000007798,64.99999999999773,-102.99999999999754,,179.9999999999962
2015.10.05,-18.999999999991246,48.99999999998794,21.999999999999797,-19.999999999997797,-9.00000000000345,33.00000000000125,-51.000000000001044,,4.999999999995445
2015.10.05,-59.99999999999339,71.99999999998319,41.9999999999976,52.000000000007596,13.999999999991797,37.9999999999967,-133.00000000000534,,24.999999999978172
2015.10.05,-82.00000000000429,-1.0000000000065512,-153.00000000000313,-24.999999999997247,-119.00000000000244,-151.00000000001046,-102.00000000000209,,-633.0000000000261
2015.10.05,-235.99999999999176,-29.999999999996696,-189.00000000000583,-85.00000000000173,-162.0000000000066,-158.00000000000125,-68.00000000000139,,-928.0000000000052
2015.10.05,-265.99999999998846,-45.000000000006146,-257.0000000000072,-142.99999999999312,-178.00000000000037,-248.00000000000466,65.99999999999939,,-1071.0000000000007
2015.10.05,-248.99999999998812,-143.00000000000423,-240.00000000000688,-131.99999999999878,-180.0000000000024,-274.0000000000009,39.00000000000014,,-1179.0000000000011
2015.10.05,-184.00000000000637,-172.0000000000166,-208.00000000000819,-129.00000000000134,-160.00000000000458,-255.00000000000966,-41.000000000002146,,-1149.0000000000489
2015.10.05,-150.99999999999002,-207.00000000000162,-176.0000000000095,-82.99999999999974,-154.0000000000097,-213.00000000000807,-70.99999999999883,,-1055.0000000000175
2015.10.05,-70.99999999999883,-204.00000000000418,-154.0000000000097,-115.99999999999389,-156.00000000000057,-248.00000000000466,-50.0000000000056,,-999.0000000000174
2015.10.05,-164.00000000000858,-134.99999999999625,-158.0000000000026,-108.99999999999244,-138.00000000000477,-243.0000000000092,14.000000000002899,,-933.0000000000109
2015.10.05,-181.9999999999933,-127.00000000001043,-126.0000000000039,-142.99999999999312,-70.0000000000034,-115.99999999999966,0.0,,-764.0000000000038
