date,USDCHF,EURUSD,AUDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURAUD,EURNZD,AUDJPY,AUDCAD,AUDNZD,empty,sum
2020.08.17,-52.99999999999194,-49.00000000001015,-135.00000000000733,-95.00000000000064,-149.0000000000009,-50.0000000000056,-22.999999999995246,-90.99999999999665,-115.99999999999389,-210.00000000000796,-560.0000000000049,-231.99999999999932,-92.00000000000318,-117.99999999999588,-213.00000000000807,-334.00000000000097,-124.99999999999733,,-2645.0000000000196
2020.08.17,-51.000000000001044,-55.000000000005045,-143.9999999999997,-55.000000000005045,-191.0000000000025,-26.999999999999247,31.999999999998696,-1.0000000000065512,-66.99999999999484,-253.99999999999068,-652.0000000000082,-243.99999999999977,-15.999999999993797,-63.99999999999739,-214.00000000001285,-331.999999999999,-100.99999999999554,,-2436.0000000000127
2020.08.17,-22.999999999995246,-78.00000000000028,-162.0000000000066,-19.999999999997797,-161.00000000000136,-20.0000000000089,4.000000000004,-51.99999999999649,-87.99999999999919,-233.0000000000041,-635.0000000000077,-245.9999999999951,32.0000000000098,-184.99999999999073,-208.00000000001262,-402.9999999999978,-222.99999999999542,,-2700.9999999999955
2020.08.17,-5.999999999994898,-53.999999999998494,-141.00000000000225,-17.000000000000348,-156.0000000000059,-8.000000000008,83.9999999999952,-31.000000000003247,-78.99999999999574,-206.99999999999363,-511.000000000017,-238.9999999999901,79.00000000000685,-285.00000000000193,-195.0000000000074,-381.99999999999346,-304.9999999999997,,-2453.00000000001
2020.08.17,-21.999999999999797,-112.000000000001,-221.00000000000452,11.999999999989797,-126.00000000000477,7.0000000000014495,95.99999999999609,-82.99999999999974,-85.99999999999719,-206.99999999999363,-536.0000000000032,-231.99999999999932,103.00000000000864,-451.0000000000014,-240.99999999999966,-465.9999999999998,-456.9999999999963,,-3022.0000000000045
2020.08.17,-30.999999999992145,-153.00000000000313,-306.00000000000625,21.999999999988695,-120.99999999999511,7.9999999999968985,146.99999999999713,-56.0000000000005,-95.00000000000064,-234.00000000000887,-551.9999999999969,-265.99999999999113,192.00000000001438,-436.9999999999985,-328.00000000000296,-558.9999999999984,-534.0000000000123,,-3303.0000000000095
2020.08.17,-19.00000000000235,-137.9999999999937,-291.0000000000079,21.999999999988695,-164.00000000000148,17.000000000000348,200.00000000000017,-58.000000000002494,-96.99999999999153,-258.0000000000098,-547.0000000000086,-300.9999999999877,297.0000000000139,-496.99999999999187,-351.0000000000133,-558.000000000003,-546.000000000002,,-3289.0000000000127
2020.08.17,29.000000000001247,-97.9999999999981,-330.0000000000081,62.99999999999084,-61.99999999999761,20.999999999993246,204.99999999999963,-95.99999999999609,-82.99999999999974,-189.99999999999773,-578.0000000000118,-216.99999999999875,292.00000000000335,-639.9999999999961,-324.0000000000123,-629.0000000000018,-758.9999999999985,,-3396.000000000028
2020.08.17,29.000000000001247,-110.99999999999443,-325.00000000000864,59.000000000009045,-1.9999999999953388,25.999999999992696,229.00000000000142,-117.99999999999588,-112.99999999999643,-139.99999999998636,-595.0000000000122,-168.99999999999693,314.99999999999864,-692.9999999999881,-323.0000000000075,-617.9999999999964,-743.0000000000048,,-3291.99999999998
2020.08.17,34.000000000000696,-104.99999999999955,-294.00000000000534,63.99999999999739,18.000000000000682,19.999999999997797,210.99999999999451,-101.00000000000664,-107.00000000000153,-97.99999999998477,-577.0000000000052,-144.99999999999602,270.99999999999903,-656.9999999999965,-282.0000000000107,-588.9999999999951,-695.0000000000011,,-3032.0000000000127
2020.08.17,4.000000000004,-221.00000000000452,-314.0000000000032,69.9999999999923,-84.99999999999375,39.999999999995595,222.99999999999542,-45.000000000006146,-168.99999999999693,-204.99999999998408,-527.0000000000108,-348.99999999998954,219.00000000001364,-507.9999999999973,-328.00000000000296,-573.0000000000013,-544.0000000000111,,-3312.000000000001
2020.08.17,-25.999999999992696,-295.0000000000008,-323.0000000000066,79.00000000000685,-87.99999999999386,43.999999999999595,239.99999999999577,7.9999999999968985,-166.99999999999494,-243.99999999999977,-530.0000000000082,-385.9999999999957,216.00000000001617,-461.99999999998465,-343.0000000000035,-556.0000000000009,-483.99999999999557,,-3316.999999999962
