date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,NZDCAD,empty,sum
2019.09.09,-139.00000000000023,-56.99999999999594,-15.00000000000945,-82.99999999998863,-96.99999999999153,-97.9999999999981,0.0,-14.999999999998348,-87.00000000001751,-70.99999999999883,-114.99999999999844,-64.99999999999773,-58.000000000002494,-141.00000000000225,,-1040.9999999999995
2019.09.09,-114.99999999999844,-112.99999999998533,-12.999999999996348,-24.999999999986144,-68.99999999999685,-92.99999999999864,63.99999999999739,-46.00000000000159,-143.00000000000068,-120.99999999999334,-83.00000000001084,-70.99999999999795,-21.00000000000435,-124.00000000000189,,-972.9999999999749
2019.09.09,-119.00000000000244,-97.9999999999981,-15.999999999993797,-52.99999999999194,-90.0000000000012,-115.99999999999389,102.99999999999754,-34.000000000000696,-263.00000000000523,-119.99999999998678,-87.99999999999919,-149.0000000000009,52.99999999999194,-150.00000000000568,,-1139.9999999999905
2019.09.09,-129.9999999999968,-144.99999999999514,5.999999999994898,-39.999999999995595,-100.99999999999554,-139.00000000000023,151.00000000000114,-65.00000000000395,-288.0000000000109,-171.99999999999437,-104.00000000001519,-119.99999999999034,52.99999999999194,-163.00000000000205,,-1257.0000000000123
2019.09.09,-159.9999999999935,-169.99999999998127,9.999999999998899,-55.99999999998939,-95.00000000000064,-125.99999999999278,156.99999999999602,-99.00000000000463,-365.0000000000091,-188.9999999999947,-188.00000000001037,-147.99999999999613,56.99999999999594,-136.00000000000279,,-1507.9999999999845
2019.09.09,-173.00000000000094,-164.99999999999292,17.000000000000348,-70.99999999999883,-103.99999999999298,-151.9999999999966,168.99999999999693,-90.99999999999665,-362.0000000000232,-177.99999999998929,-153.00000000000313,-167.99999999999216,79.00000000000685,-161.00000000000003,,-1512.9999999999827
2019.09.09,-197.00000000000273,-132.99999999998312,14.000000000002899,-79.00000000000685,-83.9999999999952,-178.99999999999582,199.00000000000472,-92.00000000000318,-368.0000000000234,-119.99999999998678,-185.00000000001293,-191.99999999999307,8.999999999992347,-187.9999999999993,,-1595.0000000000025
2019.09.09,-265.99999999999955,-98.99999999998244,25.999999999992696,-41.000000000002146,-30.999999999992145,-156.00000000000057,222.99999999999542,-87.00000000000374,-347.0000000000084,-137.9999999999937,-246.99999999999721,-198.99999999999807,-21.00000000000435,-192.00000000000327,,-1574.9999999999975
2019.09.09,-261.99999999999557,-110.99999999999443,35.00000000000725,-82.00000000000429,-57.99999999999139,-225.99999999999287,255.00000000000523,-85.00000000000173,-318.00000000001205,-113.99999999999189,-229.00000000001253,-143.00000000000068,18.999999999991246,-250.00000000000577,,-1568.9999999999993
2019.09.09,-253.99999999999866,-192.99999999999872,-29.999999999996696,-89.00000000000574,-117.00000000000044,-237.99999999999378,214.00000000000307,-90.99999999999665,-356.9999999999993,-218.99999999999142,-334.9999999999964,-167.0000000000016,-90.99999999999665,-256.99999999999613,,-2223.999999999969
