names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,['USDCHF'],100.0,-0.988,S
USDCAD,30,"['EURUSD', 'CHFJPY', 'EURNZD']",80.0,0.6927979797979801,B
AUDUSD,10,"['NZDCHF', 'USDCAD', 'EURNZD', 'EURAUD']",80.0,-0.943952380952381,S
EURCHF,10,"['EURGBP', 'GBPJPY']",100.0,1.0,B
AUDCHF,10,['EURUSD'],80.0,1.0,B
GBPJPY,10,"['EURGBP', 'GBPJPY']",80.0,1.0,B
GBPCAD,10,"['AUDCHF', 'EURCAD']",80.0,0.07698412698412699,B
EURAUD,10,['EURUSD'],80.0,-1.0,S
AUDJPY,10,['EURUSD'],80.0,0.9840000000000001,B
NZDJPY,10,['EURUSD'],80.0,0.96,B
AUDCAD,10,['EURUSD'],80.0,0.9840000000000001,B
NZDCAD,10,"['NZDCHF', 'USDCAD', 'EURNZD', 'EURAUD']",80.0,-0.8866666666666667,S
AUDNZD,50,"['USDCAD', 'EURUSD']",80.0,0.52367007992008,B
