date,AUDJPY,empty,sum
2016.05.02,-16.999999999995907,,-16.999999999995907
2016.05.02,48.00000000000182,,48.00000000000182
2016.05.02,204.9999999999983,,204.9999999999983
2016.05.02,409.000000000006,,409.000000000006
2016.05.02,302.99999999999727,,302.99999999999727
2016.05.02,243.99999999999977,,243.99999999999977
2016.05.02,270.00000000001023,,270.00000000001023
2016.05.02,135.00000000000512,,135.00000000000512
2016.05.02,326.9999999999982,,326.9999999999982
2016.05.02,304.00000000000205,,304.00000000000205
2016.05.02,304.00000000000205,,304.00000000000205
2016.05.02,298.0000000000018,,298.0000000000018
2016.05.02,322.00000000000273,,322.00000000000273
2016.05.02,326.9999999999982,,326.9999999999982
2016.05.02,302.0000000000067,,302.0000000000067
2016.05.02,264.00000000001,,264.00000000001
2016.05.02,197.00000000000273,,197.00000000000273
2016.05.02,227.00000000000387,,227.00000000000387
2016.05.02,308.9999999999975,,308.9999999999975
2016.05.02,302.0000000000067,,302.0000000000067
2016.05.02,307.00000000000216,,307.00000000000216
2016.05.02,269.00000000000546,,269.00000000000546
2016.05.02,264.00000000001,,264.00000000001
2016.05.02,311.00000000000705,,311.00000000000705
2016.05.02,311.9999999999976,,311.9999999999976
2016.05.02,378.0000000000001,,378.0000000000001
2016.05.02,406.0000000000059,,406.0000000000059
2016.05.02,573.0000000000075,,573.0000000000075
2016.05.02,674.0000000000066,,674.0000000000066
2016.05.02,713.9999999999986,,713.9999999999986
2016.05.02,725.9999999999991,,725.9999999999991
2016.05.02,682.0000000000022,,682.0000000000022
2016.05.02,677.9999999999973,,677.9999999999973
2016.05.02,542.0000000000016,,542.0000000000016
2016.05.02,502.00000000000955,,502.00000000000955
2016.05.02,481.9999999999993,,481.9999999999993
2016.05.02,483.0000000000041,,483.0000000000041
2016.05.02,615.9999999999997,,615.9999999999997
2016.05.02,635.0000000000051,,635.0000000000051
2016.05.02,731.9999999999993,,731.9999999999993
2016.05.02,764.00000000001,,764.00000000001
2016.05.02,850.0000000000085,,850.0000000000085
2016.05.02,811.9999999999976,,811.9999999999976
2016.05.02,801.0000000000019,,801.0000000000019
2016.05.02,790.0000000000063,,790.0000000000063
2016.05.02,849.0000000000038,,849.0000000000038
2016.05.02,871.0000000000093,,871.0000000000093
2016.05.02,871.0000000000093,,871.0000000000093
2016.05.03,841.9999999999987,,841.9999999999987
2016.05.03,826.9999999999982,,826.9999999999982
2016.05.03,853.9999999999992,,853.9999999999992
2016.05.03,853.9999999999992,,853.9999999999992
2016.05.03,870.0000000000045,,870.0000000000045
2016.05.03,841.0000000000082,,841.0000000000082
