date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDCAD,AUDNZD,empty,sum
2016.10.03,-241.00000000000233,-143.00000000000423,-117.00000000001154,-202.9999999999976,-116.00000000000499,-25.999999999992696,-303.0000000000115,-137.9999999999937,-183.99999999999528,-63.99999999999739,-426.9999999999996,-376.9999999999829,-304.00000000000205,-425.99999999999307,-348.9999999999993,-153.00000000000313,-29.999999999986926,-90.99999999999665,-235.99999999999176,,-3927.999999999967
2016.10.03,-195.00000000000074,-263.99999999999756,-139.00000000000023,-178.00000000001148,-75.00000000000284,-27.999999999983594,-266.00000000000534,-78.00000000000028,-82.99999999999974,-51.99999999999649,-551.9999999999969,-522.0000000000002,-266.9999999999959,-363.9999999999866,-313.99999999999204,-75.00000000000284,52.00000000000671,-0.9999999999843467,-132.99999999998312,,-3533.9999999999336
2016.10.03,-133.00000000000534,-262.00000000000665,-177.00000000000495,-190.00000000000128,-86.0000000000083,92.00000000000318,-294.00000000001114,-92.99999999999864,21.999999999999797,-41.9999999999976,-611.000000000006,-615.9999999999943,-408.00000000000125,-512.9999999999857,-412.9999999999967,-90.00000000001229,80.0000000000125,83.9999999999952,-142.99999999998204,,-3793.000000000002
2016.10.03,45.99999999999049,-258.0000000000027,-127.00000000001043,-217.0000000000005,-79.00000000000685,236.99999999999832,-280.00000000000114,-107.99999999999699,67.00000000000594,-54.999999999993946,-604.0000000000045,-614.9999999999877,-400.0000000000057,-448.9999999999883,-395.99999999999636,-113.00000000000753,159.00000000000603,104.99999999999955,-112.000000000001,,-3199.000000000003
2016.10.03,17.000000000000348,-169.00000000001913,-107.99999999999699,-300.00000000001137,-21.999999999999797,197.00000000000273,-305.0000000000068,-40.99999999999105,-3.999999999992898,7.0000000000014495,-575.9999999999987,-546.000000000002,-393.0000000000007,-505.99999999998425,-451.0000000000014,-184.00000000000637,98.00000000001319,103.00000000000864,-95.999999999985,,-3278.99999999997
2016.10.03,21.999999999999797,-163.00000000000205,-95.00000000000064,-327.00000000001063,14.999999999998348,195.00000000001182,-373.00000000000466,11.00000000000545,-64.99999999999284,-4.999999999999449,-632.0000000000103,-767.9999999999909,-463.99999999999864,-510.99999999999477,-570.0000000000039,-350.00000000000585,109.99999999999943,1.0000000000065512,-51.000000000001044,,-4019.9999999999945
2016.10.03,67.9999999999903,-179.00000000001802,-66.00000000001049,-278.00000000000045,3.999999999992898,218.00000000000708,-365.99999999999966,-31.999999999998696,-141.00000000000225,-39.00000000000014,-590.0000000000016,-824.0000000000025,-474.00000000000375,-452.99999999999227,-587.9999999999885,-513.0000000000078,203.00000000000296,-58.99999999998684,-29.999999999996696,,-4139.000000000017
2016.10.03,60.99999999999994,-175.00000000001404,-48.000000000003595,-109.00000000000354,-53.999999999998494,212.99999999999653,-245.00000000000455,-91.99999999999208,-91.99999999999208,-34.99999999999615,-323.0000000000066,-648.9999999999885,-319.9999999999932,-236.99999999999832,-445.0000000000065,-394.00000000000546,151.00000000001046,-78.99999999998464,70.99999999999883,,-2800.999999999982
2016.10.03,64.99999999999284,-163.00000000000205,-48.000000000003595,-160.00000000000458,-1.0000000000065512,211.00000000000563,-135.00000000000512,-52.99999999999194,-54.999999999993946,-36.999999999998145,-408.9999999999927,-670.9999999999993,-200.00000000000284,-278.9999999999848,-472.9999999999901,-331.999999999999,46.00000000000648,-48.99999999998794,38.0000000000047,,-2704.999999999953
2016.10.03,40.99999999999105,-189.00000000001694,-104.99999999999955,-164.00000000000858,-21.00000000000435,207.00000000000162,-397.00000000000557,-46.999999999997044,-112.99999999999643,-60.99999999999994,-482.00000000000466,-753.0000000000036,-513.9999999999958,-312.9999999999855,-466.9999999999952,-428.9999999999905,94.0000000000083,-66.99999999999484,69.00000000000794,,-3710.9999999999905
