names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDJPY,10,['AUDCAD'],80.0,-0.986,B
USDCAD,10,"['NZDUSD', 'EURNZD', 'EURGBP', 'NZDCHF', 'GBPCHF', 'GBPAUD', 'GBPUSD']",80.0,-0.26,B
AUDUSD,10,"['NZDUSD', 'EURNZD', 'EURGBP', 'NZDCHF', 'GBPCHF', 'GBPAUD', 'GBPUSD']",80.0,0.18,S
NZDUSD,10,['AUDJPY'],80.0,0.32711904761904764,S
EURCHF,10,['AUDCHF'],80.0,-1.0,B
CHFJPY,10,['AUDCAD'],80.0,-0.9560000000000001,B
CADCHF,10,"['NZDCAD', 'EURNZD']",80.0,0.84,S
AUDCHF,10,"['AUDNZD', 'NZDJPY', 'NZDUSD', 'GBPJPY', 'GBPCAD', 'NZDCAD', 'GBPAUD', 'GBPCHF', 'NZDCHF', 'GBPUSD']",80.0,0.44,S
NZDCHF,10,['NZDUSD'],80.0,0.24590476190476182,S
EURGBP,30,"['USDJPY', 'AUDJPY']",80.0,-0.42118305189822247,B
GBPCAD,10,['EURGBP'],80.0,1.0,S
EURJPY,15,"['NZDCHF', 'GBPCHF']",100.0,0.0800634920634921,S
EURNZD,15,['EURNZD'],80.0,-1.0,B
CADJPY,10,['AUDCAD'],80.0,-0.91,B
AUDJPY,10,['AUDCAD'],80.0,-0.914,B
AUDCAD,30,"['CHFJPY', 'GBPCHF', 'EURCHF']",80.0,-0.94,B
NZDCAD,50,"['AUDNZD', 'USDCHF', 'GBPCHF', 'AUDCAD', 'EURCHF']",80.0,0.19700000000000004,S
