date,AUDUSD,empty,sum
2018.10.22,86.0000000000083,,86.0000000000083
2018.10.22,93.00000000000975,,93.00000000000975
2018.10.22,65.99999999999939,,65.99999999999939
2018.10.22,-7.9999999999968985,,-7.9999999999968985
2018.10.22,4.999999999999449,,4.999999999999449
2018.10.22,-1.999999999990898,,-1.999999999990898
2018.10.22,-197.99999999999818,,-197.99999999999818
2018.10.22,-190.99999999999673,,-190.99999999999673
2018.10.22,-174.99999999999181,,-174.99999999999181
2018.10.22,-108.99999999999244,,-108.99999999999244
2018.10.22,-75.9999999999983,,-75.9999999999983
2018.10.22,-41.9999999999976,,-41.9999999999976
2018.10.22,-51.000000000001044,,-51.000000000001044
2018.10.22,26.999999999999247,,26.999999999999247
2018.10.22,-41.9999999999976,,-41.9999999999976
2018.10.22,-78.99999999999574,,-78.99999999999574
2018.10.22,-39.00000000000014,,-39.00000000000014
2018.10.22,-56.99999999999594,,-56.99999999999594
2018.10.22,92.00000000000318,,92.00000000000318
2018.10.22,65.00000000000395,,65.00000000000395
2018.10.22,87.00000000000374,,87.00000000000374
2018.10.22,-34.000000000000696,,-34.000000000000696
2018.10.22,-82.99999999999974,,-82.99999999999974
2018.10.22,-56.0000000000005,,-56.0000000000005
2018.10.22,-35.999999999991594,,-35.999999999991594
2018.10.22,-127.99999999999478,,-127.99999999999478
2018.10.22,-65.99999999999939,,-65.99999999999939
2018.10.22,-125.99999999999278,,-125.99999999999278
2018.10.22,-139.00000000000023,,-139.00000000000023
2018.10.22,-87.99999999999919,,-87.99999999999919
2018.10.22,-90.99999999999665,,-90.99999999999665
2018.10.22,-114.99999999999844,,-114.99999999999844
2018.10.22,-121.99999999999989,,-121.99999999999989
2018.10.22,-143.9999999999997,,-143.9999999999997
2018.10.22,-196.99999999999162,,-196.99999999999162
2018.10.22,-234.00000000000088,,-234.00000000000088
2018.10.22,-284.9999999999908,,-284.9999999999908
2018.10.22,-283.99999999999534,,-283.99999999999534
2018.10.22,-334.9999999999964,,-334.9999999999964
2018.10.22,-302.9999999999977,,-302.9999999999977
2018.10.22,-295.0000000000008,,-295.0000000000008
2018.10.22,-287.9999999999994,,-287.9999999999994
2018.10.22,-313.99999999999204,,-313.99999999999204
2018.10.22,-306.9999999999906,,-306.9999999999906
2018.10.22,-278.9999999999959,,-278.9999999999959
2018.10.22,-303.9999999999932,,-303.9999999999932
2018.10.22,-287.9999999999994,,-287.9999999999994
2018.10.22,-324.9999999999975,,-324.9999999999975
2018.10.23,-317.9999999999961,,-317.9999999999961
2018.10.23,-329.999999999997,,-329.999999999997
2018.10.23,-343.9999999999999,,-343.9999999999999
2018.10.23,-354.9999999999942,,-354.9999999999942
2018.10.23,-352.9999999999922,,-352.9999999999922
2018.10.23,-413.99999999999216,,-413.99999999999216
2018.10.23,-467.9999999999906,,-467.9999999999906
2018.10.23,-463.9999999999977,,-463.9999999999977
2018.10.23,-414.9999999999987,,-414.9999999999987
2018.10.23,-437.999999999994,,-437.999999999994
2018.10.23,-452.99999999999227,,-452.99999999999227
2018.10.23,-420.9999999999936,,-420.9999999999936
2018.10.23,-470.9999999999992,,-470.9999999999992
2018.10.23,-481.9999999999935,,-481.9999999999935
2018.10.23,-514.9999999999987,,-514.9999999999987
2018.10.23,-519.9999999999983,,-519.9999999999983
2018.10.23,-481.9999999999935,,-481.9999999999935
2018.10.23,-490.999999999997,,-490.999999999997
2018.10.23,-530.9999999999926,,-530.9999999999926
2018.10.23,-422.9999999999956,,-422.9999999999956
2018.10.23,-361.0000000000002,,-361.0000000000002
2018.10.23,-282.99999999999994,,-282.99999999999994
2018.10.23,-318.99999999999153,,-318.99999999999153
2018.10.23,-344.99999999999534,,-344.99999999999534
2018.10.23,-304.9999999999997,,-304.9999999999997
2018.10.23,-282.99999999999994,,-282.99999999999994
2018.10.23,-293.99999999999426,,-293.99999999999426
2018.10.23,-383.99999999999545,,-383.99999999999545
2018.10.23,-443.99999999999994,,-443.99999999999994
2018.10.23,-481.9999999999935,,-481.9999999999935
2018.10.23,-469.99999999999267,,-469.99999999999267
2018.10.23,-484.999999999991,,-484.999999999991
2018.10.23,-448.9999999999994,,-448.9999999999994
2018.10.23,-445.99999999999085,,-445.99999999999085
2018.10.23,-520.9999999999936,,-520.9999999999936
2018.10.23,-563.9999999999978,,-563.9999999999978
2018.10.23,-422.00000000000017,,-422.00000000000017
2018.10.23,-408.9999999999927,,-408.9999999999927
2018.10.23,-357.99999999999164,,-357.99999999999164
2018.10.23,-327.99999999999494,,-327.99999999999494
2018.10.23,-279.99999999999136,,-279.99999999999136
2018.10.23,-340.9999999999913,,-340.9999999999913
2018.10.23,-278.9999999999959,,-278.9999999999959
2018.10.23,-286.99999999999284,,-286.99999999999284
2018.10.23,-256.0000000000007,,-256.0000000000007
2018.10.23,-244.99999999999523,,-244.99999999999523
2018.10.23,-251.00000000000122,,-251.00000000000122
2018.10.23,-285.9999999999974,,-285.9999999999974
2018.10.24,-291.99999999999227,,-291.99999999999227
2018.10.24,-287.9999999999994,,-287.9999999999994
2018.10.24,-318.99999999999153,,-318.99999999999153
2018.10.24,-324.9999999999975,,-324.9999999999975
2018.10.24,-267.99999999999045,,-267.99999999999045
2018.10.24,-215.99999999999397,,-215.99999999999397
2018.10.24,-268.99999999999704,,-268.99999999999704
2018.10.24,-209.9999999999991,,-209.9999999999991
2018.10.24,-268.99999999999704,,-268.99999999999704
2018.10.24,-234.00000000000088,,-234.00000000000088
2018.10.24,-209.9999999999991,,-209.9999999999991
2018.10.24,-214.99999999999852,,-214.99999999999852
2018.10.24,-100.00000000000009,,-100.00000000000009
2018.10.24,-98.99999999999353,,-98.99999999999353
2018.10.24,-126.99999999999933,,-126.99999999999933
2018.10.24,-104.99999999999955,,-104.99999999999955
2018.10.24,-148.99999999999915,,-148.99999999999915
2018.10.24,-120.99999999999334,,-120.99999999999334
2018.10.24,-143.9999999999997,,-143.9999999999997
2018.10.24,-147.99999999999258,,-147.99999999999258
2018.10.24,-165.9999999999995,,-165.9999999999995
2018.10.24,-248.99999999999923,,-248.99999999999923
2018.10.24,-314.99999999999864,,-314.99999999999864
2018.10.24,-313.99999999999204,,-313.99999999999204
2018.10.24,-251.99999999999667,,-251.99999999999667
2018.10.24,-225.99999999999287,,-225.99999999999287
2018.10.24,-254.99999999999412,,-254.99999999999412
2018.10.24,-198.99999999999363,,-198.99999999999363
2018.10.24,-195.00000000000074,,-195.00000000000074
2018.10.24,-181.9999999999933,,-181.9999999999933
2018.10.24,-280.9999999999979,,-280.9999999999979
2018.10.24,-239.0000000000003,,-239.0000000000003
2018.10.24,-283.99999999999534,,-283.99999999999534
2018.10.24,-385.99999999999744,,-385.99999999999744
2018.10.24,-327.99999999999494,,-327.99999999999494
2018.10.24,-369.99999999999255,,-369.99999999999255
2018.10.24,-452.99999999999227,,-452.99999999999227
2018.10.24,-412.9999999999967,,-412.9999999999967
2018.10.24,-397.99999999999835,,-397.99999999999835
