date,AUDUSD,empty,sum
2018.10.22,0.0,,0.0
2018.10.22,74.00000000000739,,74.00000000000739
2018.10.22,65.00000000000395,,65.00000000000395
2018.10.22,-7.9999999999968985,,-7.9999999999968985
2018.10.22,-9.999999999998899,,-9.999999999998899
2018.10.22,-23.999999999990695,,-23.999999999990695
2018.10.22,-204.99999999999963,,-204.99999999999963
2018.10.22,-257.9999999999916,,-257.9999999999916
2018.10.22,-231.99999999999886,,-231.99999999999886
2018.10.22,-174.99999999999181,,-174.99999999999181
2018.10.22,-108.99999999999244,,-108.99999999999244
2018.10.22,-78.99999999999574,,-78.99999999999574
2018.10.22,-56.99999999999594,,-56.99999999999594
2018.10.22,-51.99999999999649,,-51.99999999999649
2018.10.22,-41.9999999999976,,-41.9999999999976
2018.10.22,-93.99999999999409,,-93.99999999999409
2018.10.22,-80.99999999999774,,-80.99999999999774
2018.10.22,-85.99999999999719,,-85.99999999999719
2018.10.22,-69.9999999999923,,-69.9999999999923
2018.10.22,50.0000000000056,,50.0000000000056
2018.10.22,21.00000000000435,,21.00000000000435
2018.10.22,-39.00000000000014,,-39.00000000000014
2018.10.22,-88.99999999999464,,-88.99999999999464
2018.10.22,-95.00000000000064,,-95.00000000000064
2018.10.22,-67.9999999999903,,-67.9999999999903
2018.10.22,-137.9999999999937,,-137.9999999999937
2018.10.22,-139.00000000000023,,-139.00000000000023
2018.10.22,-125.99999999999278,,-125.99999999999278
2018.10.22,-139.99999999999568,,-139.99999999999568
2018.10.22,-145.9999999999906,,-145.9999999999906
2018.10.22,-139.00000000000023,,-139.00000000000023
2018.10.22,-114.99999999999844,,-114.99999999999844
2018.10.22,-166.99999999999494,,-166.99999999999494
2018.10.22,-180.99999999999784,,-180.99999999999784
2018.10.22,-204.99999999999963,,-204.99999999999963
2018.10.22,-268.99999999999704,,-268.99999999999704
2018.10.22,-293.99999999999426,,-293.99999999999426
2018.10.22,-308.9999999999926,,-308.9999999999926
2018.10.22,-373.99999999999653,,-373.99999999999653
2018.10.22,-345.99999999999073,,-345.99999999999073
2018.10.22,-323.99999999999096,,-323.99999999999096
2018.10.22,-304.9999999999997,,-304.9999999999997
