date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,NZDCAD,empty,sum
2019.07.22,-49.99999999999449,-295.99999999998516,-6.000000000000227,-13.999999999980695,-21.00000000000435,-337.99999999999386,-113.99999999999189,-171.99999999999704,-45.000000000006146,-32.999999999994145,-119.00000000000244,-304.00000000000205,-502.00000000000244,-436.9999999999985,-42.00000000000159,-103.00000000000864,-21.99999999999136,-54.999999999993946,,-2672.9999999999495
2019.07.22,-40.99999999999105,-188.9999999999947,-13.999999999995794,-22.999999999995246,4.000000000004,-263.99999999999756,-68.00000000000139,-118.99999999999977,-39.00000000000014,-44.99999999999504,-65.99999999999939,-203.9999999999793,-456.00000000001194,-340.9999999999913,-55.00000000000682,-106.00000000000608,-42.00000000000159,-12.000000000000899,,-2079.999999999964
2019.07.22,27.00000000001035,-193.99999999998306,-25.99999999999625,14.000000000002899,7.9999999999968985,-311.99999999997897,-46.999999999997044,-53.999999999987836,-9.00000000000345,-13.999999999991797,-58.000000000002494,-231.99999999999932,-421.0000000000047,-313.00000000000773,-79.00000000000773,-207.00000000000162,-90.00000000000341,-70.99999999999883,,-2077.999999999954
2019.07.22,48.000000000003595,-157.99999999999147,-51.9999999999925,31.000000000003247,-4.999999999999449,-184.99999999999073,11.00000000000545,99.00000000000375,-21.999999999999797,39.00000000000014,-34.000000000000696,-280.00000000000114,-370.00000000000364,-367.99999999999056,-121.00000000000932,-282.0000000000045,-114.99999999999488,-93.99999999999409,,-1857.9999999999568
2019.07.22,-3.999999999992898,-197.99999999998707,-49.99999999999716,10.000000000021103,-4.999999999999449,-269.9999999999925,-28.999999999990145,70.00000000000739,-48.000000000003595,-0.999999999995449,-59.000000000009045,-307.9999999999927,-426.00000000001523,-404.9999999999887,-121.99999999999989,-302.0000000000023,-106.99999999999932,-100.00000000000009,,-2353.9999999999372
2019.07.22,-18.999999999991246,-239.99999999999577,-60.99999999999284,17.000000000000348,1.0000000000065512,-323.99999999999096,-69.00000000000794,69.00000000000261,-80.00000000000229,-17.999999999995797,-79.00000000000685,-346.99999999998,-469.0000000000083,-442.9999999999934,-132.000000000005,-235.00000000000742,-120.99999999999511,-78.99999999999574,,-2628.9999999999586
2019.07.22,-32.999999999994145,-236.99999999999832,-66.99999999999307,-10.999999999983245,1.0000000000065512,-336.9999999999873,-75.99999999998718,-15.999999999991132,-80.00000000000229,-52.99999999999194,-78.00000000000028,-349.9999999999943,-514.0000000000144,-409.99999999999926,-136.0000000000099,-228.99999999999034,-125.0,-68.99999999999685,,-2819.9999999999272
2019.07.22,-73.99999999999629,-226.99999999999943,-194.99999999999318,-73.99999999999629,-17.999999999995797,-348.9999999999993,-79.99999999999119,44.00000000001114,-56.0000000000005,-41.9999999999976,-81.00000000000884,-453.9999999999793,-543.0000000000045,-397.0000000000029,-219.0000000000083,-150.00000000000568,-155.9999999999917,4.000000000004,,-3066.999999999955
2019.07.22,-121.99999999999989,-160.99999999998892,-240.99999999999966,-88.99999999998354,-27.999999999994696,-384.9999999999909,-119.99999999998678,129.0000000000049,-113.00000000000753,-90.99999999999665,-78.00000000000028,-484.9999999999852,-480.99999999999807,-390.0000000000015,-252.00000000000955,-136.00000000000279,-198.99999999999807,7.0000000000014495,,-3234.9999999999377
2019.07.22,-125.99999999999278,-160.99999999998892,-301.9999999999925,-63.99999999999739,-43.00000000000415,-359.99999999998255,-112.000000000001,146.0000000000008,-96.00000000000719,-73.00000000000084,-74.00000000000739,-530.0000000000011,-483.0000000000112,-408.00000000000836,-313.0000000000024,-68.00000000000139,-234.99999999999943,34.000000000000696,,-3267.9999999999964
2019.07.22,-82.99999999999974,-166.99999999998383,-231.99999999999932,-43.999999999999595,-17.000000000000348,-334.9999999999964,-100.99999999999554,145.00000000001023,-89.00000000000574,-71.99999999999429,-56.0000000000005,-492.999999999995,-462.0000000000068,-381.99999999999346,-279.0000000000106,-48.000000000003595,-209.99999999999375,46.00000000000159,,-2878.9999999999663
2019.07.22,-44.99999999999504,-170.00000000000347,-208.99999999998897,-47.99999999998139,-26.000000000003798,-303.9999999999932,-82.99999999998863,171.00000000000648,-53.00000000000304,-10.999999999994348,-43.00000000000415,-462.99999999999386,-463.0000000000134,-421.99999999998903,-268.0000000000007,-25.999999999992696,-182.00000000000216,79.00000000000685,,-2565.9999999999345
2019.07.22,-76.99999999999375,-160.99999999998892,-216.99999999999875,-42.999999999993044,-53.999999999998494,-327.99999999999494,-127.99999999999478,159.00000000000603,-80.00000000000229,-30.999999999992145,-31.000000000003247,-460.9999999999843,-469.0000000000083,-445.99999999999085,-299.0000000000066,35.00000000000725,-197.00000000000273,113.00000000000753,,-2714.9999999999322
2019.07.22,-83.9999999999952,-188.9999999999947,-211.9999999999891,-26.999999999999247,-19.00000000000235,-348.9999999999993,-139.00000000000023,126.00000000000477,-85.00000000000173,-44.99999999999504,-37.00000000000925,-462.99999999999386,-479.0000000000072,-380.9999999999869,-300.00000000001137,96.99999999999153,-188.99999999999295,155.00000000000514,,-2619.9999999999777
2019.07.22,-97.9999999999981,-160.99999999998892,-207.9999999999984,-23.999999999979593,-2.000000000002,-339.99999999998477,-153.00000000000313,123.00000000000466,-101.00000000000664,-64.99999999999284,-21.00000000000435,-441.99999999997885,-439.0000000000116,-351.99999999999676,-288.0000000000109,177.99999999998929,-189.99999999999773,189.00000000000583,,-2393.999999999955
2019.07.22,-106.99999999999044,-157.99999999999147,-215.99999999999397,-42.999999999993044,-26.000000000003798,-332.9999999999833,-151.9999999999966,124.00000000000944,-95.00000000000064,-56.0000000000005,-23.00000000000635,-462.99999999999386,-440.00000000001813,-374.999999999992,-308.00000000000693,156.00000000000057,-191.99999999999307,182.00000000000438,,-2524.99999999995
2019.07.22,-94.99999999998954,-148.99999999999915,-239.99999999999488,-35.999999999991594,-26.000000000003798,-335.9999999999808,-134.99999999999625,140.00000000000057,-97.00000000000264,-46.999999999997044,-21.999999999999797,-483.99999999998045,-421.0000000000047,-363.0000000000022,-323.0000000000075,148.99999999999915,-221.9999999999942,164.00000000000858,,-2542.9999999999363
2019.07.22,-98.99999999999353,-175.99999999999838,-232.99999999998988,-42.999999999993044,-41.000000000002146,-362.99999999998,-143.00000000000423,155.00000000000114,-108.00000000000809,-54.999999999993946,-33.000000000005244,-495.9999999999809,-472.00000000000574,-452.99999999999227,-314.00000000000716,96.99999999999153,-221.9999999999942,150.00000000000568,,-2848.999999999951
2019.07.22,-95.99999999999609,-136.99999999998712,-269.999999999996,-73.99999999999629,-105.99999999999498,-322.00000000000006,-137.9999999999937,159.00000000000603,-90.0000000000012,-7.9999999999968985,-11.00000000000545,-479.99999999998977,-439.0000000000116,-473.99999999999665,-338.0000000000081,-15.00000000000945,-234.99999999999943,87.00000000000374,,-2986.9999999999736
2019.07.22,-104.99999999999955,-207.99999999998596,-240.99999999999966,-63.99999999999739,-102.00000000000209,-302.9999999999866,-117.99999999999588,139.00000000001,-89.00000000000574,12.000000000000899,-33.000000000005244,-452.99999999997453,-470.9999999999992,-598.999999999994,-298.0000000000018,-22.999999999995246,-191.99999999999307,80.00000000000229,,-3067.999999999923
2019.07.22,-24.999999999997247,-215.99999999999397,-188.99999999999295,14.000000000002899,-85.00000000000173,-263.99999999999756,-66.99999999999484,155.00000000000114,-85.00000000000173,35.00000000000725,-28.000000000005798,-467.9999999999893,-451.0000000000014,-609.9999999999994,-293.00000000000637,-15.00000000000945,-212.99999999999386,53.999999999998494,,-2750.999999999976
