date,GBPUSD,USDJPY,empty,sum
2016.11.28,83.00000000001084,108.99999999999466,,192.0000000000055
2016.11.28,116.00000000000499,63.99999999999295,,179.99999999999795
2016.11.28,117.00000000001154,93.99999999999409,,211.00000000000563
2016.11.28,231.0000000000034,-145.00000000001023,,85.99999999999318
2016.11.28,273.9999999999965,-237.00000000000898,,36.999999999987494
2016.11.28,211.00000000000563,-477.00000000000387,,-265.99999999999824
2016.11.28,246.00000000001288,-781.0000000000059,,-534.9999999999931
2016.11.28,297.0000000000139,-1058.0000000000068,,-760.999999999993
2016.11.28,459.0000000000094,-1213.0000000000082,,-753.9999999999989
2016.11.28,704.0000000000157,-1135.000000000005,,-430.9999999999893
2016.11.28,616.0000000000165,-889.00000000001,,-272.9999999999935
2016.11.28,546.000000000002,-818.000000000012,,-272.00000000001
2016.11.28,572.0000000000169,-1029.0000000000105,,-456.9999999999935
2016.11.28,536.0000000000032,-957.0000000000078,,-421.00000000000466
2016.11.28,482.00000000000466,-1004.0000000000049,,-522.0000000000002
2016.11.28,436.00000000001415,-667.0000000000016,,-230.99999999998744
2016.11.28,480.99999999999807,-875.0,,-394.00000000000193
2016.11.28,426.00000000001523,-853.0000000000086,,-426.9999999999934
2016.11.28,395.99999999999636,-725.0000000000085,,-329.00000000001216
2016.11.28,408.00000000000836,-859.0000000000089,,-451.0000000000005
2016.11.28,528.0000000000174,-948.0000000000075,,-419.9999999999901
2016.11.28,389.0000000000171,-855.000000000004,,-465.99999999998687
2016.11.28,338.0000000000161,-736.0000000000042,,-397.9999999999881
2016.11.28,-157.99999999999147,-606.0000000000088,,-764.0000000000002
2016.11.28,-261.9999999999845,-440.00000000001194,,-701.9999999999964
2016.11.28,-201.99999999999108,-618.0000000000092,,-820.0000000000002
2016.11.28,-540.9999999999915,-528.0000000000058,,-1068.9999999999973
2016.11.28,-541.9999999999981,-496.9999999999999,,-1038.999999999998
2016.11.28,-645.999999999991,-346.00000000000364,,-991.9999999999947
2016.11.28,-629.9999999999973,-81.00000000000307,,-711.0000000000003
2016.11.28,-276.9999999999939,-210.00000000000796,,-487.0000000000019
2016.11.28,-469.99999999999267,-115.0000000000091,,-585.0000000000018
2016.11.28,-458.9999999999872,-190.00000000001194,,-648.9999999999991
2016.11.28,-444.9999999999843,-188.0000000000024,,-632.9999999999867
2016.11.28,-368.9999999999971,-479.0000000000134,,-848.0000000000105
2016.11.28,-436.9999999999985,-537.0000000000061,,-974.0000000000047
2016.11.28,-326.9999999999884,-634.0000000000003,,-960.9999999999887
2016.11.28,-466.9999999999952,-429.00000000000205,,-895.9999999999973
2016.11.28,-509.00000000000387,-433.00000000000693,,-942.0000000000108
