date,GBPUSD,USDJPY,empty,sum
2016.11.28,-242.99999999999324,-11.00000000000989,,-254.00000000000313
2016.11.28,-10.999999999983245,-36.000000000001364,,-46.99999999998461
2016.11.28,36.999999999998145,49.99999999999716,,86.99999999999531
2016.11.28,83.00000000001084,-215.0000000000034,,-131.99999999999255
2016.11.28,174.00000000000747,-335.00000000000796,,-161.00000000000048
2016.11.28,79.00000000000685,-581.0000000000031,,-501.99999999999625
2016.11.28,151.9999999999966,-850.0000000000085,,-698.0000000000119
2016.11.28,123.00000000000644,-1070.0000000000073,,-947.0000000000008
2016.11.28,296.0000000000074,-1251.0000000000048,,-954.9999999999974
2016.11.28,456.00000000001194,-1443.000000000012,,-987.0000000000001
2016.11.28,612.9999999999969,-1149.000000000001,,-536.000000000004
2016.11.28,538.0000000000163,-996.9999999999999,,-458.99999999998363
2016.11.28,480.99999999999807,-1030.0000000000011,,-549.0000000000031
2016.11.28,504.9999999999999,-1100.0000000000086,,-595.0000000000088
2016.11.28,465.0000000000043,-1010.0000000000051,,-545.0000000000008
2016.11.28,422.9999999999956,-1034.000000000006,,-611.0000000000102
2016.11.28,326.0000000000041,-959.0000000000032,,-632.9999999999991
2016.11.28,412.9999999999967,-933.0000000000069,,-520.0000000000102
2016.11.28,355.0000000000164,-855.000000000004,,-499.99999999998755
2016.11.28,304.00000000001535,-1036.0000000000014,,-731.999999999986
2016.11.28,343.00000000000443,-966.0000000000082,,-623.0000000000038
2016.11.28,367.0000000000062,-1059.0000000000118,,-692.0000000000057
2016.11.28,297.0000000000139,-868.0000000000092,,-570.9999999999952
2016.11.28,-252.99999999999213,-776.0000000000105,,-1029.0000000000025
2016.11.28,-368.9999999999971,-606.0000000000088,,-975.0000000000059
2016.11.28,-330.9999999999924,-749.0000000000094,,-1080.0000000000018
2016.11.28,-553.0000000000035,-728.0000000000086,,-1281.0000000000123
2016.11.28,-669.9999999999928,-596.0000000000036,,-1265.9999999999964
2016.11.28,-703.9999999999935,-504.0000000000049,,-1207.9999999999984
2016.11.28,-675.9999999999877,-361.0000000000042,,-1036.9999999999918
2016.11.28,-656.9999999999965,-262.00000000000045,,-918.9999999999969
2016.11.28,-495.99999999998533,-225.00000000000853,,-720.9999999999939
2016.11.28,-530.9999999999926,-252.00000000000955,,-783.0000000000022
2016.11.28,-523.9999999999911,-232.00000000001353,,-756.0000000000047
2016.11.28,-529.999999999986,-573.0000000000075,,-1102.9999999999936
2016.11.28,-689.9999999999907,-586.0000000000127,,-1276.0000000000034
2016.11.28,-439.99999999999596,-736.0000000000042,,-1176.0000000000002
2016.11.28,-531.9999999999991,-632.000000000005,,-1164.000000000004
2016.11.28,-573.9999999999857,-458.0000000000126,,-1031.9999999999982
2016.11.28,-536.0000000000032,-466.0000000000082,,-1002.0000000000114
2016.11.28,-489.99999999999045,-588.0000000000081,,-1077.9999999999986
2016.11.28,-444.9999999999843,-590.0000000000034,,-1034.9999999999877
2016.11.28,-390.0000000000015,-641.0000000000053,,-1031.0000000000068
2016.11.28,-453.99999999999886,-579.0000000000077,,-1033.0000000000066
2016.11.28,-500.9999999999959,-553.0000000000115,,-1054.0000000000073
2016.11.28,-499.9999999999893,-702.0000000000124,,-1202.0000000000018
2016.11.28,-483.99999999999557,-737.000000000009,,-1221.0000000000045
2016.11.28,-506.9999999999908,-928.0000000000115,,-1435.0000000000023
2016.11.29,-529.0000000000017,-984.9999999999994,,-1514.0000000000011
2016.11.29,-442.9999999999934,-983.0000000000041,,-1425.9999999999975
2016.11.29,-465.99999999998863,-1021.0000000000008,,-1486.9999999999895
2016.11.29,-524.9999999999977,-1182.0000000000023,,-1707.0
2016.11.29,-537.9999999999941,-1127.0000000000095,,-1665.0000000000036
2016.11.29,-578.9999999999961,-1048.0000000000018,,-1626.999999999998
2016.11.29,-580.0000000000027,-845.0000000000131,,-1425.000000000016
2016.11.29,-590.0000000000016,-910.0000000000108,,-1500.0000000000123
2016.11.29,-585.9999999999976,-867.0000000000044,,-1453.000000000002
2016.11.29,-679.9999999999917,-818.000000000012,,-1498.0000000000036
2016.11.29,-675.0000000000034,-772.0000000000056,,-1447.000000000009
2016.11.29,-666.9999999999953,-740.0000000000091,,-1407.0000000000045
2016.11.29,-631.9999999999882,-862.9999999999995,,-1494.9999999999877
2016.11.29,-611.9999999999903,-918.0000000000064,,-1529.9999999999968
2016.11.29,-608.9999999999928,-879.0000000000049,,-1487.9999999999977
2016.11.29,-600.0000000000006,-828.000000000003,,-1428.0000000000036
2016.11.29,-512.0000000000014,-865.0000000000091,,-1377.0000000000105
2016.11.29,-509.00000000000387,-800.0000000000114,,-1309.0000000000152
2016.11.29,-553.0000000000035,-720.0000000000131,,-1273.0000000000166
2016.11.29,-587.9999999999885,-556.0000000000116,,-1144.0
2016.11.29,-559.9999999999827,-649.0000000000009,,-1208.9999999999836
2016.11.29,-490.999999999997,-490.99999999999966,,-981.9999999999966
2016.11.29,-461.0000000000003,-214.00000000001285,,-675.0000000000132
2016.11.29,-270.99999999999903,-291.000000000011,,-562.00000000001
2016.11.29,-14.000000000002899,-334.0000000000032,,-348.0000000000061
2016.11.29,-26.999999999999247,-352.00000000000387,,-379.0000000000031
2016.11.29,104.00000000001519,-311.00000000000705,,-206.99999999999187
2016.11.29,79.00000000000685,-258.0000000000098,,-179.00000000000293
2016.11.29,129.00000000000134,-186.00000000000705,,-57.00000000000571
2016.11.29,100.99999999999554,66.99999999999307,,167.9999999999886
2016.11.29,53.999999999998494,81.99999999999363,,135.99999999999213
2016.11.29,9.000000000014552,262.999999999991,,272.00000000000557
2016.11.29,5.000000000010552,65.99999999998829,,70.99999999999883
2016.11.29,354.0000000000099,-7.000000000005002,,347.0000000000049
2016.11.29,337.0000000000095,-199.00000000001228,,137.99999999999721
2016.11.29,417.0000000000007,-154.00000000001057,,262.9999999999901
2016.11.29,345.0000000000175,29.999999999986926,,375.00000000000443
