date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPCAD,EURJPY,EURCAD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.10.28,-12.999999999996348,-209.9999999999991,-36.999999999998145,-29.999999999996696,-41.9999999999976,0.0,-72.99999999999329,-78.00000000000028,-12.999999999996348,-21.999999999999797,-236.99999999999832,-47.000000000011255,-2.999999999997449,-45.000000000006146,-68.99999999999685,-72.0000000000054,,-990.999999999993
2019.10.28,29.999999999996696,-207.00000000000162,-38.0000000000047,-28.000000000005798,-21.999999999999797,45.000000000006146,-70.99999999999795,-78.00000000000028,6.0000000000060005,-5.999999999994898,-238.0000000000049,-45.000000000001705,-11.999999999989797,-32.0000000000098,-49.99999999999449,-47.00000000001925,,-793.000000000016
2019.10.28,24.000000000001798,-187.00000000000384,-46.0000000000127,-5.999999999994898,-16.0000000000049,48.000000000003595,-73.99999999999807,-60.99999999999994,3.0000000000085514,-17.000000000000348,-243.99999999999977,-45.000000000001705,32.0000000000098,-32.0000000000098,-51.000000000001044,-60.000000000015596,,-732.0000000000189
2019.10.28,24.000000000001798,-177.00000000000495,-52.000000000007596,12.000000000012001,-14.999999999998348,45.000000000006146,-109.99999999999943,-48.000000000003595,-7.0000000000014495,-44.99999999999504,-255.00000000000523,-85.00000000000796,58.000000000002494,-59.000000000009045,-112.99999999999643,-74.0000000000185,,-901.0000000000252
2019.10.28,26.999999999999247,-154.0000000000097,-55.000000000005045,43.00000000001525,-9.00000000000345,55.000000000005045,-103.9999999999992,-38.0000000000047,-24.999999999997247,-78.00000000000028,-245.99999999999068,-86.00000000001273,97.00000000001374,-48.000000000003595,-112.000000000001,-69.00000000000794,,-802.0000000000023
2019.10.28,36.0000000000027,-120.99999999999334,-41.000000000002146,51.000000000001044,-11.00000000000545,52.99999999999194,-120.99999999999511,-38.0000000000047,-29.000000000001247,-83.9999999999952,-239.99999999999577,-125.0,104.00000000001519,-80.00000000000229,-102.99999999999754,-22.0000000000109,,-770.9999999999927
2019.10.28,56.99999999999594,-62.000000000006494,-32.999999999994145,75.00000000000284,-31.999999999998696,69.9999999999923,-109.99999999999943,-49.99999999999449,1.0000000000065512,-92.99999999999864,-194.0000000000053,-107.00000000001353,92.00000000000318,-95.00000000000064,-107.99999999999699,-50.0000000000167,,-639.0000000000242
2019.10.28,95.00000000000064,-79.00000000000685,-8.000000000008,80.99999999999774,14.000000000002899,86.99999999999264,-49.99999999999716,-68.99999999999685,3.0000000000085514,-79.99999999999119,-205.99999999999508,-68.00000000001205,87.99999999999919,-49.00000000001015,-95.00000000000064,-54.0000000000207,,-390.00000000003695
2019.10.28,107.99999999999699,-51.000000000001044,-4.000000000004,107.00000000001265,27.999999999994696,102.00000000000209,-30.9999999999917,-78.00000000000028,16.0000000000049,-98.99999999999353,-232.99999999999432,-67.00000000000728,107.99999999999699,-47.00000000000814,-75.00000000000284,-47.00000000001925,,-263.0000000000141
2019.10.28,151.9999999999966,-22.0000000000109,-4.000000000004,129.00000000000134,48.000000000003595,136.00000000000279,-9.999999999990905,-78.00000000000028,26.999999999999247,-102.99999999999754,-217.0000000000005,-78.00000000000296,114.99999999999844,-33.000000000005244,-76.99999999999375,-54.0000000000207,,-69.00000000002484
