date,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURJPY,EURAUD,EURNZD,AUDCAD,NZDCAD,empty,sum
2020.03.16,-976.9999999999834,-473.99999999999665,-1046.999999999998,-1349.0000000000002,-1113.9999999999927,-773.9999999999858,-226.99999999999943,-629.0000000000018,-1219.9999999999989,-1153.9999999999995,-2579.9999999999823,-1599.0000000000036,-3843.999999999981,-2695.0000000000027,-1280.9999999999989,-1353.9999999999995,,-22317.999999999927
2020.03.16,-495.99999999998533,-485.0000000000021,-1190.9999999999866,-924.0000000000026,-676.9999999999943,-392.9999999999989,-180.0000000000024,-614.9999999999989,-852.9999999999926,-724.0000000000024,-3034.9999999999877,-1759.0000000000005,-2642.9999999999955,-1855.0000000000066,-623.0000000000069,-712.0000000000015,,-17164.999999999964
2020.03.16,-177.99999999998929,-357.00000000000733,-1195.999999999997,-780.000000000003,-657.9999999999919,-267.99999999997937,-248.00000000000378,-587.0000000000042,-669.9999999999928,-619.0000000000028,-2688.0000000000236,-1724.9999999999943,-2317.9999999999977,-1749.0000000000005,-485.0000000000021,-558.9999999999984,,-15084.999999999987
2020.03.16,-217.99999999998488,-388.9999999999949,-1051.0000000000018,-712.9999999999969,-514.9999999999987,-192.99999999999872,-341.00000000001353,-643.0000000000047,-616.9999999999898,-534.0000000000011,-2340.0000000000086,-1418.9999999999968,-2015.9999999999957,-1520.9999999999945,-687.9999999999998,-557.0000000000075,,-13754.999999999987
2020.03.16,-600.9999999999849,-554.9999999999944,-1034.999999999986,-748.0000000000042,-545.9999999999909,-519.9999999999872,-268.0000000000016,-498.00000000000955,-630.9999999999927,-580.9999999999982,-2328.000000000019,-1465.999999999994,-2050.9999999999804,-1351.9999999999977,-661.0000000000005,-570.0000000000039,,-14410.999999999944
2020.03.16,-947.9999999999933,-724.9999999999978,-950.9999999999908,-922.0000000000006,-626.9999999999998,-470.9999999999992,-197.00000000000273,-318.00000000000716,-661.9999999999959,-580.9999999999982,-2279.0000000000086,-1129.9999999999955,-2244.0000000000014,-1408.0000000000093,-823.000000000007,-600.0000000000006,,-14886.000000000007
2020.03.16,-1262.9999999999918,-1039.9999999999966,-1058.9999999999877,-1461.9999999999966,-820.999999999994,-455.99999999998977,-188.00000000001037,-114.00000000000298,-1042.9999999999939,-661.0000000000005,-3467.9999999999823,-1293.9999999999968,-3321.9999999999804,-1431.9999999999889,-1522.0000000000011,-768.9999999999975,,-19913.999999999905
2020.03.16,-1166.9999999999848,-927.9999999999955,-1004.0000000000049,-1383.000000000001,-769.999999999993,-350.9999999999902,-182.99999999999983,-30.000000000007798,-917.9999999999966,-385.99999999999744,-3003.0,-1189.9999999999977,-3068.999999999988,-1202.9999999999984,-1400.0000000000011,-722.0000000000005,,-17706.999999999956
2020.03.16,-1181.999999999994,-926.999999999989,-1048.9999999999889,-1229.0000000000023,-693.9999999999947,-376.9999999999829,-185.00000000001293,-103.00000000000864,-773.9999999999969,-353.99999999999875,-2591.00000000001,-718.9999999999941,-2516.9999999999914,-948.9999999999999,-1163.000000000003,-563.0000000000024,,-15375.999999999969
2020.03.16,-984.9999999999915,-1000.0000000000009,-1212.9999999999975,-1047.9999999999934,-644.9999999999956,-257.99999999998045,-229.00000000001253,-243.99999999999977,-638.9999999999895,-343.00000000000443,-2235.9999999999936,-1149.9999999999914,-2099.999999999991,-947.9999999999933,-851.0000000000017,-346.0000000000019,,-14234.999999999938
2020.03.16,-983.9999999999849,-981.999999999994,-1307.999999999998,-1058.9999999999989,-678.9999999999962,-242.99999999999324,-243.00000000001543,-247.00000000000833,-663.999999999998,-384.00000000000654,-2299.0000000000064,-1212.0000000000032,-2160.999999999991,-1039.9999999999966,-716.0000000000056,-397.0000000000029,,-14618.0
2020.03.16,-747.9999999999931,-828.9999999999909,-1114.9999999999993,-885.0000000000025,-517.9999999999962,-126.99999999998823,-153.00000000000313,-195.00000000000074,-537.9999999999941,-278.00000000000045,-2051.9999999999873,-1066.9999999999932,-1863.999999999999,-709.0000000000041,-585.0000000000022,-252.0000000000078,,-11914.999999999962
2020.03.16,-766.9999999999843,-797.0000000000033,-1082.9999999999895,-758.0000000000031,-451.9999999999969,-200.00000000000017,-194.0000000000053,-239.0000000000003,-447.99999999999284,-221.00000000000452,-1705.9999999999852,-1078.000000000003,-1672.9999999999911,-583.0000000000002,-395.0000000000009,-165.9999999999995,,-10759.99999999996
2020.03.16,-832.9999999999949,-777.0000000000055,-1173.9999999999861,-741.9999999999982,-475.99999999999864,-234.99999999998522,-192.00000000001438,-299.00000000000483,-485.99999999999756,-226.99999999999943,-1520.0000000000102,-1078.000000000003,-1542.9999999999832,-682.0000000000048,-380.00000000000256,-182.99999999999983,,-10826.999999999987
2020.03.16,-811.9999999999905,-807.9999999999865,-1268.9999999999868,-854.9999999999947,-564.9999999999933,-261.0000000000001,-215.99999999999397,-336.00000000000296,-523.9999999999911,-365.99999999999966,-1922.999999999986,-1347.999999999999,-1934.9999999999977,-1011.9999999999907,-453.99999999999886,-236.00000000000287,,-12919.999999999915
2020.03.16,-790.9999999999861,-719.000000000003,-1366.999999999985,-863.9999999999981,-578.0000000000007,-270.99999999999903,-195.9999999999962,-391.000000000008,-588.9999999999951,-339.0000000000004,-1926.0000000000055,-1539.0000000000014,-1939.9999999999861,-1024.0000000000027,-385.000000000002,-197.99999999999818,,-13116.999999999967
