date,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURJPY,EURAUD,EURNZD,AUDCAD,NZDCAD,empty,sum
2020.03.16,-506.9999999999908,-320.9999999999935,-929.9999999999864,-703.9999999999935,-609.9999999999994,-267.99999999997937,-104.00000000001519,-416.00000000000523,-589.9999999999906,-604.0000000000045,-1730.0000000000093,-1581.0000000000032,-1868.9999999999873,-1309.0000000000045,-414.9999999999987,-523.0000000000068,,-12480.999999999969
2020.03.16,-92.99999999998754,-316.99999999998954,-1038.0000000000057,-754.9999999999945,-636.9999999999986,26.0000000000149,-133.00000000000534,-475.0000000000032,-638.9999999999895,-509.9999999999993,-2421.0000000000064,-1180.9999999999973,-2047.9999999999832,-1578.999999999997,-434.9999999999965,-458.9999999999983,,-12693.999999999936
2020.03.16,7.0000000000014495,-106.00000000000608,-997.0000000000034,-570.9999999999993,-404.99999999999983,-58.99999999998684,-147.00000000000824,-530.0000000000082,-549.9999999999949,-453.99999999999886,-2100.9999999999973,-1373.0000000000045,-1854.9999999999845,-1286.9999999999936,-211.00000000000563,-175.99999999999838,,-10814.999999999989
2020.03.16,-141.99999999999767,-346.9999999999862,-448.000000000004,-634.0000000000013,-435.9999999999919,-4.999999999988347,-161.00000000001114,-128.00000000000588,-513.9999999999923,-377.0000000000051,-2029.000000000014,-1027.9999999999916,-1713.9999999999934,-1002.9999999999983,-614.0000000000034,-524.9999999999977,,-10104.999999999984
2020.03.16,-580.999999999987,-282.9999999999888,-872.0000000000061,-705.0000000000001,-476.9999999999941,-174.99999999999181,102.00000000000209,-209.9999999999991,-459.99999999999375,-299.00000000000483,-1615.000000000011,-560.0000000000023,-2039.9999999999973,-1285.0000000000027,-451.9999999999969,-321.0000000000046,,-10232.999999999978
2020.03.16,-776.9999999999833,-710.999999999995,-800.0000000000007,-812.999999999997,-497.99999999999847,-168.99999999999693,-121.00000000001555,-63.00000000000195,-473.99999999999665,-235.00000000000742,-1643.0000000000166,-971.0000000000036,-1634.000000000002,-628.0000000000064,-648.0000000000041,-400.00000000000034,,-10585.000000000025
2020.03.16,-1074.9999999999816,-924.9999999999981,-862.9999999999916,-1207.0000000000025,-574.9999999999922,-289.9999999999903,-164.00000000000858,12.000000000000899,-763.9999999999981,-251.00000000000122,-2464.999999999984,-1161.0000000000014,-2462.999999999993,-493.99999999999443,-1165.000000000005,-458.00000000000284,,-14307.999999999944
2020.03.16,-1022.9999999999961,-872.0000000000061,-943.9999999999893,-1134.0000000000016,-618.9999999999918,-208.99999999999253,-121.99999999999989,-14.000000000002899,-667.9999999999908,-341.99999999999784,-2241.0000000000264,-677.9999999999973,-2288.0000000000014,-340.9999999999913,-1001.0000000000074,-477.0000000000052,,-12972.999999999998
2020.03.16,-828.9999999999909,-834.0000000000014,-992.9999999999994,-978.0000000000011,-553.999999999999,-134.99999999999625,-148.99999999999915,-98.0000000000092,-593.9999999999945,-240.00000000000688,-2112.000000000025,-637.0000000000005,-1952.9999999999825,-628.9999999999907,-765.0000000000045,-346.0000000000019,,-11846.000000000002
2020.03.16,-916.99999999999,-858.9999999999875,-1191.9999999999932,-1017.9999999999967,-640.9999999999916,-218.99999999999142,-205.99999999999508,-202.0000000000022,-622.9999999999958,-323.0000000000066,-2120.999999999995,-852.0000000000039,-2039.9999999999973,-913.9999999999926,-656.000000000001,-346.0000000000019,,-13128.999999999942
