date,GBPCHF,EURCHF,EURJPY,EURCAD,AUDCAD,NZDCAD,empty,sum
2018.10.15,-375.9999999999986,-2.999999999997449,-134.00000000001455,-173.00000000000094,-41.9999999999976,-66.99999999999484,,-795.000000000004
2018.10.15,-364.9999999999931,133.99999999998968,-186.00000000000705,-222.99999999999542,-36.999999999998145,-65.99999999999939,,-743.0000000000035
2018.10.15,-497.99999999999847,123.00000000000644,-221.00000000000364,-304.9999999999997,-70.99999999999883,-80.99999999999774,,-1052.999999999992
2018.10.15,-408.9999999999927,160.99999999998892,-189.00000000002137,-228.99999999999034,-19.999999999997797,-58.99999999999794,,-745.0000000000113
2018.10.15,-377.0000000000051,133.00000000000534,-257.000000000005,-238.99999999998923,-9.999999999998899,-71.99999999999429,,-821.9999999999872
2018.10.15,-334.9999999999964,120.99999999999334,-257.000000000005,-254.999999999983,-14.999999999998348,-78.99999999999574,,-819.9999999999852
2018.10.15,-426.9999999999996,126.0000000000039,-235.00000000001364,-336.9999999999873,-51.99999999999649,-146.99999999999713,,-1071.9999999999902
2018.10.15,-429.99999999999704,133.00000000000534,-123.99999999999523,-353.0000000000033,-34.99999999999615,-195.00000000000074,,-1003.999999999987
2018.10.15,-408.9999999999927,104.99999999999955,-108.00000000000409,-331.999999999999,2.999999999997449,-161.99999999999548,,-902.9999999999942
2018.10.15,-438.00000000000506,89.00000000000574,-169.00000000001114,-258.99999999998704,18.0000000000069,-136.99999999999824,,-895.9999999999889
2018.10.15,-419.9999999999982,127.99999999999478,-195.99999999999795,-197.99999999998707,-10.999999999994348,-114.99999999999844,,-811.9999999999811
2018.10.15,-394.00000000000546,99.99999999998899,-159.00000000002024,-187.00000000000384,-5.999999999994898,-97.9999999999981,,-744.0000000000335
2018.10.15,-344.99999999999534,69.00000000000794,-98.00000000001319,-190.00000000000128,-2.000000000002,-97.9999999999981,,-664.0000000000019
2018.10.15,-346.9999999999862,65.99999999998829,-37.00000000000614,-214.00000000000307,11.00000000000545,-82.99999999999974,,-604.0000000000014
2018.10.15,-370.00000000000364,68.00000000000139,-32.00000000001069,-193.99999999998306,6.0000000000060005,-102.99999999999754,,-624.9999999999875
2018.10.15,-346.9999999999862,51.000000000001044,-25.000000000005684,-231.0000000000034,-10.999999999994348,-113.99999999999189,,-676.9999999999806
2018.10.15,-339.99999999998477,51.000000000001044,-13.00000000000523,-287.9999999999994,-17.000000000000348,-113.99999999999189,,-720.9999999999807
2018.10.15,-469.99999999999267,59.99999999999339,18.000000000000682,-292.9999999999877,-14.000000000002899,-121.99999999999989,,-820.9999999999892
2018.10.15,-455.99999999998977,72.99999999998974,-33.00000000001546,-365.99999999999966,-87.99999999999919,-173.9999999999964,,-1044.0000000000107
