date,GBPUSD,EURUSD,USDJPY,GBPCHF,EURCHF,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,AUDCAD,NZDCAD,empty,sum
2020.10.19,0.0,-26.0000000000149,-16.999999999995907,0.0,-45.000000000006146,-70.0000000000034,-36.999999999998145,-4.000000000004,-26.00000000001046,-114.0000000000141,-134.99999999999625,0.0,-123.99999999999079,-53.999999999998494,-138.00000000000477,,-790.0000000000374
2020.10.19,-21.00000000000435,-39.999999999995595,-22.999999999996135,-7.0000000000014495,-60.000000000015596,-82.00000000000429,-0.999999999995449,18.999999999991246,25.000000000005684,-141.99999999999767,-90.99999999999665,-75.00000000000284,-246.99999999999721,-90.0000000000012,-164.00000000000858,,-999.0000000000202
2020.10.19,39.999999999995595,-51.000000000001044,-49.000000000006594,38.99999999998904,-56.000000000011596,-110.99999999999443,21.00000000000435,39.00000000000014,20.000000000010232,-29.00000000001235,-119.00000000000244,14.000000000002899,-131.99999999999878,-51.000000000001044,-135.00000000000733,,-560.0000000000334
2020.10.19,221.99999999998886,-72.0000000000054,-45.000000000001705,268.0000000000016,-38.0000000000047,-126.99999999999933,129.00000000000134,166.99999999999494,276.00000000001046,229.99999999999687,-158.99999999999804,235.00000000000742,5.999999999994898,75.9999999999983,-25.00000000000835,,1142.999999999977
2020.10.19,221.99999999998886,-83.00000000001084,-73.99999999999807,262.00000000000665,-42.0000000000087,-126.99999999999933,121.00000000000443,167.9999999999904,276.00000000001046,197.99999999998707,-157.00000000000713,236.00000000001398,-14.000000000002899,82.99999999999974,-35.00000000000725,,1033.9999999999673
2020.10.19,266.999999999995,-63.000000000013046,-99.00000000000375,299.00000000000483,-48.000000000003595,-143.9999999999997,178.00000000000037,193.99999999999417,366.00000000001387,232.99999999999432,-167.00000000000603,365.99999999999966,134.00000000001188,139.99999999999568,15.999999999993797,,1671.9999999999775
2020.10.19,299.99999999998914,-48.000000000003595,-106.99999999999932,333.0000000000055,-80.99999999999774,-163.00000000000205,200.00000000000017,201.99999999999108,395.00000000001023,261.9999999999845,-157.00000000000713,446.0000000000131,174.00000000000747,188.9999999999947,42.999999999993044,,1987.9999999999793
2020.10.19,360.9999999999891,-21.00000000000435,-129.99999999999545,390.9999999999858,-97.9999999999981,-173.9999999999964,239.99999999999577,221.99999999999997,444.9999999999932,275.9999999999874,-157.00000000000713,460.000000000016,232.99999999999432,195.00000000000074,71.99999999999429,,2314.999999999955
2020.10.19,383.0,-41.000000000002146,-48.00000000000182,422.9999999999956,-100.0000000000112,-185.99999999999727,245.0000000000063,245.99999999999068,433.9999999999975,280.9999999999979,-202.9999999999976,555.0000000000166,251.00000000000122,224.9999999999974,59.99999999999339,,2524.9999999999864
2020.10.19,344.99999999999534,-52.000000000007596,-52.00000000000671,390.0000000000015,-85.00000000000173,-173.9999999999964,236.00000000000287,233.99999999998977,389.99999999998636,251.00000000000122,-194.99999999998963,595.0000000000122,251.00000000000122,212.99999999999653,52.99999999999194,,2399.999999999977
