date,GBPUSD,EURUSD,USDCAD,NZDUSD,GBPCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURAUD,AUDJPY,NZDJPY,NZDCAD,empty,sum
2019.12.16,-59.99999999999339,-26.999999999999247,-5.000000000010552,-16.0000000000049,-87.00000000001484,-123.00000000000466,-35.00000000000725,-26.000000000003798,-1.999999999990898,-91.00000000000819,-80.99999999999774,-312.00000000000114,-239.99999999999577,-36.000000000001364,-31.999999999996476,-43.999999999999595,,-1217.0000000000296
2019.12.16,-89.99999999999008,-49.99999999999449,24.999999999986144,24.999999999997247,-130.0000000000079,-147.00000000000557,27.999999999994696,14.999999999998348,-4.999999999999449,-162.9999999999825,-228.00000000000597,-600.0000000000006,-436.9999999999985,1.9999999999953388,-2.0000000000095497,-8.000000000008,,-1765.0000000000307
2019.12.16,-146.99999999998602,-38.0000000000047,34.99999999998504,65.00000000000395,-230.00000000001907,-147.99999999999613,20.999999999993246,42.999999999993044,-53.999999999998494,-272.99999999999613,-324.9999999999975,-633.0000000000168,-431.0000000000036,4.0000000000048885,39.99999999999204,24.999999999997247,,-2046.000000000049
2019.12.16,-192.99999999999872,-17.000000000000348,89.99999999999008,53.999999999998494,-313.00000000000773,-174.99999999999716,-26.000000000003798,2.000000000002,-65.99999999999939,-382.000000000005,-407.0000000000018,-719.000000000003,-353.0000000000033,-46.999999999997044,-9.000000000000341,-4.000000000004,,-2565.000000000031
2019.12.16,-230.9999999999812,-7.0000000000014495,86.99999999999264,53.999999999998494,-367.0000000000062,-124.00000000000944,-1.0000000000065512,0.999999999995449,-95.00000000000064,-379.99999999999545,-439.0000000000116,-751.9999999999972,-367.0000000000062,7.999999999995566,22.999999999996135,-1.0000000000065512,,-2591.0000000000446
2019.12.16,-225.99999999999287,-15.00000000000945,34.99999999998504,5.999999999994898,-378.00000000001165,-115.0000000000091,-43.00000000000415,-47.00000000000814,-88.99999999999464,-376.9999999999811,-397.0000000000029,-700.0000000000117,-287.9999999999994,-37.9999999999967,-34.99999999999659,-31.000000000003247,,-2738.0000000000423
2019.12.16,-239.99999999999577,-17.000000000000348,34.99999999998504,17.999999999995797,-386.00000000001967,-102.00000000000387,-41.000000000002146,-36.0000000000027,-92.99999999999864,-371.9999999999857,-363.0000000000022,-660.0000000000161,-276.00000000000955,-21.000000000000796,-9.000000000000341,-11.00000000000545,,-2574.0000000000628
2019.12.16,-266.999999999995,-32.0000000000098,24.999999999986144,17.000000000000348,-400.00000000000034,-85.00000000000796,-26.999999999999247,-31.999999999998696,-91.99999999999208,-381.0000000000002,-367.0000000000062,-650.0000000000173,-279.99999999999136,-7.000000000005002,3.0000000000001137,-4.999999999999449,,-2580.000000000036
2019.12.16,-480.99999999999807,-62.000000000006494,7.0000000000014495,-19.00000000000235,-582.0000000000158,-125.0,-106.00000000000608,-75.9999999999983,-195.9999999999962,-620.9999999999809,-633.0000000000168,-897.0000000000144,-263.99999999999756,-88.99999999999864,-51.00000000000193,-36.999999999998145,,-4232.000000000031
2019.12.16,-548.9999999999995,-53.00000000001415,-5.000000000010552,-2.000000000002,-710.0000000000106,-97.99999999999898,-59.000000000009045,-63.99999999999739,-250.9999999999901,-705.9999999999889,-721.000000000016,-1053.9999999999993,-275.000000000003,-49.000000000006594,-40.99999999999682,-13.00000000000745,,-4650.000000000051
2019.12.16,-628.9999999999907,-49.99999999999449,-28.000000000005798,-4.999999999999449,-764.0000000000091,-94.99999999999886,-62.000000000006494,-58.99999999999794,-302.9999999999977,-790.9999999999968,-778.000000000012,-1122.0000000000007,-276.00000000000955,-39.00000000000148,-42.00000000000159,4.999999999999449,,-5038.000000000025
2019.12.16,-616.9999999999786,-66.00000000001049,-18.0000000000069,-6.0000000000060005,-740.0000000000073,-112.99999999999955,-42.0000000000087,-53.999999999998494,-287.9999999999994,-781.9999999999823,-783.0000000000003,-1124.0000000000139,-292.00000000000335,-37.9999999999967,-39.00000000000148,-1.0000000000065512,,-5003.00000000002
2019.12.16,-568.9999999999973,-66.99999999999484,-11.00000000000545,17.000000000000348,-699.0000000000052,-97.00000000000841,-28.000000000005798,-36.0000000000027,-245.99999999999068,-722.9999999999848,-727.0000000000109,-1221.0000000000055,-469.0000000000083,-16.999999999995907,-16.000000000005343,22.999999999995246,,-4886.000000000025
2019.12.16,-530.9999999999926,-69.00000000000794,0.0,56.0000000000005,-675.0000000000034,-87.0000000000033,26.999999999999247,-7.0000000000014495,-234.00000000000088,-692.0000000000073,-685.0000000000023,-1239.9999999999966,-459.99999999999375,49.99999999999716,24.999999999991473,64.99999999999284,,-4457.000000000028
2019.12.16,-578.9999999999961,-102.00000000000209,-36.999999999998145,41.000000000002146,-695.0000000000011,-109.00000000000887,30.999999999992145,-9.00000000000345,-228.99999999999034,-728.999999999985,-711.0000000000172,-1255.0000000000061,-499.000000000005,48.00000000000182,13.999999999995794,58.99999999999794,,-4761.000000000025
