date,USDCHF,AUDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,EURJPY,EURCAD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2015.10.26,16.0000000000049,-82.99999999999974,-49.99999999999449,-12.999999999996348,-73.00000000000084,28.000000000005798,-17.999999999995797,91.00000000000819,-56.000000000011596,70.00000000000739,-3.0000000000001137,-55.00000000000682,-114.00000000000298,88.00000000001029,,-171.9999999999722
2015.10.26,7.0000000000014495,-89.00000000000574,-53.999999999998494,-4.000000000004,-89.00000000000574,56.99999999999594,47.00000000000814,-55.00000000000682,-182.99999999999983,43.00000000000637,-37.00000000000614,-18.000000000000682,-124.99999999999733,111.00000000000554,,-389.0000000000074
2015.10.26,36.999999999998145,-114.99999999999844,-29.00000000001235,-48.000000000003595,-90.99999999999665,9.999999999998899,58.000000000002494,-85.00000000000796,-266.999999999995,67.99999999999784,-64.00000000000716,-40.00000000000625,-192.99999999999872,107.00000000000153,,-652.0000000000273
2015.10.26,10.999999999994348,-119.99999999999788,-53.999999999998494,-29.000000000001247,-116.00000000000499,21.999999999999797,56.0000000000005,26.00000000001046,-225.00000000000853,118.99999999999977,-22.999999999996135,-97.99999999999898,-195.9999999999962,101.00000000000664,,-525.999999999991
2015.10.26,39.999999999995595,-204.99999999999963,-80.00000000001339,-56.99999999999594,-177.00000000000495,53.00000000000304,84.0000000000063,128.00000000001432,-387.000000000004,290.00000000000625,31.999999999996476,-180.99999999999739,-319.99999999999807,180.0000000000024,,-599.999999999989
2015.10.26,17.999999999995797,-184.00000000000637,-51.000000000001044,-90.99999999999665,-175.99999999999838,26.999999999999247,65.99999999999939,163.0000000000109,-374.999999999992,308.00000000000693,10.99999999999568,-189.00000000000716,-359.99999999999363,186.00000000000838,,-646.9999999999789
2015.10.26,63.99999999999739,-350.00000000000585,-59.99999999999339,-36.0000000000027,-300.99999999999574,121.00000000000443,65.99999999999939,175.00000000001137,-283.99999999999534,257.000000000005,-132.000000000005,-88.99999999999864,-459.99999999999375,246.00000000000176,,-782.9999999999709
2015.10.26,95.99999999999609,-323.0000000000066,29.999999999996696,-73.00000000000084,-253.0000000000032,106.00000000000608,65.99999999999939,103.00000000000864,-275.000000000003,206.00000000000307,-165.00000000000625,-19.99999999999602,-441.99999999999795,268.0000000000016,,-676.0000000000024
2015.10.26,207.99999999999707,-343.9999999999999,114.99999999999844,-148.0000000000037,-192.00000000000327,94.00000000000519,76.0000000000094,69.99999999999318,-357.99999999999164,236.0000000000042,-150.99999999999625,19.99999999999602,-458.00000000000284,342.000000000009,,-489.9999999999851
2015.10.26,187.00000000000384,-351.0000000000013,79.00000000000685,-121.00000000000443,-209.00000000000364,126.99999999999933,80.00000000000229,15.999999999991132,-346.0000000000019,189.00000000000716,-186.00000000000705,69.99999999999318,-446.9999999999974,358.0000000000028,,-554.0000000000091
