date,USDCHF,AUDUSD,CHFJPY,EURNZD,empty,sum
2020.10.05,-27.999999999994696,-4.999999999999449,-120.00000000000455,-22.999999999995246,,-175.99999999999395
2020.10.05,-46.999999999997044,18.0000000000069,-305.0000000000068,-46.999999999997044,,-380.99999999999403
2020.10.05,-24.000000000001798,-34.000000000000696,-277.000000000001,-14.000000000002899,,-349.0000000000064
2020.10.05,-177.00000000000495,-15.999999999993797,-543.9999999999969,171.99999999999437,,-565.0000000000014
2020.10.05,-312.9999999999966,-45.99999999999049,-756.0000000000002,205.00000000001074,,-909.9999999999766
2020.10.05,-319.99999999999807,-92.99999999999864,-777.000000000001,256.00000000001177,,-933.9999999999859
2020.10.05,-161.99999999999548,-231.99999999999886,-560.0000000000023,-34.99999999998504,,-988.9999999999816
2020.10.05,-231.0000000000034,-265.99999999999955,-656.9999999999965,29.00000000001235,,-1124.9999999999873
2020.10.05,-209.9999999999991,-200.00000000000017,-590.0000000000034,143.00000000000423,,-856.9999999999985
2020.10.05,-261.0000000000001,-226.99999999999943,-649.0000000000009,217.0000000000005,,-920.0
2020.10.05,-295.99999999999625,-245.99999999999068,-701.9999999999982,218.00000000000708,,-1025.999999999978
2020.10.05,-277.000000000005,-234.99999999999633,-695.999999999998,158.0000000000137,,-1049.9999999999857
2020.10.05,-268.99999999999704,-228.99999999999034,-674.9999999999972,160.00000000000458,,-1012.99999999998
2020.10.05,-273.9999999999965,-213.99999999999199,-677.9999999999973,182.99999999999983,,-982.9999999999859
2020.10.05,-260.00000000000466,-175.99999999999838,-674.0000000000066,207.00000000000162,,-903.000000000008
2020.10.05,-243.99999999999977,-174.99999999999181,-656.9999999999965,221.00000000000452,,-854.9999999999836
2020.10.05,-217.99999999999596,-173.9999999999964,-644.999999999996,236.99999999999832,,-799.9999999999901
2020.10.05,-234.00000000000088,-182.99999999999983,-677.9999999999973,278.00000000000045,,-816.9999999999975
2020.10.05,-217.0000000000005,-166.99999999999494,-644.999999999996,280.0000000000136,,-748.9999999999777
2020.10.05,-202.9999999999976,-97.9999999999981,-635.0000000000051,243.99999999999977,,-692.000000000001
2020.10.05,-232.99999999999432,-93.99999999999409,-691.0000000000025,229.00000000001253,,-788.9999999999784
2020.10.05,-205.99999999999508,-89.99999999999008,-659.9999999999966,456.00000000001194,,-499.9999999999699
2020.10.05,-236.99999999999832,-157.99999999999147,-780.0000000000011,449.9999999999948,,-724.9999999999961
2020.10.05,-307.99999999999716,-161.00000000000003,-829.0000000000077,514.0000000000144,,-783.9999999999906
2020.10.05,-360.0000000000048,-208.99999999999253,-920.0000000000017,514.9999999999987,,-974.0000000000003
2020.10.05,-382.00000000000455,-202.9999999999976,-929.000000000002,544.9999999999955,,-969.0000000000086
2020.10.05,-341.99999999999784,-195.9999999999962,-850.0000000000085,621.0000000000049,,-766.9999999999978
2020.10.05,-309.0000000000037,-171.99999999999437,-822.0000000000027,567.0000000000064,,-735.9999999999945
2020.10.05,-317.0000000000006,-181.9999999999933,-858.0000000000041,575.0000000000144,,-781.9999999999835
2020.10.05,-348.00000000000387,-200.99999999999562,-865.9999999999997,672.0000000000059,,-742.9999999999932
2020.10.05,-343.00000000000443,-205.99999999999508,-846.0000000000036,761.999999999996,,-633.0000000000072
2020.10.05,-341.99999999999784,-182.99999999999983,-858.0000000000041,741.0000000000139,,-641.999999999988
2020.10.05,-356.00000000000074,-207.99999999999707,-811.9999999999976,855.0000000000058,,-520.9999999999897
2020.10.05,-463.0000000000023,-262.999999999991,-948.9999999999981,927.9999999999955,,-746.9999999999959
2020.10.05,-490.999999999997,-278.9999999999959,-1052.9999999999973,1049.0000000000111,,-773.9999999999791
2020.10.05,-465.9999999999998,-269.9999999999925,-1013.0000000000052,1058.0000000000034,,-690.9999999999941
2020.10.05,-441.0000000000025,-257.9999999999916,-1030.0000000000011,1056.0000000000125,,-672.9999999999827
2020.10.05,-432.9999999999945,-180.99999999999784,-1073.9999999999982,1191.9999999999932,,-495.99999999999727
2020.10.05,-431.0000000000036,-165.9999999999995,-1090.0000000000034,1255.0000000000061,,-432.0000000000002
2020.10.05,-407.0000000000018,-224.9999999999974,-1100.0000000000086,1224.000000000003,,-508.0000000000048
2020.10.05,-385.99999999999744,-210.99999999999451,-1063.0000000000023,1167.0000000000068,,-492.99999999998727
2020.10.05,-390.0000000000015,-198.99999999999363,-1052.0000000000068,1164.9999999999939,,-476.00000000000796
2020.10.05,-382.00000000000455,-109.99999999999899,-1001.0000000000048,1252.999999999993,,-240.00000000001523
2020.10.05,-375.0000000000031,-106.99999999999044,-993.0000000000092,1246.9999999999982,,-228.00000000000455
2020.10.05,-393.9999999999944,-171.99999999999437,-1046.0000000000064,1144.0000000000116,,-467.9999999999834
2020.10.05,-407.99999999999727,-191.99999999999218,-1099.0000000000036,1110.9999999999952,,-587.999999999998
2020.10.05,-480.99999999999807,-200.00000000000017,-1153.9999999999964,1112.0000000000018,,-722.9999999999927
2020.10.05,-454.9999999999943,-179.99999999999127,-1126.0000000000048,1100.000000000012,,-660.9999999999784
2020.10.06,-449.9999999999948,-161.99999999999548,-1058.9999999999975,855.0000000000058,,-815.9999999999819
2020.10.06,-438.00000000000506,-157.99999999999147,-1058.0000000000068,1025.0000000000093,,-628.9999999999941
2020.10.06,-439.99999999999596,-217.99999999999596,-1129.000000000005,1052.0000000000084,,-734.9999999999884
2020.10.06,-431.0000000000036,-271.9999999999945,-1140.0000000000005,1017.0000000000013,,-825.9999999999974
2020.10.06,-429.99999999999704,-271.9999999999945,-1132.9999999999955,992.0000000000151,,-842.9999999999719
2020.10.06,-443.99999999999994,-291.99999999999227,-1109.0000000000089,964.9999999999936,,-880.0000000000075
2020.10.06,-478.0000000000006,-288.9999999999948,-1100.0000000000086,902.0000000000028,,-965.0000000000013
2020.10.06,-468.00000000000176,-274.9999999999919,-1088.9999999999986,924.0000000000136,,-907.9999999999786
2020.10.06,-468.00000000000176,-274.9999999999919,-1099.0000000000036,954.0000000000103,,-887.9999999999869
