date,USDCHF,AUDUSD,CHFJPY,EURNZD,empty,sum
2020.10.05,2.000000000002,43.00000000000415,-13.00000000000523,144.99999999999514,,176.99999999999608
2020.10.05,-12.000000000000899,26.999999999999247,-246.00000000000932,26.0000000000149,,-204.99999999999608
2020.10.05,-16.0000000000049,14.000000000002899,-263.00000000000523,202.9999999999976,,-62.00000000000961
2020.10.05,-163.00000000000205,-7.9999999999968985,-492.00000000000443,285.00000000000193,,-378.0000000000015
2020.10.05,-307.0000000000017,-15.999999999993797,-756.0000000000002,280.0000000000136,,-798.999999999982
2020.10.05,-143.9999999999997,-78.99999999999574,-489.0000000000043,303.0000000000088,,-408.99999999999096
2020.10.05,-136.99999999999824,-195.00000000000074,-504.0000000000049,46.999999999997044,,-789.0000000000068
2020.10.05,-153.99999999999858,-169.99999999999238,-540.0000000000063,187.00000000000384,,-676.9999999999934
2020.10.05,-209.00000000000364,-196.99999999999162,-584.0000000000032,219.00000000001364,,-770.9999999999848
2020.10.05,-231.0000000000034,-218.99999999999142,-600.9999999999991,276.00000000000955,,-774.9999999999843
2020.10.05,-268.99999999999704,-214.99999999999852,-667.0000000000016,253.99999999999866,,-896.9999999999986
2020.10.05,-253.0000000000032,-206.99999999999054,-668.0000000000064,175.00000000001404,,-952.9999999999859
2020.10.05,-253.99999999999866,-204.99999999999963,-655.0000000000011,243.99999999999977,,-869.9999999999998
2020.10.05,-251.00000000000122,-144.99999999999514,-638.0000000000052,280.9999999999979,,-753.0000000000036
2020.10.05,-243.00000000000432,-134.99999999999625,-644.0000000000055,239.00000000001143,,-782.9999999999945
2020.10.05,-210.99999999999451,-163.99999999999747,-621.0000000000093,255.00000000000523,,-740.9999999999961
2020.10.05,-209.9999999999991,-167.9999999999904,-632.9999999999956,279.00000000000705,,-731.999999999978
2020.10.05,-215.99999999999397,-165.9999999999995,-638.9999999999958,290.00000000001245,,-730.9999999999768
2020.10.05,-170.00000000000347,-80.99999999999774,-597.999999999999,351.0000000000124,,-497.99999999998784
2020.10.05,-131.00000000000333,-76.99999999999375,-594.9999999999989,273.9999999999965,,-528.9999999999994
2020.10.05,-146.00000000000168,-14.999999999998348,-582.9999999999984,520.0000000000093,,-223.9999999999891
2020.10.05,-178.00000000000037,-41.9999999999976,-634.0000000000003,513.0000000000078,,-340.99999999999045
2020.10.05,-168.00000000000148,-117.99999999999588,-683.9999999999975,615.00000000001,,-354.9999999999849
2020.10.05,-293.99999999999426,-151.9999999999966,-814.0000000000072,629.0000000000128,,-630.9999999999851
2020.10.05,-356.9999999999962,-202.9999999999976,-909.9999999999966,547.999999999993,,-921.9999999999975
2020.10.05,-338.00000000000495,-193.99999999999417,-841.9999999999987,636.0000000000143,,-737.9999999999834
2020.10.05,-251.99999999999667,-117.00000000000044,-751.9999999999953,662.000000000007,,-458.99999999998545
