date,USDJPY,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,AUDNZD,empty,sum
2016.02.08,-209.00000000000318,-431.0000000000036,-60.99999999999994,-263.00000000000523,-97.00000000000264,-472.99999999998477,-384.9999999999909,-228.00000000000864,-51.99999999998539,-204.00000000000418,,-2402.9999999999886
2016.02.08,-212.99999999999386,-317.9999999999961,-25.999999999992696,-299.99999999999716,-31.999999999998696,-484.9999999999852,-281.99999999998226,-243.99999999999977,-85.99999999998609,-270.00000000001467,,-2255.999999999947
2016.02.08,-182.99999999999272,-497.0000000000141,-14.000000000002899,-254.99999999999545,-73.99999999999629,-572.0000000000027,-288.99999999998374,-246.00000000000932,-307.99999999999716,-256.00000000001177,,-2694.0000000000064
2016.02.08,-191.0000000000025,-553.0000000000035,26.999999999999247,-192.99999999999784,-78.00000000000028,-582.9999999999984,-123.00000000000644,-194.00000000001683,-268.0000000000016,-221.00000000000452,,-2377.0000000000327
2016.02.08,-236.99999999999477,-591.0000000000082,51.000000000001044,-189.00000000000716,-90.0000000000012,-638.0000000000052,-197.00000000000273,-213.99999999999864,-169.99999999998127,-228.00000000000597,,-2503.000000000004
2016.02.08,-337.99999999999386,-608.0000000000085,19.999999999997797,-271.0000000000008,-123.00000000000644,-793.0000000000064,-41.000000000002146,-269.00000000000546,-221.99999999998886,-234.00000000000088,,-2879.0000000000155
2016.02.08,-349.00000000000375,-629.0000000000128,69.00000000000794,-316.0000000000025,-89.00000000000574,-878.9999999999907,154.0000000000319,-391.00000000001955,-136.00000000000279,-295.0000000000008,,-2860.9999999999986
2016.02.08,-456.00000000000307,-649.0000000000107,97.9999999999981,-400.99999999999625,-90.99999999999665,-1042.0000000000016,79.99999999999119,-519.0000000000055,-91.99999999998099,-235.00000000000742,,-3307.0000000000123
2016.02.08,-474.9999999999943,-629.9999999999973,51.000000000001044,-447.00000000000273,-126.0000000000039,-1057.9999999999927,-163.00000000000205,-478.00000000000864,-88.99999999998354,-144.0000000000108,,-3558.999999999995
2016.02.08,-465.0000000000034,-656.0000000000122,28.999999999990145,-417.0000000000016,-131.00000000000333,-1031.000000000006,-381.0000000000091,-450.00000000001705,-137.9999999999937,-89.00000000000574,,-3729.0000000000623
2016.02.08,-492.999999999995,-696.0000000000077,59.000000000009045,-373.9999999999952,-134.99999999999625,-1025.999999999982,-217.0000000000005,-447.00000000000273,-170.99999999998784,-87.00000000001484,,-3586.999999999973
2016.02.08,-435.0000000000023,-661.0000000000005,45.99999999999049,-358.0000000000041,-153.99999999999858,-954.9999999999841,-326.99999999996624,-381.0000000000002,-201.99999999999108,-36.999999999998145,,-3463.9999999999545
2016.02.08,-475.9999999999991,-673.9999999999968,22.999999999995246,-367.00000000000443,-153.00000000000313,-1013.0000000000052,-276.9999999999939,-391.9999999999959,-243.99999999999977,-66.00000000001049,,-3639.000000000014
2016.02.08,-566.0000000000025,-756.0000000000011,29.999999999996696,-444.0000000000026,-180.99999999999784,-1187.9999999999882,-179.99999999998016,-480.0000000000182,-377.9999999999894,-158.99999999999804,,-4301.999999999981
2016.02.08,-661.0000000000014,-775.0000000000146,17.000000000000348,-567.9999999999978,-204.99999999999963,-1406.9999999999823,-99.99999999998899,-582.9999999999984,-430.9999999999814,-209.00000000001472,,-4921.999999999979
2016.02.08,-703.000000000003,-785.9999999999978,29.999999999996696,-566.0000000000025,-200.00000000000017,-1409.9999999999966,-24.999999999986144,-644.0000000000055,-449.9999999999948,-287.9999999999994,,-5041.999999999989
2016.02.08,-629.9999999999955,-775.0000000000146,89.00000000000574,-549.9999999999972,-153.00000000000313,-1331.9999999999936,59.00000000003125,-647.0000000000198,-316.99999999998954,-343.00000000000443,,-4598.999999999981
2016.02.08,-736.9999999999948,-679.0000000000074,100.0000000000112,-620.9999999999951,-107.99999999999699,-1368.9999999999998,25.000000000030553,-758.0000000000098,-298.9999999999826,-290.9999999999968,,-4736.999999999942
2016.02.08,-703.000000000003,-766.0,103.00000000000864,-581.9999999999936,-131.99999999999878,-1326.9999999999982,59.00000000003125,-754.0000000000191,-363.9999999999866,-270.99999999999903,,-4736.999999999958
2016.02.08,-647.9999999999961,-964.0000000000093,86.0000000000083,-555.9999999999974,-248.99999999999923,-1501.0000000000048,69.00000000000794,-695.0000000000216,-459.99999999999375,-449.0000000000105,,-5367.000000000016
2016.02.08,-552.9999999999973,-917.9999999999966,59.000000000009045,-475.9999999999991,-253.0000000000032,-1417.0000000000016,103.00000000000864,-587.0000000000175,-550.9999999999903,-485.0000000000021,,-5077.99999999999
2016.02.08,-402.000000000001,-773.0000000000015,106.99999999999044,-433.00000000000693,-143.9999999999997,-1179.000000000002,563.0000000000024,-552.9999999999973,-434.9999999999854,-502.00000000000244,,-3751.0000000000036
2016.02.08,-344.99999999999886,-504.9999999999999,134.99999999999625,-375.0,31.999999999998696,-705.9999999999889,785.9999999999978,-618.9999999999998,-297.9999999999983,-439.0000000000116,,-2334.0000000000045
2016.02.08,-212.99999999999386,-381.0000000000091,211.00000000000563,-335.9999999999985,159.9999999999935,-575.9999999999934,18.000000000029104,-629.0000000000191,146.00000000000168,-307.00000000001285,,-1906.9999999999973
2016.02.08,-13.999999999995794,-309.0000000000037,144.99999999999514,-236.99999999999477,139.99999999999568,-265.99999999999113,-50.99999999997884,-391.9999999999959,329.00000000000153,-466.9999999999952,,-1121.999999999963
