,names,week,needed_features,accuracy
0,USDCHF,10,"['AUDNZD', 'EURJPY']",80.0
1,GBPUSD,10,"['EURCHF', 'NZDCAD', 'AUDCAD', 'AUDCHF', 'NZDCHF']",80.0
2,EURUSD,10,"['AUDNZD', 'EURJPY']",80.0
3,USDJPY,30,"['AUDCHF', 'AUDCAD', 'AUDUSD', 'EURUSD', 'NZDCHF', 'NZDCAD', 'NZDUSD', 'EURAUD', 'GBPUSD', 'GBPAUD', 'USDCHF']",80.0
4,USDCAD,15,['EURGBP'],100.0
5,NZDUSD,10,['GBPUSD'],80.0
6,GBPCHF,10,"['USDCHF', 'EURUSD']",80.0
7,EURCHF,10,['USDJPY'],100.0
8,CHFJPY,15,['EURNZD'],80.0
9,CADCHF,10,"['GBPJPY', 'GBPUSD']",80.0
10,NZDCHF,30,"['GBPAUD', 'EURJPY', 'CADJPY']",80.0
11,EURGBP,10,"['USDCAD', 'EURCHF']",80.0
12,GBPJPY,15,"['NZDCAD', 'AUDCAD', 'AUDCHF', 'NZDCHF', 'EURNZD', 'EURAUD', 'GBPCHF']",100.0
13,GBPCAD,30,"['USDCHF', 'EURUSD', 'USDCAD']",100.0
14,GBPAUD,15,['EURGBP'],100.0
15,EURJPY,15,"['EURNZD', 'EURJPY']",80.0
16,EURCAD,10,['USDJPY'],80.0
17,EURAUD,10,['GBPJPY'],80.0
18,EURNZD,10,"['GBPCHF', 'GBPUSD', 'GBPAUD', 'GBPCAD']",100.0
19,AUDJPY,10,['AUDUSD'],80.0
20,NZDJPY,50,"['GBPUSD', 'GBPJPY', 'GBPCHF', 'USDCAD']",100.0
21,AUDCAD,30,['AUDUSD'],80.0
