date,EURUSD,USDCAD,NZDCAD,empty,sum
2019.04.29,-97.00000000001374,-20.999999999982144,-134.99999999999625,,-252.99999999999213
2019.04.29,-99.00000000000463,9.999999999998899,-192.99999999999872,,-282.00000000000443
2019.04.29,-116.00000000000499,31.000000000003247,-165.00000000000404,,-250.00000000000577
2019.04.29,-117.00000000001154,43.999999999999595,-136.99999999999824,,-210.00000000001017
2019.04.29,-121.99999999999989,38.0000000000047,-167.00000000000603,,-251.00000000000122
2019.04.29,-112.000000000001,41.000000000002146,-222.99999999999542,,-293.99999999999426
2019.04.29,-110.00000000001009,9.000000000014552,-263.99999999999756,,-364.99999999999307
2019.04.29,-107.00000000001265,-17.999999999984695,-273.000000000001,,-397.99999999999835
2019.04.29,-100.0000000000112,-8.999999999992347,-317.9999999999961,,-426.99999999999966
2019.04.29,-100.0000000000112,19.00000000001345,-378.00000000000057,,-458.9999999999983
2019.04.29,-162.00000000001768,1.0000000000065512,-370.00000000000364,,-531.0000000000148
2019.04.29,-186.0000000000195,-17.999999999984695,-361.0000000000002,,-565.0000000000044
2019.04.29,-188.00000000001037,-19.999999999997797,-339.0000000000004,,-547.0000000000086
2019.04.29,-195.00000000001182,-31.000000000003247,-328.0000000000061,,-554.0000000000211
2019.04.29,-201.00000000000674,-46.999999999997044,-348.9999999999993,,-597.0000000000031
2019.04.29,-207.00000000000162,-48.000000000003595,-346.9999999999973,,-602.0000000000025
2019.04.29,-201.00000000000674,-46.999999999997044,-341.99999999999784,,-590.0000000000016
2019.04.29,-209.00000000001472,-46.999999999997044,-312.00000000000114,,-568.000000000013
2019.04.29,-267.0000000000172,-41.99999999998649,-326.0000000000041,,-635.0000000000077
2019.04.29,-223.00000000001762,-20.999999999982144,-300.0000000000003,,-544.0
2019.04.29,-264.0000000000198,11.00000000000545,-304.00000000000426,,-557.0000000000186
2019.04.29,-260.0000000000158,63.99999999999739,-306.00000000000625,,-502.00000000002467
2019.04.29,-248.00000000000378,70.99999999999883,-246.99999999999721,,-424.00000000000216
2019.04.29,-276.00000000000955,92.00000000000318,-289.0000000000059,,-473.0000000000123
2019.04.29,-266.0000000000107,120.00000000000898,-300.0000000000003,,-446.000000000002
2019.04.29,-240.00000000001796,127.00000000001043,-322.9999999999955,,-436.00000000000307
2019.04.29,-226.00000000001506,110.00000000001009,-309.99999999999915,,-426.0000000000041
