names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,10,"['AUDJPY', 'CHFJPY']",80.0,0.4958492063492065,B
EURUSD,10,['USDCHF'],100.0,0.7434206349206347,B
USDCAD,50,"['EURCAD', 'CADCHF', 'EURGBP', 'CHFJPY', 'EURAUD', 'NZDCHF', 'EURNZD', 'AUDCHF', 'EURCHF']",100.0,-0.4066666666666666,S
AUDUSD,10,['USDCHF'],100.0,0.7790555555555554,B
NZDUSD,15,['EURGBP'],80.0,0.7851994671994672,B
GBPCHF,10,['NZDJPY'],80.0,-0.99,S
CHFJPY,10,['AUDNZD'],80.0,1.0,B
NZDCHF,10,['EURAUD'],80.0,0.5791904761904767,B
GBPAUD,15,"['AUDJPY', 'CHFJPY']",80.0,0.2104250749250749,B
EURJPY,10,['USDCHF'],100.0,0.7443412698412699,B
EURNZD,10,['EURAUD'],80.0,-0.5974523809523815,S
CADJPY,10,"['EURCAD', 'EURCHF']",100.0,-0.52,S
AUDJPY,15,"['AUDNZD', 'USDCHF', 'EURCAD', 'EURJPY']",100.0,0.14,B
NZDJPY,50,"['GBPCAD', 'AUDCHF', 'USDJPY', 'EURGBP', 'NZDUSD', 'NZDCAD', 'CADCHF', 'CHFJPY']",80.0,0.62,B
AUDCAD,10,['USDCHF'],100.0,0.787071428571428,B
NZDCAD,10,"['USDJPY', 'EURAUD', 'GBPAUD', 'AUDCHF', 'CADCHF']",80.0,1.0,B
AUDNZD,10,"['USDJPY', 'EURAUD', 'NZDCHF', 'NZDJPY']",80.0,0.02,B
