date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,EURCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,NZDCAD,AUDNZD,empty,sum
2019.08.05,-29.000000000001247,-443.0000000000156,-106.00000000000608,-51.9999999999925,-4.999999999999449,-388.9999999999949,-41.99999999998649,-51.000000000001044,0.0,-399.0000000000009,-605.9999999999955,-564.9999999999933,-196.99999999998852,-338.0000000000161,0.0,-121.99999999999989,,-3343.9999999999914
2019.08.05,33.000000000005244,-392.9999999999989,-82.00000000000429,-54.000000000002046,10.999999999994348,-273.9999999999965,27.00000000002145,7.9999999999968985,124.00000000000189,-390.0000000000148,-544.9999999999955,-543.0000000000045,-192.99999999999784,-295.0000000000008,-15.999999999993797,-89.00000000000574,,-2670.9999999999945
2019.08.05,58.99999999999794,-388.0000000000106,-66.00000000001049,-37.9999999999967,-14.000000000002899,-242.99999999999324,94.00000000001629,21.00000000000435,146.00000000000168,-407.0000000000107,-530.0000000000082,-644.0000000000001,-171.99999999999704,-303.0000000000088,-2.000000000002,-109.00000000000354,,-2596.000000000024
2019.08.05,51.000000000001044,-373.00000000000114,-62.000000000006494,-108.00000000000409,-24.000000000001798,-220.99999999998232,115.00000000002063,21.00000000000435,163.99999999999747,-421.0000000000207,-473.0000000000123,-648.0000000000041,-210.99999999999852,-391.000000000008,-78.00000000000028,-190.00000000000128,,-2849.0000000000177
2019.08.05,80.00000000000229,-389.0000000000171,-59.000000000009045,-60.99999999999284,-14.000000000002899,-229.99999999999687,128.000000000017,36.0000000000027,158.0000000000026,-364.0000000000043,-421.0000000000047,-580.0000000000027,-167.99999999999216,-349.0000000000215,-73.99999999999629,-157.00000000000713,,-2464.000000000023
2019.08.05,56.99999999999594,-364.00000000000875,-49.99999999999449,-30.000000000001137,-9.00000000000345,-218.99999999999142,111.00000000001664,31.000000000003247,165.00000000000404,-355.0000000000182,-408.00000000000836,-594.0000000000057,-143.00000000000068,-440.00000000001813,-102.99999999999754,-192.99999999999872,,-2544.000000000027
2019.08.05,53.999999999998494,-492.0000000000035,-259.9999999999936,-48.99999999999238,-53.00000000000304,-231.0000000000034,102.00000000000209,51.000000000001044,182.99999999999983,-371.0000000000093,-510.99999999999477,-756.0000000000011,-168.99999999999693,-735.000000000019,-143.00000000000423,-234.00000000000088,,-3614.000000000021
2019.08.05,271.9999999999945,-718.0000000000186,-293.0000000000099,191.0000000000025,34.99999999999615,-283.99999999999534,139.00000000000023,90.99999999999665,93.99999999999409,-396.000000000015,-787.0000000000043,-842.9999999999937,-125.0,-729.0000000000018,-143.00000000000423,-303.9999999999932,,-3800.000000000052
2019.08.05,209.9999999999991,-650.0000000000173,-238.0000000000049,152.00000000000102,-190.00000000000128,-273.9999999999965,131.00000000001444,58.99999999999794,104.00000000000409,-361.0000000000184,-828.0000000000065,-1427.0000000000005,-106.99999999999932,-939.0000000000009,-210.99999999999451,-292.00000000000335,,-4861.000000000027
2019.08.05,300.99999999999574,-584.0000000000067,-269.9999999999925,430.9999999999974,-436.00000000000307,-102.99999999998644,233.00000000001654,339.0000000000004,141.00000000000225,48.99999999997817,-856.9999999999967,-2000.9999999999861,222.0000000000084,-1521.0000000000168,-436.00000000000307,-236.99999999999832,,-4728.999999999991
2019.08.05,263.99999999999756,-442.00000000000904,-207.00000000000162,435.0000000000023,-424.9999999999976,9.999999999998899,253.00000000001432,392.00000000000347,227.99999999999488,167.0000000000016,-778.000000000012,-1560.9999999999902,248.00000000000466,-1210.0,-276.9999999999939,-195.9999999999962,,-3098.999999999983
2019.08.05,331.999999999999,-343.00000000000443,-201.00000000000674,465.0000000000034,-272.00000000000557,156.00000000000057,294.0000000000165,400.00000000000034,307.99999999999716,305.9999999999832,-783.0000000000003,-1187.999999999989,249.00000000000944,-1102.000000000003,-121.00000000000443,-97.9999999999981,,-1598.0000000000023
2019.08.05,417.99999999999613,-453.0000000000145,-278.00000000000045,561.000000000007,-184.00000000000637,114.0000000000141,296.0000000000074,383.99999999999545,283.99999999999534,405.9999999999775,-824.0000000000025,-1027.0000000000002,328.00000000000296,-768.0000000000131,41.000000000002146,15.999999999993797,,-686.0000000000454
2019.08.05,378.00000000000057,-442.00000000000904,-266.999999999995,576.0000000000076,-128.00000000000588,167.00000000000603,263.00000000001324,329.999999999997,290.00000000000136,421.99999999999704,-825.9999999999934,-994.000000000006,323.99999999999807,-617.0000000000009,111.00000000000554,15.999999999993797,,-396.99999999998994
2019.08.05,387.000000000004,-426.00000000001523,-259.0000000000092,492.00000000000443,-134.0000000000008,144.0000000000108,301.0000000000179,346.9999999999973,295.99999999999625,223.99999999998954,-817.000000000001,-987.9999999999889,228.00000000000864,-649.0000000000107,92.00000000000318,45.99999999999049,,-716.0000000000033
2019.08.05,392.9999999999989,-413.00000000001893,-286.99999999999284,534.9999999999966,-126.99999999999933,154.0000000000097,283.000000000011,375.9999999999986,314.0000000000032,295.99999999999227,-761.0000000000117,-997.9999999999878,259.00000000000034,-779.0000000000185,36.999999999998145,-35.00000000000725,,-753.0000000000277
2019.08.05,375.9999999999986,-375.0000000000142,-278.00000000000045,506.0000000000002,-180.0000000000024,146.00000000000168,270.00000000001467,378.00000000000057,312.9999999999966,286.00000000000136,-780.000000000003,-1078.0000000000011,246.00000000000932,-845.0000000000068,24.999999999997247,-11.00000000000545,,-1001.0000000000132
