,names,week,needed_features,accuracy
0,GBPUSD,10,"['AUDJPY', 'CHFJPY']",80.0
1,EURUSD,10,['USDCHF'],100.0
2,USDCAD,50,"['EURCAD', 'CADCHF', 'EURGBP', 'CHFJPY', 'EURAUD', 'NZDCHF', 'EURNZD', 'AUDCHF', 'EURCHF']",100.0
3,AUDUSD,10,['USDCHF'],100.0
4,NZDUSD,15,['EURGBP'],80.0
5,GBPCHF,10,['NZDJPY'],80.0
6,CHFJPY,10,['AUDNZD'],80.0
7,NZDCHF,10,['EURAUD'],80.0
8,GBPAUD,15,"['AUDJPY', 'CHFJPY']",80.0
9,EURJPY,10,['USDCHF'],100.0
10,EURNZD,10,['EURAUD'],80.0
11,CADJPY,10,"['EURCAD', 'EURCHF']",100.0
12,AUDJPY,15,"['AUDNZD', 'USDCHF', 'EURCAD', 'EURJPY']",100.0
13,AUDCAD,10,['USDCHF'],100.0
14,NZDCAD,10,"['USDJPY', 'EURAUD', 'GBPAUD', 'AUDCHF', 'CADCHF']",80.0
15,AUDNZD,10,"['USDJPY', 'EURAUD', 'NZDCHF', 'NZDJPY']",80.0
